tipo_teste,metrica,estrategia_a,estrategia_b,n_pares,media_a,media_b,media_diff_a_menos_b,mediana_diff_a_menos_b,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_stat,wilcoxon_pvalue,permutation_pvalue,cohen_dz,vencedor_media,significativo_wilcoxon_5pct,significativo_permutation_5pct
pareado_estrategias,cagr,markowitz_puro__max_sharpe,hrp,17,0.19440215496078847,0.1401520467116437,0.054250108249144786,0.04972610401799993,0.036790247589641965,0.07192521799680576,0.0,1.52587890625e-05,0.0001999600079984003,1.407643061611483,markowitz_puro__max_sharpe,True,True
pareado_estrategias,cagr,markowitz_puro__max_sharpe,markowitz_restrito__min_vol,17,0.19440215496078847,0.14112898683931216,0.05327316812147629,0.05085243082483881,0.035323864902527764,0.07162478325522534,0.0,1.52587890625e-05,0.0001999600079984003,1.3381839828759383,markowitz_puro__max_sharpe,True,True
pareado_estrategias,cagr,markowitz_puro__max_sharpe,markowitz_restrito__max_sharpe,17,0.19440215496078847,0.17029260443130992,0.024109550529478555,0.023868055676579125,0.01626038596211033,0.0322617346184547,0.0,1.52587890625e-05,0.0001999600079984003,1.387435327323963,markowitz_puro__max_sharpe,True,True
pareado_estrategias,cagr,equal_weight,markowitz_puro__max_sharpe,17,0.1477840116953175,0.19440215496078847,-0.04661814326547097,-0.04870296119047879,-0.06166442332403441,-0.031574921059223285,0.0,1.52587890625e-05,0.0001999600079984003,-1.4333391729218263,markowitz_puro__max_sharpe,True,True
pareado_estrategias,cagr,markowitz_puro__min_vol,markowitz_puro__max_sharpe,17,0.14126362331983988,0.19440215496078847,-0.05313853164094861,-0.048976852723288555,-0.07307900005425984,-0.034429955129279585,0.0,0.00043777719457466354,0.0001999600079984003,-1.253731839075493,markowitz_puro__max_sharpe,True,True
pareado_estrategias,cagr,markowitz_restrito__max_sharpe,hrp,17,0.17029260443130992,0.1401520467116437,0.03014055771966623,0.02277146829099208,0.015359717664350498,0.0456884428875997,0.0,0.0009815397525216685,0.0001999600079984003,0.9153862804446347,markowitz_restrito__max_sharpe,True,True
pareado_estrategias,cagr,equal_weight,hrp,17,0.1477840116953175,0.1401520467116437,0.007631964983673813,0.005725308885227376,0.003997510951377849,0.01155936417675007,5.0,0.000152587890625,0.0005998800239952009,0.9087794985812085,equal_weight,True,True
pareado_estrategias,cagr,equal_weight,markowitz_restrito__min_vol,17,0.1477840116953175,0.14112898683931216,0.0066550248560053185,0.003208336499507247,0.00303665135781553,0.010480999458368377,11.0,0.0008392333984375,0.0009998000399920016,0.8178417869438319,equal_weight,True,True
pareado_estrategias,cagr,markowitz_puro__min_vol,markowitz_restrito__max_sharpe,17,0.14126362331983988,0.17029260443130992,-0.029028981111470054,-0.009970261710541717,-0.0457946921991077,-0.013115244796329454,12.0,0.001068115234375,0.0009998000399920016,-0.8082305858303324,markowitz_restrito__max_sharpe,True,True
pareado_estrategias,cagr,equal_weight,markowitz_restrito__max_sharpe,17,0.1477840116953175,0.17029260443130992,-0.022508592735992417,-0.02377603864875244,-0.035053188143012795,-0.010445177744479266,25.0,0.0128631591796875,0.001799640071985603,-0.8473839242400434,markowitz_restrito__max_sharpe,True,True
