secao,secao_titulo,arquivo_stem,titulo_tabela,caminho_html
05_hrp,HRP,carteiras_hrp_top10_pesos,Carteiras Hrp Top10 Pesos,resultados/tabelas_finais/05_hrp/carteiras_hrp_top10_pesos.html
05_hrp,HRP,carteiras_hrp_top_pesos,Carteiras Hrp Top Pesos,resultados/tabelas_finais/05_hrp/carteiras_hrp_top_pesos.html
05_hrp,HRP,carteiras_hrp_validacao_soma_pesos,Carteiras Hrp Validacao Soma Pesos,resultados/tabelas_finais/05_hrp/carteiras_hrp_validacao_soma_pesos.html
05_hrp,HRP,metricas_hrp,Metricas Hrp,resultados/tabelas_finais/05_hrp/metricas_hrp.html
05_hrp,HRP,ranking_hrp_cagr,Ranking Hrp Cagr,resultados/tabelas_finais/05_hrp/ranking_hrp_cagr.html
05_hrp,HRP,ranking_hrp_mdd,Ranking Hrp Mdd,resultados/tabelas_finais/05_hrp/ranking_hrp_mdd.html
05_hrp,HRP,ranking_hrp_sharpe,Ranking Hrp Sharpe,resultados/tabelas_finais/05_hrp/ranking_hrp_sharpe.html
05_hrp,HRP,resumo_hrp,Resumo Hrp,resultados/tabelas_finais/05_hrp/resumo_hrp.html
05_hrp,HRP,resumo_visual_carteiras_hrp,Resumo Visual Carteiras Hrp,resultados/tabelas_finais/05_hrp/resumo_visual_carteiras_hrp.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_equivalente,Comparacao Metodos Equivalente,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_equivalente.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_ganho_relativo_vs_equal,Comparacao Metodos Ganho Relativo Vs Equal,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_ganho_relativo_vs_equal.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_melhor_por_familia,Comparacao Metodos Melhor Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_melhor_por_familia.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_ranking_final_estrategias,Comparacao Metodos Ranking Final Estrategias,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_ranking_final_estrategias.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_ranking_final_por_metodo,Comparacao Metodos Ranking Final Por Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_ranking_final_por_metodo.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_ganho_vs_equal,Comparacao Metodos Resumo Ganho Vs Equal,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_ganho_vs_equal.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_por_cenario_metodo,Comparacao Metodos Resumo Por Cenario Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_por_cenario_metodo.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_por_familia_metodo,Comparacao Metodos Resumo Por Familia Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_por_familia_metodo.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_por_metodo,Comparacao Metodos Resumo Por Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_por_metodo.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_top_cagr_por_familia,Comparacao Metodos Top Cagr Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_top_cagr_por_familia.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_top_mdd_por_familia,Comparacao Metodos Top Mdd Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_top_mdd_por_familia.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_top_sharpe_por_familia,Comparacao Metodos Top Sharpe Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_top_sharpe_por_familia.html
06_comparacao_familias,Comparação consolidada,comparacao_metodos_vitorias_por_familia,Comparacao Metodos Vitorias Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_vitorias_por_familia.html
