data,equal_weight,markowitz_puro__min_vol,markowitz_puro__max_sharpe,markowitz_restrito__min_vol,markowitz_restrito__max_sharpe,hrp
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,-0.03976335995747182,-0.0021116543814461153,-0.01409998978921767,-0.017310257133747453,-0.03192583544196903,-0.03958716739229229
2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,-0.03497576934803992,-0.020329825695280968,-0.010799473480199273,-0.03001280366494563,-0.017924422715832944,-0.03562127005346438
2015-07-31,0.0,-0.018312415024348327,0.0,-0.004726922443303527,0.0,-0.004071032625866278
2015-08-31,-0.016820159388296063,-0.008590002328322188,0.0,-0.022417327271606946,-0.024399719850543344,0.0
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-31,0.0,-0.0007871531422852796,0.0,0.0,0.0,0.0
2015-11-30,-0.01690088818008928,-0.04003422149912139,-0.02615847738359467,-0.025432669681835773,-0.005471626987982314,-0.03227962306625576
2015-12-31,-0.014575954495746113,-0.04637124081086197,-0.021199490175131452,-0.031731594975364374,0.0,-0.032955214101760055
2016-01-31,-0.04383981310060514,-0.05384267288749289,-0.03050161124055739,-0.06658183989942046,-0.03810376053566222,-0.044877471276436265
2016-02-29,-0.06450825788467907,-0.024427941323257096,0.0,-0.07443207963026022,-0.027122570878326036,-0.04715252095602929
2016-03-31,-0.06825128000615333,-0.014956584222525882,-0.003050352142203838,-0.06776593800076458,-0.03174880584014039,-0.056774090715257075
2016-04-30,-0.07003291199426931,0.0,0.0,-0.0570432731690701,-0.024414923953114176,-0.051479850337925126
2016-05-31,-0.057166309980900776,-0.029388569193140035,-0.014043100023136357,-0.05384949292364494,-0.003710115667949543,-0.05479276357170926
2016-06-30,-0.11101533333786262,-0.043900298268199967,-0.015640430095102187,-0.09306047382346905,-0.02747602482274969,-0.09871492962036421
2016-07-31,-0.062439427622861476,0.0,0.0,-0.0413226074508557,0.0,-0.05119172194545607
2016-08-31,-0.07605914972132899,-0.013064316216577443,-0.020587267860537883,-0.04954627914271004,-0.017560487613744402,-0.06793559577000541
2016-09-30,-0.049811033876582145,0.0,0.0,-0.023857224658772047,0.0,-0.04505033073276932
2016-10-31,-0.06684484272027535,0.0,0.0,-0.028569710689959615,0.0,-0.06119269458804544
2016-11-30,-0.019706000032586712,0.0,0.0,0.0,0.0,-0.03278994211755948
2016-12-31,-0.05766500871097635,-0.05370280809023298,-0.03196327688176226,-0.04542752330487276,-0.020053036746248365,-0.07972457835372082
2017-01-31,-0.04765973453093031,-0.03191261668769618,-0.010811813875398757,-0.026289162803261212,-0.0029390504823479935,-0.06575909930232948
2017-02-28,-0.02581288780914115,-0.007582382077796379,0.0,-0.0027139131802553784,0.0,-0.0457957677151114
2017-03-31,0.0,-0.01107168724152896,-0.007832590104105086,0.0,0.0,-0.01616555124549668
2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0.0,-0.006996534043902547,0.0,0.0,0.0,-0.005381856792784023
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0,-0.003262470312254351,0.0
2018-02-28,-0.022118887267379983,-0.002943453471938584,0.0,-0.01689757316615792,-0.014484079115425597,-0.019233472909572114
2018-03-31,-0.01773784049252536,0.0,-0.008356587909136626,-0.0051332745581564865,-0.03110633284768549,-0.004492978199009734
