carteira,metodo,tipo,estrategia,cenario_alternativos,detalhe_alternativos,grupo_familia,retorno_total,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,peso_max,top3_peso,hhi,n_efetivo_ativos,n_clusters_finais,rank_sharpe,rank_cagr,rank_mdd,rank_calmar,rank_vol,score_final
etfs_america_norte,markowitz_puro,min_vol,etfs_america_norte__min_vol,sem_alternativos,nenhum,regional,5.603338156864044,0.18416347171082403,0.17770975773922287,1.120094312784648,2.1732469052365464,-0.20194285428245407,0.9119583476483782,0.5777777777777777,0.8701150407036536,1.0,0.7739702867101343,1.292039264518326,,48.0,19.0,27.0,17.0,79.0,190.0
etfs_asia,markowitz_puro,min_vol,etfs_asia__min_vol,sem_alternativos,nenhum,regional,2.7348468595419098,0.12524815717633486,0.1639583217980653,0.8850996410825878,1.346932795552909,-0.29890400781096216,0.41902468318707314,0.6444444444444445,0.47898257915048364,0.9112273718305852,0.3349882603736715,2.9851792384739797,,82.0,85.0,78.0,77.0,66.0,388.0
etfs_brasil,markowitz_puro,min_vol,etfs_brasil__min_vol,sem_alternativos,nenhum,amplo_base,2.8710258515352716,0.12886274541288123,0.2185817372381942,0.7032913111643637,0.9673559858090012,-0.3765171592094706,0.3422493298404763,0.6,1.0,1.0,1.0,1.0,,97.0,78.0,96.0,94.0,97.0,462.0
etfs_com_btc,markowitz_puro,min_vol,etfs_com_btc__min_vol,com_alternativos,btc,alternativos,3.3379840064009123,0.14043506568509279,0.11785106793854863,1.276189883792433,2.1347723202892888,-0.18088235271120834,0.7763889820103537,0.6962962962962963,0.36945177514557365,0.7734856367955305,0.24550779535472397,4.073190419697842,,28.0,64.0,16.0,38.0,12.0,158.0
etfs_com_btc_petroleo,markowitz_puro,min_vol,etfs_com_btc_petroleo__min_vol,com_alternativos,btc+petroleo,alternativos,3.356850769370645,0.14087836610318738,0.11676005745343927,1.2886512358864672,1.9234773084857446,-0.16123556464051048,0.8737425047463235,0.6888888888888889,0.3609779114781971,0.7913397262877666,0.2489940311375958,4.016160529757411,,26.0,62.0,9.0,21.0,9.0,127.0
etfs_com_ouro,markowitz_puro,min_vol,etfs_com_ouro__min_vol,com_alternativos,ouro,alternativos,4.392656078055301,0.16287911898500895,0.10070497473268984,1.6364326735781236,3.0609485311335045,-0.1231700081264,1.3223926949640088,0.674074074074074,0.34435649031037135,0.8050314295393959,0.2602179770776466,3.8429320342522275,,9.0,34.0,5.0,7.0,3.0,58.0
etfs_com_ouro_btc,markowitz_puro,min_vol,etfs_com_ouro_btc__min_vol,com_alternativos,ouro+btc,alternativos,4.392655802312393,0.16287911366009422,0.10070497473270447,1.6364326292518956,3.0609485308178335,-0.12317000541211487,1.3223926808732087,0.674074074074074,0.34435650379999605,0.8050316759536749,0.26021801379128345,3.8429314920606665,,10.0,35.0,4.0,8.0,4.0,61.0
etfs_com_ouro_petroleo,markowitz_puro,min_vol,etfs_com_ouro_petroleo__min_vol,com_alternativos,ouro+petroleo,alternativos,4.487161146408211,0.16468972233245038,0.09742763580144202,1.6999753007950935,2.83820558760979,-0.08920011677476403,1.846294918517903,0.6592592592592592,0.363511507131852,0.7903225528373413,0.26178342649980396,3.819951527759336,,7.0,32.0,1.0,2.0,2.0,44.0
etfs_com_petroleo,markowitz_puro,min_vol,etfs_com_petroleo__min_vol,com_alternativos,petroleo,alternativos,3.3568511700938313,0.14087837550015148,0.11676005745341776,1.2886513050569082,1.9234773499293922,-0.16123547074576638,0.8737430718473005,0.6888888888888889,0.3609779007925576,0.7913391142102693,0.24899378848860396,4.0161644435791555,,25.0,61.0,8.0,20.0,8.0,122.0
etfs_com_tudo,markowitz_puro,min_vol,etfs_com_tudo__min_vol,com_alternativos,ouro+btc+petroleo,alternativos,4.552187780038707,0.16591913769188782,0.09741899373411086,1.7111688717490054,2.852687404823968,-0.08983258579803632,1.846981651679392,0.6592592592592592,0.36378929867822635,0.7914068316543407,0.2616552849602276,3.8218222886344644,,5.0,31.0,2.0,1.0,1.0,40.0
etfs_desenvolvidos_emergentes,markowitz_puro,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,sem_alternativos,nenhum,global_macro,2.9504329285622983,0.13091735295768392,0.1569731825591167,0.9536103319504526,1.490898711039809,-0.3125858003630424,0.41882053761122323,0.6370370370370371,0.6822897921231563,1.0,0.566459136624607,1.7653524064573451,,69.0,74.0,83.0,78.0,56.0,360.0
etfs_europa,markowitz_puro,min_vol,etfs_europa__min_vol,sem_alternativos,nenhum,regional,2.301179736627323,0.11287909754881587,0.16165628437874838,0.8323327077166156,1.3765336019816872,-0.2521339470712054,0.44769496079374654,0.5777777777777777,1.0,1.0,1.0,1.0,,86.0,93.0,55.0,74.0,60.0,368.0
etfs_exterior,markowitz_restrito,min_vol,etfs_exterior__min_vol,sem_alternativos,nenhum,amplo_base,3.119205951063888,0.13516221281828877,0.15031766248409792,1.0149152006191253,1.6210467193988671,-0.22524080162120452,0.6000787239498281,0.6518518518518519,0.1,0.3,0.07205485028052996,13.878316256389631,,63.0,71.0,38.0,58.0,46.0,276.0
etfs_global,markowitz_puro,max_sharpe,etfs_global__max_sharpe,sem_alternativos,nenhum,global_macro,4.196940096680337,0.1590356916031268,0.16501963728088456,1.0636236083157242,1.8643215585024542,-0.28058143185375894,0.5668076128644798,0.6148148148148148,0.9999999999999996,1.0,0.9999999999999991,1.0000000000000009,,57.0,36.0,69.0,64.0,67.0,293.0
etfs_latam,markowitz_puro,max_sharpe,etfs_latam__max_sharpe,sem_alternativos,nenhum,regional,4.7923494638996,0.1703488999631344,0.2037550687802227,0.9558425986336668,1.5541930317965569,-0.21894696235466415,0.7780372841491743,0.6370370370370371,0.4911166784624028,1.0,0.4013517920708964,2.491579755605915,,68.0,27.0,35.0,36.0,96.0,262.0
etfs_oceania,markowitz_puro,max_sharpe,etfs_oceania__max_sharpe,sem_alternativos,nenhum,regional,2.490446647267056,0.11844906120750087,0.18626588294010626,0.7810082209068475,1.4817734054322076,-0.2425331775402354,0.4883829190249676,0.5925925925925926,1.0,1.0,1.0,1.0,,91.0,91.0,51.0,71.0,87.0,391.0
etfs_todos,markowitz_puro,min_vol,etfs_todos__min_vol,sem_alternativos,nenhum,amplo_base,3.3379841200466016,0.14043506836063635,0.11785106793853455,1.2761899042606555,2.1347722711928396,-0.18088230240771896,0.7763892127162764,0.6962962962962963,0.36945172888921013,0.7734855371782041,0.24550768084373217,4.073192319536874,,27.0,63.0,15.0,37.0,11.0,153.0
