carteira,metodo,qtd_estrategias,retorno_total_medio,cagr_medio,vol_anual_media,sharpe_medio,max_drawdown_medio,calmar_medio,peso_max_medio,hhi_medio,n_efetivo_medio,score_medio
etfs_america_norte,markowitz_puro,2,7.256498939804284,0.20609784040099066,0.18843796942435034,1.1647029926945158,-0.2364159627080723,0.8769215232590524,0.8590576333625406,0.7580911205461033,1.319686091044626,214.5
etfs_america_norte,hrp,1,6.06506327732686,0.19135239934724457,0.18628402771336475,1.1102874682636186,-0.22449937434732492,0.8523515929768322,0.3965579111081853,0.3400937737963183,2.9403655022479143,221.0
etfs_america_norte,markowitz_restrito,2,6.212853934949287,0.19356318668515105,0.18754475671437493,1.1143045877198088,-0.22732824934483375,0.8514700097458431,0.3333333333333333,0.3333333333333333,3.0,223.0
etfs_america_norte,equal_weight,1,6.173079693011697,0.19295294128616103,0.18777423983189015,1.1106035453152714,-0.226587516852659,0.851560332918211,,,,228.0
etfs_asia,markowitz_puro,2,4.168120823803548,0.15468875364093315,0.17611557362797248,0.9768761013245244,-0.3402683233804442,0.45074832907612544,0.6336573658615823,0.5006594037414542,2.2432301495813936,365.0
etfs_asia,equal_weight,1,3.1307538528037426,0.13543357629645336,0.17322353474110644,0.8949073388932091,-0.3716563038072177,0.3644054329472756,,,,402.0
etfs_asia,markowitz_restrito,2,3.121192668677643,0.13521123150547587,0.17353655822104683,0.8923987214325875,-0.3707826181660434,0.3646644283765366,0.16666666666666669,0.1666666666666667,5.999999999999998,402.0
etfs_asia,hrp,1,2.89009259040013,0.1293595620318151,0.1680133585596516,0.8867812255626953,-0.34776867522017496,0.37197013776446824,0.29359191873172025,0.19806184932011264,5.048927915359279,404.0
etfs_brasil,markowitz_puro,2,2.8764248573645657,0.12900365149258874,0.21860480937115256,0.7038128560832033,-0.3765171592094706,0.3426235653202174,1.0,1.0,1.0,462.0
etfs_brasil,equal_weight,1,2.213691843384489,0.11019480249160862,0.2287898219275925,0.604151582708863,-0.3988778474947454,0.2762620265419986,,,,491.0
etfs_brasil,hrp,1,2.1760243603298433,0.10903389652758522,0.22882591122595267,0.5994865206226014,-0.39950601292064114,0.2729217909149317,0.5,0.5,2.0,496.0
etfs_brasil,markowitz_restrito,2,2.1760243603298433,0.10903389652758522,0.22882591122595267,0.5994865206226014,-0.39950601292064114,0.2729217909149317,0.5,0.5,2.0,496.0
etfs_com_btc,markowitz_puro,2,8.839689533793475,0.2087374924221106,0.13888376043425849,1.4879681067133395,-0.22677938015683058,0.8962204233492101,0.36204433800245084,0.25803237403227414,3.884607007129939,149.5
