data,equal_weight,markowitz_puro__min_vol,markowitz_puro__max_sharpe,markowitz_restrito__min_vol,markowitz_restrito__max_sharpe,hrp
2015-02-28,100.0,100.0,100.0,100.0,100.0,100.0
2015-03-31,108.7622252233313,105.79480274506159,105.2016154438725,107.55303680954856,107.20576454475331,108.27957928313667
2015-04-30,104.43747332207502,105.5705379361018,103.71719754050481,105.69085787335788,103.78337385361883,103.99393230200877
2015-05-31,109.32106140048352,108.87617490301938,107.23521842721269,109.87701443642011,107.90048460376329,108.78287703643565
2015-06-30,105.49747134817105,106.66366568459014,106.07941068002967,106.57929391094683,105.96864715909173,104.90799117461876
2015-07-31,110.51422978852518,106.88789699599255,107.66709214496508,109.35861713259247,110.40620813599912,108.34129454085901
2015-08-31,108.6553649742353,107.94067281270678,108.67521930091293,107.41433903656488,107.70383125200686,108.78283912894918
2015-09-30,118.00022381636835,113.68927038791085,115.58297363652052,114.69495914257175,116.03383958731777,117.4716887291373
2015-10-31,122.01437484673718,113.60355044459463,117.79918520271188,117.27376282990538,121.55000335596142,119.95368256015864
2015-11-30,119.95223278200604,109.14615139339286,114.73565558247863,114.29169670971643,120.88941505496005,116.08317110646294
2015-12-31,120.23589863973643,108.42726251858225,115.32500475345748,113.55329631105293,122.00702652560108,116.0028080326929
2016-01-31,116.66529579705951,107.57437697449686,114.21379621394337,109.46634083471389,117.35428254946825,114.56998285980835
2016-02-29,114.14344216914003,110.91999790253577,119.70608647625144,108.54570875447645,118.700783086502,114.29674366304494
2016-03-31,113.6867440568938,112.00399218382056,119.3552563401121,109.32729085235273,118.14809220007594,113.14560283890052
2016-04-30,113.46935516429927,115.51578460584864,122.87961196980261,110.58440150696964,119.04657076667893,113.78050149483904
2016-05-31,115.03926489019352,112.12076155877698,121.16489281009318,110.95889719018177,121.5637156784467,113.38328039371699
2016-06-30,108.46891947324764,110.44653550821384,120.96249939298013,106.36029550553883,118.67854196131373,108.11524257228487
2016-07-31,114.39586633729564,116.52419528035986,126.94248506515177,112.42827100267773,124.81440578341518,113.81763768772997
2016-08-31,112.73406449978623,115.00168778014364,124.33197954948348,111.46382213071837,122.6214897918791,111.80919705033796
2016-09-30,115.93671464748117,117.29851428892137,127.11896352972063,114.4763058441735,126.23235881467956,114.55448956542473
2016-10-31,113.85834841725968,118.47253562659816,129.1395355870892,113.9232767587232,126.97715001320779,112.6202489113318
2016-11-30,119.60996024197553,119.44834993829419,130.7631105700431,117.63158563872413,132.29567912137477,116.02697634280842
2016-12-31,114.9784193167642,113.03400318914332,126.58919231533095,112.28784203020068,129.64490416897013,110.3974313429047
2017-01-31,116.19920857988086,115.63806354225143,129.35844488965083,114.53927601193388,131.9210887151784,112.07415180444416
2017-02-28,118.86483675069042,118.54644544678897,134.63109484359458,117.31242898913175,137.3725883873128,114.46960280027037
2017-03-31,122.72204846846186,118.12959073525013,133.57914757369002,119.30909795257203,139.08264206581163,118.0250043631364
2017-04-30,126.61232908855963,120.1225344804072,138.37898844140253,122.49088811254578,145.77806986768496,121.08495447865089
2017-05-31,134.60177562225834,121.04769195507016,146.1431045360622,127.69309256841521,160.42385881057965,126.10275980207659
2017-06-30,137.26471522762353,121.386419663491,146.43112134234653,129.27377169435871,163.37495342292007,127.39308030645837
2017-07-31,138.7532048046449,122.46572472449411,149.12027033337515,131.1695504451652,166.9466206257183,128.21237999092048
2017-08-31,142.11609672735008,126.50926195347651,160.57436449840895,134.8100622021393,180.16288280413224,130.7414168574691
2017-09-30,144.78627020670876,128.60458065779983,161.4232558221675,137.73737778003664,182.05869532288708,132.64076098060332
2017-10-31,154.6281879364972,132.7663796152847,172.11574947575446,145.0230566280735,199.2893802381724,139.12939218661717
2017-11-30,156.19321515193957,131.83848587781847,176.84564589115288,145.79055819870595,208.60441409792762,138.38086959205432
2017-12-31,167.5910960579307,138.3543857022789,189.72552790292514,154.87613178073184,227.4532352085666,147.20909076707994
2018-01-31,168.71396105360455,143.47128539298313,193.40601732660267,157.84276075022143,226.7126432242339,149.58891438746406
2018-02-28,164.98219964641407,143.05024211266752,194.25220214082825,155.1754169077618,224.16369496479135,146.71227484616892
2018-03-31,165.7213520844523,145.48041219720875,192.60689493012845,157.03211573842967,220.37175721754966,148.91513472009956
2018-04-30,175.29184640046049,150.3941036488869,203.3345705012357,164.85465129291123,236.42358346467165,155.64832285930012
