familia_estrategia,sharpe_medio__com_alternativos,sharpe_medio__sem_alternativos,cagr_medio__com_alternativos,cagr_medio__sem_alternativos,max_drawdown_medio__com_alternativos,max_drawdown_medio__sem_alternativos,score_medio__com_alternativos,score_medio__sem_alternativos,delta_sharpe_medio,delta_cagr_medio,delta_max_drawdown_medio,delta_score_medio
equal_weight,1.1966191153074472,0.9197372762026349,0.16119093653789737,0.13839916430551158,-0.23464070085956035,-0.29870013860823297,208.14285714285714,353.0,0.27688183910481234,0.022791772232385793,0.06405943774867262,-144.85714285714286
markowitz_puro__min_vol,1.5049139592275806,0.9332213982609023,0.154041512285469,0.13231910104389946,-0.1327379736898228,-0.27221055575635267,87.42857142857143,338.2,0.5716925609666783,0.02172241124156954,0.13947258206652988,-250.77142857142854
markowitz_puro__max_sharpe,1.8036695588231477,1.0424219216909687,0.23179056202752404,0.16823027001407356,-0.18587422726886027,-0.2889274265519412,69.14285714285714,306.9,0.761247637132179,0.06356029201345048,0.10305319928308093,-237.75714285714284
markowitz_restrito__min_vol,1.2627725470100226,0.9208066921304928,0.1479270136125518,0.13637036809804443,-0.19461528002584513,-0.2945722487056095,159.14285714285714,350.0,0.3419658548795298,0.011556645514507385,0.09995696867976436,-190.85714285714286
markowitz_restrito__max_sharpe,1.4757916705146685,0.9511022306809117,0.20863192261485186,0.14345508170283056,-0.23021719449375497,-0.29544839021626995,129.28571428571428,336.0,0.5246894398337568,0.0651768409120213,0.06523119572251498,-206.71428571428572
hrp,1.2041007513605955,0.9050622133842443,0.1498384867853376,0.13337153866005794,-0.19322064603086955,-0.29157890233028366,170.14285714285714,358.6,0.29903853797635116,0.016466948125279657,0.09835825629941411,-188.45714285714288
