metodo,qtd_estrategias,delta_retorno_total_medio,delta_cagr_medio,delta_vol_medio,delta_sharpe_medio,delta_sortino_medio,delta_mdd_medio,delta_calmar_medio,delta_pct_meses_positivos_medio
markowitz_puro,34,1.442134767730557,0.020048877444996668,-0.012547707027547062,0.2285030790446132,0.507713815007096,0.04168551042367013,0.29154024331543477,0.024618736383442245
markowitz_restrito,34,0.5942261757406065,0.00792678393999355,-0.005002856349045466,0.0806360474244095,0.1767619000430783,0.01132173156889732,0.07186067431094158,0.0065359477124183
hrp,17,-0.3643560184594688,-0.007631964983673813,-0.005859737844246144,-0.005551716224227493,-0.04139151172739341,0.021244279210607557,0.03345317675003756,0.00653594771241831
