metodo,qtd_estrategias,retorno_total_medio,cagr_medio,vol_anual_media,sharpe_medio,sortino_medio,max_drawdown_medio,calmar_medio,pct_meses_positivos_medio,peso_max_medio,top3_peso_medio,hhi_medio,n_efetivo_medio,score_medio,vitorias_em_familias
markowitz_puro,34,5.210024249718677,0.16783288914031416,0.15042936818874594,1.2622505242904063,2.259505628423263,-0.23063721264099177,0.8626934284100346,0.6481481481481481,0.5524716500871981,0.9128301146540287,0.46886996859174146,2.727969045067453,221.97058823529412,17
markowitz_restrito,34,4.362115657728726,0.15571079563531104,0.15797421886724752,1.1143834926702023,1.9285537134592454,-0.26100099149576456,0.6430138594055415,0.6300653594771243,0.2294117647058823,0.5999999999999998,0.2115245772018174,9.425481552518676,261.1470588235294,0
equal_weight,17,3.767889481988119,0.14778401169531752,0.162977075216293,1.0337474452457929,1.751791813416167,-0.2723227230646619,0.5711531850945999,0.6235294117647059,,,,,293.3529411764706,0
hrp,17,3.40353346352865,0.1401520467116437,0.1571173373720469,1.0281957290215655,1.7104003016887734,-0.2510784438540543,0.6046063618446373,0.6300653594771243,0.2792389143390449,0.5786810855984044,0.21635344657647818,11.848357046193104,281.0,0
