data,equal_weight,markowitz_puro__min_vol,markowitz_puro__max_sharpe,markowitz_restrito__min_vol,markowitz_restrito__max_sharpe,hrp
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,-0.041028613559145555,0.0,-0.0020603694089844637,-0.021049037805910387,-0.029213166070192642,-0.03690475838830809
2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,-0.0407020497411682,-0.023788272724009407,-0.026748099819092097,-0.035920830424826855,-0.03651934781911004,-0.04045279801197843
2015-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-31,-0.021514249056387658,-0.04518765008990688,-0.03578441665499532,-0.03506223778828088,-0.02503037542156883,-0.02300280463122195
2015-09-30,0.0,-0.005873270491171589,0.0,0.0,0.0,0.0
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-30,-0.017685668597506976,-0.00960775186209073,-0.010678253924383152,-0.016513554686109932,-0.0178600684860446,-0.020923991543362108
2015-12-31,-0.01840216433950448,-0.016641063806375755,-0.01722956059435321,-0.021451466530851393,-0.022782346852197377,-0.02285122084865665
2016-01-31,-0.04809209091245026,-0.06329160009437362,-0.06257508768929998,-0.060370527933839124,-0.058623476044001976,-0.05083323878707702
2016-02-29,-0.07583798221753724,-0.0749952877070248,-0.055098015671984024,-0.08053982475474242,-0.064971584935404,-0.07765083156760844
2016-03-31,-0.06983253862631311,-0.03697906764313852,-0.016416124205133942,-0.06430961673327162,-0.05151029317979783,-0.06488047066431368
2016-04-30,-0.0796524394242284,-0.025173890833071533,-0.029159074880949598,-0.06650164006302894,-0.058259076701050905,-0.07096263108034861
2016-05-31,-0.07426415007813714,-0.03691069815114134,-0.024376724643695002,-0.06773668375731945,-0.05146928549560259,-0.07378044045476029
2016-06-30,-0.1360020737047387,-0.07636168299954915,-0.059880620377893434,-0.11681640560752538,-0.09408717065202654,-0.1312465093113242
2016-07-31,-0.07794979534558122,-0.004127949591763991,0.0,-0.05264259166392404,-0.026058660326126915,-0.07276223363315026
2016-08-31,-0.08800343454237991,-0.0023351276203011917,-0.0030907423029596925,-0.05823546736718632,-0.03500493485648981,-0.08601653574990331
2016-09-30,-0.06462684991064915,0.0,0.0,-0.037136619128989135,-0.009494360196710794,-0.06463609767446588
2016-10-31,-0.08448280823457299,0.0,0.0,-0.04368918478005246,-0.014180376836928299,-0.07795408134972648
2016-11-30,-0.04250000368866946,0.0,0.0,-0.011654110840517262,0.0,-0.043162915538791036
2016-12-31,-0.08922332051708759,-0.051792851389910965,-0.04642070985811797,-0.06219599124306352,-0.04656124318467547,-0.08993180092558672
2017-01-31,-0.07649259020320964,-0.027468562735539992,-0.00961891584417196,-0.040253581620380285,-0.01913228472328632,-0.07766790188300776
2017-02-28,-0.06149097882387755,-0.006642278712605143,0.0,-0.021087675801250816,0.0,-0.06250697848329123
2017-03-31,-0.023172028819467783,0.0,0.0,0.0,0.0,-0.022586704022372728
2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,-0.009811933223618952,-0.007663975562228642,-0.014703768328369837,-0.009025814859764725,-0.01090118181982802,-0.013776415501682182
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,-0.027584284439125972,-0.01155977799002017,0.0,-0.023219724178982215,-0.018190133912665885,-0.02690692936724859
