data,etfs_com_tudo__max_sharpe,etfs_com_ouro_btc__max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_tudo__min_vol,etfs_com_ouro_btc__min_vol,etfs_com_petroleo__max_sharpe,etfs_todos__max_sharpe,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro__min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc__min_vol,etfs_exterior__max_sharpe,etfs_com_petroleo__min_vol,etfs_todos__min_vol,etfs_america_norte__max_sharpe,etfs_america_norte__min_vol,etfs_global__max_sharpe,etfs_global__min_vol,etfs_exterior__min_vol,etfs_desenvolvidos_emergentes__max_sharpe,etfs_desenvolvidos_emergentes__min_vol,etfs_latam__max_sharpe,etfs_latam__min_vol,etfs_asia__max_sharpe,etfs_asia__min_vol,etfs_europa__max_sharpe,etfs_europa__min_vol,etfs_oceania__max_sharpe,etfs_oceania__min_vol,etfs_brasil__max_sharpe,etfs_brasil__min_vol
2015-02-28,116.11069755431089,116.32636499262716,117.42675420113322,117.6339004826841,115.05929343085208,115.230839401953,114.25161952794357,114.59947948579409,116.21003091672569,116.37178959132606,114.0445524944519,114.35249660127292,115.61311566642279,115.82199075862283,118.3704731739216,115.37142876842688,115.60860816298928,118.21473328623098,118.21473328623098,118.28407822340591,118.28407822340591,118.07332956835911,117.51547361110919,117.51547361110919,121.11561006945426,121.11561006945426,116.1969978223144,116.1969978223144,118.49352959213095,118.49352959213095,119.68513320090652,119.68513320090652,107.70873368994202,107.70873368994202
2015-03-31,124.48238299883099,125.12102645900407,126.12019410804136,126.7089437020393,124.06825567966114,124.54509061837314,122.88111777902651,123.35058757521531,125.33851283855795,125.7743704102688,122.61172405340619,123.1101440857258,124.16238627372348,124.78233299069417,130.22159476976202,123.91314847005546,124.5776649821527,129.05232903173527,129.05232903173527,129.6496974144663,129.6496974144663,129.44696065772462,128.8136472448872,128.8136472448872,133.68120227860015,133.68120227860015,129.08290835982382,129.08290835982382,128.84902428378786,128.84902428378786,129.16465804337918,129.16465804337918,107.62744728559883,107.62744728559883
2015-04-30,120.50817892378613,120.26746984637053,122.56364061608527,122.16286958529732,120.73225540727645,120.43235539966095,120.75401403338925,120.02275965143043,122.47550167704841,122.10010284009971,120.65612058191797,119.88351307253384,122.79332878524546,122.19170540191557,123.39324064463113,122.52859389463862,121.95542500217131,121.85166401257801,121.85166401257801,122.33725954035049,122.33725954035049,123.80135435623349,124.46137450241197,124.46137450241197,126.83679854000845,126.83679854000845,123.91875485373846,123.91875485373846,121.07278347599026,121.07278347599026,120.13457607720608,120.13457607720608,114.74595493715942,114.74595493715942
2015-05-31,125.2957307977207,124.92533599766563,127.1483986190342,126.7223047651593,125.55407812825037,125.23711800791366,125.5366406039649,124.92795444750399,127.09468599007296,126.75196516579976,125.51052812433186,124.86230721324803,127.4987522667002,126.78174760614233,130.4090511934732,127.32991110139751,126.71953981218292,129.6215856445179,129.6215856445179,130.98384570626845,130.98384570626845,130.63160011321423,130.67294054591446,130.67294054591446,132.48538145825603,132.48538145825603,131.29883411668857,131.29883411668857,128.39086338958944,128.39086338958944,122.50433986413299,122.50433986413299,110.07118460284502,110.07118460284502
2015-06-30,123.04987715441315,122.60680091160569,124.66374520227883,124.22348113626902,121.09217513036133,120.76731142049655,121.76893405676128,121.03486061414908,122.47452933748832,122.12306606315421,121.27594076633741,120.56676507893182,123.30200447353303,122.64433964307109,124.73699017221256,122.73876046817205,122.16766871107738,124.43191264735151,124.43191264735151,125.86422030342217,125.86422030342217,124.69686745769555,125.10308463952242,125.10308463952242,125.18466404411845,125.18466404411845,125.42738297367337,125.42738297367337,123.01078089329663,123.01078089329663,114.09570759502006,114.09570759502006,109.44431980667207,109.44431980667207
2015-07-31,128.2005779508005,128.5744003441022,130.1282770902537,130.86191217915504,124.62818495829488,125.22092325563274,124.9432386400371,126.37144625862035,126.49869351669065,127.2244738878602,124.31204767613534,125.68055826891869,127.42941405101007,128.24831733678874,132.3880667773154,126.75806014932849,127.80739611101879,134.25799212738326,134.25799212738326,137.4671209363393,137.4671209363393,131.86932871535475,131.92820857893707,131.92820857893707,128.13739570423235,128.13739570423235,130.64484094463546,130.64484094463546,135.89680296070497,135.89680296070497,123.46262973439346,123.46262973439346,105.16850640488586,105.16850640488586
2015-08-31,125.07251976412323,124.8893015072023,125.51064409044201,125.74650427806785,123.36089568414417,123.59836801916109,122.72244464696772,123.14912321747539,123.76360595359527,124.03999754363547,122.41357316361476,122.82578405832952,123.44181011395301,123.26470720542018,131.27315490859016,123.19801226721904,123.32618279747325,134.3799574034956,134.3799574034956,135.88935098288826,135.88935098288826,129.9759534024899,128.44698081389117,128.44698081389117,131.66242662136588,131.66242662136588,125.59519679873661,125.59519679873661,133.55823481472666,133.55823481472666,119.00255549272735,119.00255549272735,96.21397880066971,96.21397880066971
2015-09-30,134.7556905083109,134.6131254076969,134.74719567673245,135.10372944374626,131.5952810560688,131.9295983077911,131.04045401152115,131.87535748165675,131.47623463234277,131.98574957460855,130.52062708438598,131.37722886295796,131.62503714682313,131.97461939386022,142.8917677224889,131.1885370449448,131.7804670817706,146.17696908027378,146.17696908027378,148.19035378719155,148.19035378719155,141.62597183355666,141.12145977579618,141.12145977579618,139.2515629385156,139.2515629385156,141.10331021021508,141.10331021021508,143.6493717242577,143.6493717242577,131.6802805782093,131.6802805782093,92.7490757165278,92.7490757165278
2015-10-31,141.155684587293,141.76405536348219,142.38987731206217,143.46903103099663,135.84453724241695,136.74324801462555,133.9865356006931,135.3541551756172,136.79673171335995,137.6385201188845,132.81147873186947,134.18864466502166,135.201188480759,135.99380041957497,148.7401928308239,134.12069848542228,135.18503792380807,152.95682298697994,152.95682298697994,150.6795760909443,150.6795760909443,145.31098478196446,142.4378564288598,142.4378564288598,148.39053888747492,148.39053888747492,142.6833782548718,142.6833782548718,147.27709060309863,147.27709060309863,136.86572081779818,136.86572081779818,96.32455923264094,96.32455923264094
2015-11-30,140.38333333399805,141.581140649274,142.23599562247202,144.04386326772064,132.10370065475615,133.5295922373477,130.57890029894713,133.01333242906165,133.7423110395997,135.18028672324337,128.8674569580775,131.2769152243578,132.51758231011186,134.29960863369186,146.45696676319523,130.89841303896836,132.95265240730942,153.3143652383864,153.3143652383864,149.8574704899686,149.8574704899686,142.02745611365728,140.1428998223477,140.1428998223477,141.12284198347865,141.12284198347865,139.7487674805974,139.7487674805974,145.9200242764252,145.9200242764252,136.29011412373723,136.29011412373723,94.56930275092205,94.56930275092205
