carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_no_limite_min,n_ativos_no_limite_max,pct_ativos_no_limite_min,pct_ativos_no_limite_max,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,peso_min_base,peso_max_base,peso_min_efetivo,peso_max_efetivo,ajuste_limites,periodo_inicio,periodo_fim
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,2015-02-28,2026-04-30,135,286.5805,14.7176,12.8726,15.5226,0.9481415842911604,1.4785817279039093,-31.4046,0.40989676544594295,64.4444,0.1751547361110919,-0.15889099565047282,2,2,50.0,50.0,50.0,50.0,50.0,100.0,100.0,0.5,2.0,0.0,alta,0,2,0.0,100.0,2,2,2,2.0,10.0,2.0,50.0,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
etfs_latam,max_sharpe,etfs_latam__max_sharpe,2015-02-28,2026-04-30,135,372.3266,17.3115,14.9158,18.6699,0.9272365599582089,1.4542307236243903,-25.2892,0.5898101449955698,62.963,0.21115610069454266,-0.17460503022359777,3,3,33.3333,33.3333,33.3333,33.3333,33.3333,100.0,100.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,100.0,3,3,3,2.0,10.0,2.0,33.3333,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
etfs_asia,max_sharpe,etfs_asia__max_sharpe,2015-02-28,2026-04-30,135,311.5007,15.4727,13.5059,17.3528,0.8916566729940248,1.4228648425332855,-37.0783,0.3642526760895396,64.4444,0.18213372377588968,-0.17808986468475066,6,6,16.6667,16.6667,16.6667,16.6667,16.6667,50.0,83.3333,0.1666666666666667,5.999999999999998,-4.440892098500626e-16,media,0,6,0.0,100.0,6,6,6,2.0,10.0,2.0,16.6667,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
etfs_europa,max_sharpe,etfs_europa__max_sharpe,2015-02-28,2026-04-30,135,251.6296,14.2516,11.9188,17.4333,0.8174962145718582,1.281873442629143,-33.7057,0.35361529777057227,60.7407,0.18493529592130953,-0.15070106337190461,3,3,33.3333,33.3333,33.3333,33.3333,33.3333,100.0,100.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,100.0,3,3,3,2.0,10.0,2.0,33.3333,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,2015-02-28,2026-04-30,135,208.8495,13.3425,10.6262,18.4497,0.723181058613963,1.304928662045875,-31.0808,0.3418886065634556,55.5556,0.19685133200906535,-0.1418277607719597,2,2,50.0,50.0,50.0,50.0,50.0,100.0,100.0,0.5,2.0,0.0,alta,0,2,0.0,100.0,2,2,2,2.0,10.0,2.0,50.0,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,2015-02-28,2026-04-30,135,216.444,13.6839,10.8671,22.8777,0.5981323884299005,0.7922275587952731,-39.9506,0.27201350816348,57.037,0.1667489810309566,-0.34272874459931685,2,2,50.0,50.0,50.0,50.0,50.0,100.0,100.0,0.5,2.0,0.0,alta,0,2,0.0,100.0,2,2,2,2.0,10.0,2.0,50.0,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,2015-02-28,2026-04-30,135,413.9434,16.5549,15.7881,12.0628,1.3723922488314115,2.1566361445313014,-17.7863,0.8876584154986981,67.4074,0.14251619527943585,-0.10613405631738575,27,27,10.0,2.0,3.7037,2.0,10.0,30.0,50.0,0.06386351891253389,15.658391786546849,0.36054625465107004,baixa,19,5,70.3704,18.5185,27,27,27,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,2015-02-28,2026-04-30,135,413.3266,16.6031,15.7757,12.371,1.3421011330676587,2.427523459989601,-21.1267,0.7467176651130643,67.4074,0.14599479485794098,-0.09671459966970361,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,50.0,0.06751189252299952,14.812205118665965,0.3689414688430517,baixa,18,5,69.2308,19.2308,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,2015-02-28,2026-04-30,135,342.7687,15.1835,14.2527,11.9451,1.2711119327357083,1.9810555677402375,-16.4585,0.8659800439921481,62.963,0.14044552494451923,-0.10371072255065936,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,49.7403,0.06426899727832472,15.55960171074987,0.36574488683217665,baixa,18,4,69.2308,15.3846,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,2015-02-28,2026-04-30,135,344.5232,15.2739,14.2932,12.2434,1.247523696936421,2.238713953035245,-19.9073,0.7179887132845798,66.6667,0.1435249660127292,-0.09823050303095547,25,25,10.0,2.0,4.0,2.0,10.0,30.0,50.0,0.06857211262068476,14.583187855559087,0.3735045071788681,baixa,16,6,64.0,24.0,25,25,25,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
