data,etfs_com_tudo__max_sharpe,etfs_com_ouro_btc__max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_tudo__min_vol,etfs_com_ouro_btc__min_vol,etfs_com_petroleo__max_sharpe,etfs_todos__max_sharpe,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro__min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc__min_vol,etfs_exterior__max_sharpe,etfs_com_petroleo__min_vol,etfs_todos__min_vol,etfs_america_norte__max_sharpe,etfs_america_norte__min_vol,etfs_global__max_sharpe,etfs_global__min_vol,etfs_exterior__min_vol,etfs_desenvolvidos_emergentes__max_sharpe,etfs_desenvolvidos_emergentes__min_vol,etfs_latam__max_sharpe,etfs_latam__min_vol,etfs_asia__max_sharpe,etfs_asia__min_vol,etfs_europa__max_sharpe,etfs_europa__min_vol,etfs_oceania__max_sharpe,etfs_oceania__min_vol,etfs_brasil__max_sharpe,etfs_brasil__min_vol
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007546872157756512,-0.0007546872157756512
2015-04-30,-0.03192356964821408,-0.03874405724547336,-0.028225792008300443,-0.03583643439835704,-0.026953934695270076,-0.03301073967089174,-0.01731405259609886,-0.026977635252746768,-0.022914669590687775,-0.029213160290386453,-0.01595258116463505,-0.02621105034959148,-0.011015837672814333,-0.02075695645261122,-0.052371501619024374,-0.011172979608931488,-0.021045574437872916,-0.055796394794798365,-0.055796394794798365,-0.05640136015407704,-0.05640136015407704,-0.043615906421154205,-0.03378689155230963,-0.03378689155230963,-0.05119941863899069,-0.05119941863899069,-0.04000654495256706,-0.04000654495256706,-0.06035167829698618,-0.06035167829698618,-0.06991158468548686,-0.06991158468548686,0.0,0.0
2015-05-31,0.0,-0.0015646268762560256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008945147281410715,-0.008945147281410715,0.0,0.0,-0.0035559504602443726,-0.0035559504602443726,-0.051564708177499474,-0.051564708177499474,-0.040740175432541714,-0.040740175432541714
2015-06-30,-0.01790388107862273,-0.02007187570764124,-0.019524085739283437,-0.01970213968135104,-0.03549792274468,-0.03564916032540766,-0.03001283336999927,-0.03116280946430272,-0.03635403776786328,-0.03651939701028262,-0.03373906458433096,-0.03440017006522267,-0.03291838139751824,-0.03264017875855507,-0.04354439224402562,-0.03605845988336498,-0.0359258697004754,-0.04003734569560502,-0.04003734569560502,-0.039085969003478827,-0.039085969003478827,-0.04543106799705221,-0.04262402397730536,-0.04262402397730536,-0.06355812566781305,-0.06355812566781305,-0.04471819708220093,-0.04471819708220093,-0.045310767595048373,-0.045310767595048373,-0.11666489190242901,-0.11666489190242901,-0.046203242052330284,-0.046203242052330284
2015-07-31,0.0,0.0,0.0,0.0,-0.007163951957062209,-7.140855057263806e-06,-0.004717977699763676,0.0,-0.004593641682556937,0.0,-0.00954363905214417,0.0,-0.0005533970955398093,0.0,0.0,-0.004485008389462863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04147035974368474,-0.04147035974368474,-0.004980873379891282,-0.004980873379891282,0.0,0.0,-0.04414581552732255,-0.04414581552732255,-0.08346654605400816,-0.08346654605400816
2015-08-31,-0.02447667508572937,-0.028702878274496912,-0.035578810634541935,-0.03914532708673857,-0.01733525272452019,-0.012998571417669247,-0.02241301706718868,-0.02550412030111493,-0.026154389110093823,-0.025030379881591514,-0.024678126506896825,-0.022716747508428337,-0.03183199887815824,-0.0388543481103516,-0.008458746254164873,-0.03244377536600984,-0.035058251483260805,0.0,0.0,-0.011477427080142988,-0.011477427080142988,-0.014359344973329802,-0.02638756835921796,-0.02638756835921796,-0.015101295281747307,-0.015101295281747307,-0.043440107259350436,-0.043440107259350436,-0.017208182476307843,-0.017208182476307843,-0.0786758154505447,-0.0786758154505447,-0.16150439592087362,-0.16150439592087362
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19170069422210312,-0.19170069422210312
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16054069805429705,-0.16054069805429705
2015-11-30,-0.005434704095127363,-0.0012834207602462344,-0.0010286584565774026,0.0,-0.02743792010468471,-0.023453432521159945,-0.02542824625243878,-0.017294488385794615,-0.022277271719838287,-0.017859983585592043,-0.029692957190328828,-0.02169502680298563,-0.019847949339823145,-0.012447124620392769,-0.015398790392005757,-0.024019783372820624,-0.016504934447152397,0.0,0.0,-0.005455867840988726,-0.005455867840988726,-0.022596591469220773,-0.016111819050924514,-0.016111819050924514,-0.04897645057605293,-0.04897645057605293,-0.0205674589974153,-0.0205674589974153,-0.009214208137914626,-0.009214208137914626,-0.004205559054165753,-0.004205559054165753,-0.17583759006831323,-0.17583759006831323
