carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,periodo_inicio,periodo_fim
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,2015-02-28,2026-04-30,135,9.586269069888134,0.2272445831944635,0.235287433582811,0.11177495773452023,2.0330545213374034,4.4140037391723475,-0.14303749746174754,1.644935333448027,0.7185185185185186,0.1119336353906119,-0.061626224688166635,27,6,0.39757580626967415,0.0,0.037037037037037035,2.746472147892915e-16,0.39757580626967415,0.8659885640739855,0.998500906266504,0.2865021762759022,3.4903748830061168,0.881319979075617,alta,27,27,6,2015-02-28,2026-04-30
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,2015-02-28,2026-04-30,135,10.232537739524869,0.23347554583809854,0.2418600221721825,0.11762637195824324,1.9848911596200651,4.648080541265497,-0.1651617456861838,1.4643828155687428,0.7037037037037037,0.14614435235821033,-0.057245094998485964,26,6,0.39512302278819256,0.0,0.03846153846153846,6.345176426799778e-16,0.39512302278819256,0.8902956243634306,0.9875363416372518,0.2941621135332206,3.399486045258738,0.880408737858047,alta,26,26,6,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,2015-02-28,2026-04-30,135,6.200626621486776,0.19118820453785745,0.19338185188850732,0.10287479273606312,1.8584553072040917,4.0000274573823145,-0.11740293997608076,1.647163622375268,0.7037037037037037,0.10815289850325084,-0.05016499204463062,26,5,0.38451801097342436,0.0,0.038461538461538464,1.478785025989038e-16,0.38451801097342436,0.9144052073858837,0.9999999999999962,0.2949615951435153,3.3902718742534743,0.8812549913148997,alta,26,26,5,2015-02-28,2026-04-30
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,2015-02-28,2026-04-30,135,6.482784393045035,0.195299788624766,0.19749668340113513,0.10735516159679293,1.8191932806945752,3.9891762252909864,-0.13582811172603448,1.4540192077431382,0.6814814814814815,0.13233801954885693,-0.05543010623394067,25,5,0.38197219442456476,0.0,0.04,1.6210048496829467e-16,0.38197219442456476,0.9338246563687047,0.9999999999999954,0.3028364602936119,3.302112298599913,0.8784380898533268,alta,25,25,5,2015-02-28,2026-04-30
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,2015-02-28,2026-04-30,135,13.666782520002588,0.2669999887224615,0.27188515148973624,0.1559415809430484,1.7121795681933791,2.9603622768339073,-0.2515988746835127,1.0806294417323674,0.6888888888888889,0.16754036591789445,-0.11995016714144623,26,7,0.34063202162887185,0.0,0.03846153846153846,3.38036544423054e-17,0.34063202162887185,0.8305472185960537,0.9865300237999455,0.2547363561522449,3.9256273234996866,0.863712065118688,alta,26,26,7,2015-02-28,2026-04-30
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,2015-02-28,2026-04-30,135,14.340001940121203,0.2717777427022505,0.27700712591061083,0.15991536619276775,1.6995098668294317,3.170194752616234,-0.2726557785485272,1.0159591239373245,0.6962962962962963,0.17149863655319725,-0.1017217970369753,25,6,0.35467781031972323,0.0,0.039999999999999994,5.61866777047117e-17,0.35467781031972323,0.8573758598462149,0.9904495680517454,0.2705378650618196,3.696340250824016,0.866329194925852,alta,25,25,6,2015-02-28,2026-04-30
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,2015-02-28,2026-04-30,135,7.069237941292771,0.20968958642526228,0.2056156657476853,0.13809875093559978,1.5184032078830878,2.5793251053413995,-0.2154346427999353,0.9544224785548142,0.6814814814814815,0.15917593293255486,-0.09853109940997232,25,5,0.42921275303992007,0.0,0.04,2.2806791507977866e-18,0.42921275303992007,0.9091331586802367,0.9999999999999993,0.3237470653802894,3.0888310873964224,0.8856276585603609,alta,25,25,5,2015-02-28,2026-04-30
etfs_todos,max_sharpe,etfs_todos__max_sharpe,2015-02-28,2026-04-30,135,7.339281857452104,0.21315761234474515,0.20917492657412362,0.14119475179746335,1.5096709306200617,2.7289789233528237,-0.2334128223759604,0.8961586790515024,0.6814814814814815,0.16058723236719422,-0.09691742028548886,24,4,0.44140651207326953,0.0,0.041666666666666664,9.365637773000636e-17,0.44140651207326953,0.9371761384388408,0.9999999999999987,0.3429731828652951,2.915679854750499,0.8892546292974832,alta,24,24,4,2015-02-28,2026-04-30
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,2015-02-28,2026-04-30,135,9.024711970567276,0.23884731203073206,0.22927268116011512,0.18150440943958593,1.3159311818825692,2.5382874899472045,-0.27750786292005725,0.8261844502264161,0.6222222222222222,0.19609783215141818,-0.16075785300418166,22,4,0.4404069045474687,0.0,0.045454545454545456,4.3563309623206747e-17,0.4404069045474687,0.936572085278403,0.9999999999999996,0.32185191331899543,3.107018969338471,0.8713840774549864,alta,22,22,4,2015-02-28,2026-04-30
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,2015-02-28,2026-04-30,135,8.90368311938187,0.24076349091317564,0.2279362689984521,0.19917431060836946,1.2088079540869192,2.1623285652000632,-0.27086919218065053,0.8414994232582743,0.6148148148148148,0.20586456078448598,-0.16209537205826843,3,2,0.847959156118205,1.4354906041718516e-18,0.3333333333333333,0.152040843881795,0.847959156118205,1.0,1.0,0.7421511486529868,1.3474344165807894,0.5653061040788037,alta,3,3,2,2015-02-28,2026-04-30
