carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,periodo_inicio,periodo_fim
etfs_latam,max_sharpe,etfs_latam__max_sharpe,2015-02-28,2026-04-30,135,479.2349,19.4758,17.0349,20.3755,0.9558425986336668,1.5541930317965569,-21.8947,0.7780372841491743,63.7037,0.21292493467788678,-0.17347807061746745,3,3,49.1117,13.0597,33.3333,37.8286,49.1117,100.0,100.0,0.4013517920708964,2.491579755605915,0.24034656365131535,alta,3,3,3,2015-02-28,2026-04-30
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,2015-02-28,2026-04-30,135,295.0433,14.9691,13.0917,15.6973,0.9536103319504526,1.490898711039809,-31.2586,0.41882053761122323,63.7037,0.17912383943954407,-0.15866928536696528,2,2,68.229,31.771,50.0,50.0,68.229,100.0,100.0,0.566459136624607,1.7653524064573451,0.18228979212315632,alta,2,2,2,2015-02-28,2026-04-30
etfs_europa,max_sharpe,etfs_europa__max_sharpe,2015-02-28,2026-04-30,135,267.8707,14.5724,12.3723,16.8958,0.8624868044079637,1.3759447766427235,-29.3844,0.4210497419733449,61.4815,0.18600001070644376,-0.1480869217699054,3,2,51.0996,0.0,33.3333,48.9004,51.0996,100.0,100.0,0.5002418257527155,1.9990331646005346,0.3406640260808831,alta,3,3,2,2015-02-28,2026-04-30
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,2015-02-28,2026-04-30,135,249.0447,14.5475,11.8449,18.6266,0.7810082209068475,1.4817734054322076,-24.2533,0.4883829190249676,59.2593,0.20692602772903546,-0.14239250572911677,2,1,100.0,0.0,50.0,50.0,100.0,100.0,100.0,1.0,1.0,0.5,alta,2,2,1,2015-02-28,2026-04-30
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,2015-02-28,2026-04-30,135,287.1026,15.3727,12.8863,21.8582,0.7032913111643635,0.9673559858090008,-37.6517,0.3422493298404763,60.0,0.1734619660884924,-0.31063618761424666,2,1,100.0,0.0,50.0,50.0,100.0,100.0,100.0,1.0,1.0,0.5,alta,2,2,1,2015-02-28,2026-04-30
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,2015-02-28,2026-04-30,135,455.2188,16.67,16.5919,9.7419,1.7111688717490054,2.852687404823968,-8.9833,1.846981651679392,65.9259,0.10156229990124963,-0.06905994318488431,27,8,36.3789,0.0,3.7037,0.0,36.3789,79.1407,92.9129,0.2616552849602276,3.8218222886344644,0.8609413087097115,alta,27,27,8,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,2015-02-28,2026-04-30,135,448.7161,16.5625,16.469,9.7428,1.6999753007950935,2.83820558760979,-8.92,1.846294918517903,65.9259,0.10137539409235001,-0.06881164890778259,26,7,36.3512,0.0,3.8462,0.0,36.3512,79.0323,93.1623,0.26178342649980396,3.819951527759336,0.856095085981855,alta,26,26,7,2015-02-28,2026-04-30
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,2015-02-28,2026-04-30,135,439.2656,16.4797,16.2879,10.0705,1.6364326735781236,3.0609485311335045,-12.317,1.3223926949640088,67.4074,0.10668959895017747,-0.059688208930531644,25,8,34.4356,0.0,4.0,0.0,34.4356,80.5031,94.7785,0.2602179770776466,3.8429320342522275,0.8519856582359546,alta,25,25,8,2015-02-28,2026-04-30
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,2015-02-28,2026-04-30,135,439.2656,16.4797,16.2879,10.0705,1.6364326292518956,3.0609485308178335,-12.317,1.3223926808732087,67.4074,0.10668960055871013,-0.05968821223167329,26,8,34.4357,0.0,3.8462,0.0,34.4357,80.5032,94.7785,0.26021801379128345,3.8429314920606665,0.8576785556951101,alta,26,26,8,2015-02-28,2026-04-30
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,2015-02-28,2026-04-30,135,335.6851,15.0463,14.0878,11.676,1.2886513050569082,1.9234773499293922,-16.1235,0.8737430718473005,68.8889,0.14557165462038266,-0.11082206475948557,25,7,36.0978,0.0,4.0,0.0,36.0978,79.1339,94.7254,0.24899378848860396,4.0161644435791555,0.8503083963466602,media,25,25,7,2015-02-28,2026-04-30
