carteira,tipo,coluna_retorno,carteira_tipo,ativo,peso,peso_pct
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,USO,0.04837330803606153,4.837330803606153
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,ARGT,0.011998174240896916,1.1998174240896915
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,MCHI,0.0006422474226121041,0.06422474226121042
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWJ,2.9928443678358127e-16,2.992844367835813e-14
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,INDA,2.0204931607330351e-16,2.020493160733035e-14
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,VT,1.1848957134381292e-16,1.1848957134381292e-14
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,BOVA11.SA,0.3609779114781971,36.097791147819706
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWJ,0.2903893039580401,29.03893039580401
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWH,0.13997251085152948,13.997251085152948
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,SPY,0.09579389151404946,9.579389151404946
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWU,0.06012024047422275,6.012024047422275
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,USO,0.043530229945760224,4.353022994576023
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,MCHI,0.009215911778200823,0.9215911778200824
