data,000001.SS,ACWI,ARGT,BOVA11.SA,BRL=X,BTC-USD,BZ=F,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GC=F,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
2015-01-02,,124.70986922308657,43.669026486607436,47.2599983215332,2.6531999111175537,835.8429087301411,149.69353412709825,75.06890616133205,75.49098866519762,36.85953654787113,55.805793658912535,37.57840166355959,96.49781920078567,46.0149936939365,61.724670081875956,115.85414247507651,117.35722500071188,100.22477238708962,71.11850318774441,3146.6950945854187,302.67705071844466,92.01616189089964,71.022772248416,108.35666453257818,251.16535419580032,52.02000045776367,451.37559439425604,422.17715690194746,71.43898448270284,124.761517474225,67.78411921894121,11782.856174195069,48512.0,27067.295027444605,31354.549199910834,5460.815927511372,8114.820036723744,4.673765978076641,7584.153468711302,,11223.67301384965,353.4113154198609,,,
2015-01-05,1455.2568054463043,124.00335653901493,42.912505226683834,46.31999969482422,2.691200017929077,738.6644310929405,142.92963459479142,74.77230236581727,76.34035365189857,37.03219099378293,54.63384271016821,37.83796026489813,96.74983356692155,46.08046098204204,61.03123797373564,114.04164371630122,117.55851643260212,98.7469827257346,69.06199240345813,3239.9357672879414,311.6409702890778,91.91172232863482,70.8784477012041,109.75550032837145,251.02560743407957,50.54999923706055,449.5719932294742,404.5412064060365,70.8471925191111,124.10015572178872,65.91068058436804,11866.39316514437,47517.0,26431.16521218326,30601.14877572283,5437.784813961509,8230.823852562578,4.640563964798216,7452.959710541123,388.91059669898823,11197.975521477172,356.3316149865809,11558.235111188376,9765.64864276792,789.197594767754
2015-01-06,1459.199506034528,123.26718032928784,43.05440003153876,46.58000183105469,2.7030999660491943,773.5974636448591,138.1284041405106,74.88945137796509,77.39597275456435,37.04300995840185,54.6461668749871,37.426904825196516,95.6060341004013,45.34284074652851,60.59689176839356,115.62673439062928,117.64125247216907,101.49881347432529,68.58042735861909,3295.8899205910857,316.58707544796744,91.83523934490586,69.02515754502701,109.18652736588137,248.75479955585797,50.0,447.30678479322523,390.3276185990908,70.36870064205141,123.39817772754486,65.22959970295142,11747.838741234737,48001.0,26246.533400297165,30558.593306156807,5413.254983413586,8185.605045341654,4.590392699800069,7475.250272279372,382.5730772242787,11111.984644613694,346.853994435856,11575.395006479734,,764.6852037912372
2015-01-07,1466.979141795521,124.5779517423216,43.35672899584097,48.150001525878906,2.6965999603271484,793.7091576648527,137.93109208541864,75.07719568080574,77.46153733998653,37.292953717696946,54.97218128733948,38.04417947282673,96.76976870036015,46.01640994502304,60.978073234273324,118.09507008034416,118.84087730966712,104.28611521987477,69.22018332381413,3264.503846137086,313.9651342038269,93.50127895886544,70.21306710055796,111.70678502647206,251.35569637830486,51.25,451.7916721434449,396.2923482742917,70.95083526406597,124.68753609053238,65.21134345397513,11659.069972044672,49463.0,26221.03145858273,30472.451688587666,5463.04192546173,8235.158275461872,4.6294865882147125,7569.575909454608,383.80355803006387,11217.855834960938,343.69687643972367,11612.199046679927,9690.26812531799,765.4034360490818
2015-01-08,1423.1297865653514,125.79122860635835,43.2925662676962,48.5099983215332,2.680799961090088,759.6019855569466,136.6135635628052,75.1377268696342,77.66207763408147,37.56315452453009,55.68355023854565,37.96931293996067,97.41505551052796,46.64926745951561,61.7032880646866,119.20313079548578,120.44200267691849,105.46092215705357,69.84870910735026,3239.47873843048,310.81195403370657,94.60973841257328,71.66715426528299,112.16322885298723,254.66572895751597,52.0,457.11459934675077,397.8306978634646,71.60758013742452,125.82811537645284,66.2846361595075,11650.947294712067,49943.0,26586.819005012512,31206.867208220763,5528.1845437857555,8239.227760522102,4.651107223331516,7726.972513876855,385.74471566751527,11368.06575140683,348.8899494302301,11611.556095425683,9945.100912605878,774.0334066824537
2015-01-09,1408.5936592462547,124.03001803664665,42.88118296996345,47.529998779296875,2.6596999168395996,772.3981055279,133.27756445618434,74.16442396227922,76.87894751994463,37.618615675210094,54.85564115211673,37.79896500943778,95.61739096977362,45.84986257513265,60.94046159975733,118.80666991161888,120.59069317584544,103.60258843624251,68.25363192201621,3234.195098876953,311.87641793034345,93.52852249184252,71.45448130103887,110.91297876820136,250.99793793913705,51.0,449.8824618002982,388.95453044879105,70.70194604357766,124.00335448004626,65.24174578877137,11792.578366220696,48840.0,26047.30702135642,30256.731348752975,5438.581142794574,8203.82530930778,4.67798973575156,7684.77847028774,381.9615951357773,11206.059894202044,351.6034437454727,11605.593492073074,9542.229866441572,765.9551837750041
2015-01-12,1367.913622368719,121.77903144001903,41.85597560768656,46.83000183105469,2.6263999938964844,703.3393864758546,124.57015251202392,73.1793051628847,76.04840349606093,36.71836315319524,54.49284050751885,37.67014310322338,94.08093318590545,44.909943068851135,59.93801379503566,115.63496828901407,119.10210602814914,101.14948224174441,67.74314890415553,3237.563144234009,311.3859768642578,91.67324623471359,70.99941340617079,108.52129401355342,245.2710779334302,49.75,440.7695996836992,365.80498794384766,69.74170821195003,121.81232431408716,62.5687670100524,11682.12289216579,48140.0,25895.725544291083,30423.665893400088,5327.022077268921,8139.6840977459215,4.663692790047102,7514.2733892728575,,10952.009746814147,350.6050961099537,11561.18816106654,9592.416202202672,755.004274000645
2015-01-13,1394.8560086677296,123.89597515970581,42.48308450801528,46.63999938964844,2.6702001094818115,603.0940467186374,124.4046235081978,73.8054396708676,76.83738556391927,37.33071030288738,55.64866665888303,38.98028543823307,96.42614281773785,45.999871509241075,61.111492472618465,117.03964273823658,122.14618246711234,104.02750002103585,69.20327016836018,3295.8281255142647,315.5108547149357,93.95737095824461,72.08938302702063,111.58953924481648,249.28782627796136,49.7599983215332,446.85996033236006,376.39142535992505,71.24812596242236,123.92753140337027,63.106131261753035,11768.194811421912,48042.0,26479.556164005306,31399.643513917923,5401.895005713508,8340.22252390359,4.733814815395447,7558.58345579356,385.49876592028886,11124.588217646582,357.04483205143595,11687.277944889765,9898.61082341167,773.9604816799033
2015-01-14,1374.6758502300618,121.90212771621191,42.042986722452724,46.47999954223633,2.6396000385284424,470.12067728439433,128.52212225101084,71.89837969172459,76.35482433913921,36.405114033501604,55.15340687803473,38.33317881994503,95.15058122893606,45.19693288245662,59.861049730104696,115.55900803744407,119.97814098616345,101.83056850447883,68.62153047778747,3258.3223520028696,311.39361976736836,92.4876607493934,71.0539954592764,109.17398003592098,245.0716348057813,49.04999923706055,439.072269055323,385.8039512978212,70.24306639317956,121.94843631216372,62.57799187028695,11539.149852669681,47646.0,25535.474083542824,30516.39346030075,5308.948421045789,8209.375721416553,4.689719917641646,7403.389157156926,376.0615741604124,10943.359011295252,352.5635546210707,11546.598768504853,9604.238963934593,760.8171574808233
2015-01-15,1409.3068415670323,120.35863232531483,41.30430773620901,47.0,2.6120998859405518,548.1334731600364,124.51879677988836,70.36171185927788,76.49702873977367,36.23929874411988,54.478092091766484,38.222283165091994,94.83426010153926,45.51444848998426,59.577647555659496,113.2515153211234,118.91823277769163,100.11711015696164,67.73551737155867,3303.522598205076,315.9073665828473,91.58242771408368,72.68359447826606,108.67331563967127,239.37161630011724,49.11000061035156,430.517473971493,364.6491600202935,69.9031365918645,120.28872230334309,61.13726581164656,11356.41499502922,48026.0,25850.27595087723,30890.407234189566,5205.053194506705,8203.334575584275,4.6210027528160476,7390.028369293141,380.8396605074013,10682.574043448898,357.35679651711047,11368.094928914108,9721.51175870758,752.2394074908732
