data,etfs_todos,etfs_global,etfs_america_norte,etfs_latam,etfs_europa,etfs_asia,etfs_oceania,etfs_brasil,etfs_exterior,etfs_desenvolvidos_emergentes,etfs_com_ouro,etfs_com_btc,etfs_com_petroleo,etfs_com_ouro_btc,etfs_com_ouro_petroleo,etfs_com_btc_petroleo,etfs_com_tudo
2015-01-05,99.27470636591278,99.3583287258054,98.92698355306678,98.7693424624134,97.9616173408037,100.39223552465475,100.7967664503543,97.59258362947014,99.42762661468029,99.52905534570617,99.42217994443284,98.83866193087587,99.13662285083794,98.99723438849274,99.28373527307166,98.7226602600361,98.8796560218464
2015-01-06,98.97982188175598,98.75068146378801,98.12178052692673,99.38739417726457,97.50889927276974,99.23235894723229,101.50838908909333,97.33556724846936,99.1292433859733,99.15154197549907,99.20178813952852,98.74378797040931,98.71460057278945,98.9662938925736,98.93794816567069,98.49813357145446,98.72122483245988
2015-01-07,100.24977755917402,99.71695618971684,98.78253952534679,100.41030325018194,98.21047292970304,100.787152586425,101.89384309354233,100.19263114852592,100.25222163079187,100.46104884833503,100.39081644396484,100.0627222810706,99.990830891946,100.20583351804686,100.13635404388286,99.82107627935848,99.96777361515613
2015-01-08,101.18528352725748,100.65239881882957,100.14604210172506,100.70179967690618,99.32069855985829,101.7399578256903,102.39486835188035,101.30029650821082,101.17204173559593,101.52148336210499,101.24983630640736,100.78713696045986,100.90212285034714,100.86467553657614,100.97519162393347,100.53085021867363,100.61507944044168
2015-01-09,99.94997110632353,99.27177487193129,98.61189925961877,99.83637137055058,97.66313215472977,100.84199602704373,101.95419469450309,99.30302031992188,100.0059452221543,100.29940077771779,100.0770501723205,99.67381703464572,99.62949081101868,99.80663818457367,99.7639215353244,99.37680372303785,99.51560671291834
2015-01-12,98.1774775598614,97.63712164419096,95.84935812927104,97.71027854223091,96.66883789677301,99.4931802500386,100.18354049554947,97.35483008388117,98.24959490387896,98.62349977229928,98.36699787174395,97.62045836701562,97.6961656821271,97.82358729806704,97.89641276143473,97.18081745672521,97.39220361766544
2015-01-13,99.90737874733391,99.47100432579819,97.08845742677916,98.87258136687966,98.67769996338913,102.03290406059627,101.53860300163848,97.16711493209961,100.15536792762103,100.9172797422332,100.08303085712585,98.71519659286324,99.46182278946803,98.92825101631107,99.64751743073475,98.33687990137851,98.55565334443685
2015-01-14,98.40013520646562,97.94017332056896,95.7062543689446,97.2626360666789,97.43542441395313,100.31461169023584,99.96095754995929,96.30723458085907,98.5875958559298,99.41619681447439,98.58129206022058,96.41489913708689,98.12081274382703,96.6620006359242,98.3056641498482,96.22811426190361,96.47283931943504
2015-01-15,97.61190796843185,96.92449909378412,93.60820528303225,95.35270663588278,96.4646355669781,100.48719190785344,99.82639461834991,96.90486369038365,97.67045710134127,98.68911920571647,97.88035946602929,96.31343897378083,97.15105221447551,96.61808297088493,97.42625199888825,95.92780398893814,96.23470892134473
2015-01-16,99.67638931341017,99.05113733378454,96.37021606020649,97.43729940826907,99.43691027156159,102.06364219201842,101.32758968755505,98.50014587796049,99.77779802648399,100.58893593038229,99.95925279774971,98.2758093357991,99.36113815000948,98.5978306088367,99.64496582598336,98.03267244942806,98.35143883560293
2015-01-19,99.4651864714379,99.05113733378454,96.37021606020649,97.43729940826907,99.43691027156159,102.06364219201842,101.32758968755505,95.99561967422385,99.77779802648399,100.58893593038229,99.75592268837255,98.1701455055739,99.15902468354773,98.49589785893662,99.4500708174866,97.93132397328897,98.25352666404922
2015-01-20,99.91416023490017,99.68847496291325,97.07662870751396,98.13123819339059,100.34956018931489,102.55428991915771,100.24129719238803,96.16420562645473,100.25319712609904,101.07808199954502,100.2573210890501,98.57678647011538,99.41825858604204,98.95382182465575,99.76632715579741,98.15950466540426,98.53701866803128
2015-01-21,99.85530622330678,99.01795293524742,96.68903665339438,98.20986723962642,99.8123799772278,102.39622728804608,99.01438069990157,98.37335343480895,99.97940372003711,101.00770156560466,100.14539834860561,98.75248226755394,99.37137662398571,99.0709920353249,99.6682459429173,98.33659246075436,98.65794315242525
2015-01-22,100.36519107323831,99.37039262872561,97.39439658643305,99.44265640302811,99.64756866497783,103.07071916928588,97.82283416616781,98.84058033106881,100.4931643907981,101.5589318833938,100.64705777909357,99.32825014773738,99.75723565274205,99.63662430620543,100.05065797100976,98.79153408796006,99.10727070369299
