data,000001.SS,ACWI,ARGT,BOVA11.SA,BRL=X,BTC-USD,BZ=F,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GC=F,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
2015-01-31,1338.483465447557,150.10954122009662,47.55765924328989,45.61000061035156,2.6001999378204346,588.7502788561724,137.7845990694541,99.09362121737286,100.23770561918263,56.99638283540344,72.93560627206807,56.34633285094833,119.50518676167303,79.2020877254563,93.81521851766956,146.26124650239944,144.70113050729742,175.72151655901325,95.92137411915974,3324.3556205034256,320.9946743887522,122.2614022665939,83.46641403644571,131.05008083374014,262.8802097460557,46.790000915527344,518.6098696631052,370.6844967875368,99.19763159543982,153.7758227356644,98.22255661875715,11315.748048544396,46908.0,26443.474454123527,31515.09136215225,5187.372848559811,8220.64535502519,4.612728094532574,7202.387680429732,388.30636411713203,10786.74788511882,370.6534808883372,10877.247093385778,9876.357997686835,772.7394083003379
2015-02-28,1538.7520094076497,176.9435478140831,58.33239920387268,50.0099983215332,2.9049999713897705,737.3703412486648,181.79490352878565,120.00555280752178,118.95975104475019,68.7904002090454,86.27850136661527,63.06754671926501,143.50700301933284,92.95999908447266,110.97100112342832,174.91004561777117,164.51015148267743,198.87629538173678,114.0502940008164,3522.602894384385,337.4448073150634,142.34499859809875,97.23035258855816,154.13930247135158,314.9020013313293,49.4900016784668,611.9673046113967,420.6440047225951,117.6524988412857,182.0272977640152,114.77654399366384,13447.703246567398,51583.0,31053.13964237878,37115.82481986843,6113.572439789772,9298.05968431849,5.241124737944569,8563.171725924127,457.54184635628917,12900.14599599829,416.06308515184577,12874.664947284138,11715.824862003326,875.5909515631089
2015-03-31,1951.2179593063086,193.62452571247104,67.61695852569574,49.5,3.2260000705718994,787.8666380849609,177.78486585821156,129.9755457968331,129.2335672573472,73.7463635822678,96.26384259811402,70.74618253213885,161.68712009132378,101.55448074485776,116.20052401874545,186.97896113685601,184.65624945426953,216.2065139002607,125.23332175510404,3816.680604733847,366.6671798351672,155.91258931772245,103.19974151922224,175.81700384616852,340.6656025299071,49.91999816894531,665.943170940227,434.60673344543466,128.4915887178613,198.68934483877183,125.13654569097525,14549.059632062912,51150.0,32339.044216156006,41799.027291367296,6671.012939391949,10358.52136665769,5.956004505472581,9239.920682220254,516.2838934015235,13980.484056813293,438.20837279192943,14117.810976318551,12915.317402079469,985.8104223635802
2015-04-30,2118.6511665816024,182.29969676184828,65.01845314244838,54.619998931884766,2.952699899673462,697.2653304236846,197.1812956958238,124.66299336858356,119.73197867902763,68.85696075929263,87.45897350633231,70.24473331650915,151.88687878428664,97.08477585508717,113.44272473889941,173.0872649650346,180.61664745647067,208.726363116657,116.98596687123882,3491.2724334613013,335.0428612203177,153.06796324961851,86.77984824921805,185.0752306126251,317.7990820920222,51.36000061035156,615.5198409099648,484.4790049449766,122.15319169566737,186.4925252128296,122.06461430304716,13670.190353393555,56229.0,31706.229255239712,37589.83726855251,6157.8851966029615,10717.829044342041,5.875651098393715,8647.646076962817,484.0962560911248,13033.95553213358,380.78107439045425,13005.847826579544,11865.281614898646,944.9457149408439
2015-05-31,2352.651173388146,194.99962492826853,66.35798595716096,51.349998474121094,3.158400058746338,748.8439983523494,207.06470014047227,130.31558112260427,120.39820686587518,71.19034021574407,91.9410276378403,74.79091435498049,164.86848547622685,103.21651488369753,122.10374578919982,184.7979821359786,182.55552098587032,205.32759456616986,123.27235043740075,3756.6011069822707,360.3734418836211,157.7620853440476,96.48911938503261,189.0302386966323,347.58193610370654,50.25,666.8645864759674,513.1768280509641,130.59983760982504,200.1478083492202,123.79348933869551,13966.381582359318,52760.0,33798.908145967405,39519.21098847315,6655.980360520189,11171.792087073263,6.033771212465885,9212.969416588428,524.5659678008124,14238.857064843178,417.34179915841077,13261.038121689973,12363.468629050185,995.1561359796467
2015-06-30,2149.3752768007116,185.18675294351578,62.42460304298402,51.459999084472656,3.115000009536743,819.4692543704223,198.08285108175278,118.74379703636168,108.02820128135681,65.50845233945847,86.84619765167236,70.27439855155944,159.6126057170868,98.30939863739013,113.69750034809113,177.89765244588853,171.66765242681504,203.84560822906496,116.59445130758286,3649.2225111722946,350.0325596272469,149.64460331001283,94.25990100154877,174.56460338630677,333.52305007047653,49.56999969482422,641.2227709755898,495.4095806030273,123.50975513124467,191.63480201263428,117.06170606212618,13044.826610326767,53081.0,31929.42423582077,38232.968946082285,6426.588004294492,10547.524019935518,5.778051590899203,8944.961537846713,513.7851794260787,13695.906711852644,409.074743474102,12200.437588931454,11961.765148712962,931.8232693078988
2015-07-31,1991.9815176493635,202.0457484684448,61.75305530676269,49.369998931884766,3.370800018310547,959.4982046383666,175.98946586993407,120.40498076879885,117.50609069567872,70.51713664022827,95.49476426156616,74.93288286401366,174.3377810617676,99.16893679586792,124.98927085107425,189.91087354595948,172.51754596582032,209.93342102563474,130.04547087854007,3690.68902234314,353.6980469500122,151.3152107645874,104.73075554022216,168.67483600231935,377.36105176300043,47.709999084472656,709.5534038543701,420.4061823984375,135.6072831936035,208.4165713042603,116.93304800610349,14008.633764837636,50865.0,35197.08994009998,41704.16366262594,7091.624206784181,10711.114855745109,5.845096120716552,9275.044635054655,559.3009894745373,15468.298438712955,448.5874707169107,13188.642865866263,13278.264416423044,924.485737917968
2015-08-31,1798.7398673555665,199.9061878493958,64.55975246005255,45.34000015258789,3.578700065612793,823.3014214209106,193.78661401359568,125.36185892988578,115.30572048257454,66.74275485851285,94.26296027430726,68.99733972231297,173.49537754270932,95.6228632958755,122.10524241624444,189.13429300697317,171.2050116849823,205.7752537727356,128.0101029851685,4049.6569068768295,389.43414004785154,145.6173007551879,100.52568538912965,157.82066743286123,373.2941951070097,43.47999954223633,707.4016354168853,454.92436216989154,133.55708535653685,206.59835314962766,118.86652322539521,13352.830579519272,46626.0,34179.76200657897,41052.20302507654,7057.840887615574,10008.340784087952,5.900144874251488,9337.69914238248,555.3801323681182,15297.440006053075,431.2911690865683,13082.134937536917,13083.0969931297,893.0277255003434
2015-09-30,1948.0601984689224,218.69432866255192,64.66767870342255,43.43000030517578,4.0543999671936035,957.0816463572846,196.11132208258823,133.63301920678714,129.65970909489442,72.65484772143554,100.30585426039124,77.52013077532956,185.36717144931026,106.71180589923097,132.9032259753876,209.04486787637325,197.77362545048527,217.6401914762573,137.2414327029801,4522.683163404465,433.2531829689178,161.7300122167435,115.83420582541657,177.62326813062282,412.57574932275384,42.18000030517578,776.9446855101851,476.1487420456542,144.49881235617067,224.24886775334926,124.06464054275511,14258.331583551946,45059.0,37237.01425576536,44083.48909523059,7784.569687791984,10905.116574033396,6.664112738943056,10154.64427844854,588.0672383134588,16951.689764396986,488.8959502433171,14409.53011961634,14149.287466110662,996.6953499105126
2015-10-31,2049.0857652083623,223.26173351974103,76.74021043690482,44.400001525878906,3.8447000980377197,1261.1193589766917,190.5433421386415,134.14158407391733,139.7164021493454,72.741726148201,104.2298220044213,78.85479989073565,189.4668161380614,106.88265979217522,134.33381614554582,210.38199405786145,209.07479543787395,218.99411406430045,140.79291348355855,4388.725161910057,420.2257324486163,162.78460273757173,109.49705703215022,181.85431170391075,435.7198691504709,44.4900016784668,799.4284632255585,455.52008052191195,146.25239524928293,228.14450440421297,130.77747148813432,14283.127905890811,45869.0,37462.425975241,45861.36988522764,7994.516008860606,11231.49686321849,6.845317486235199,10303.185992908955,606.4609203954242,17873.357457127888,473.8491025986045,15434.414498564316,14448.174361481797,1010.7176800006969
