data,moeda_original,fator_brl,metodo_conversao,ticker_fx_1,ticker_fx_2
2015-01-01,AUD,2.1679999828338623,direto_ccy_brl,AUDBRL=X,
2015-01-02,AUD,2.16759991645813,direto_ccy_brl,AUDBRL=X,
2015-01-05,AUD,2.1772000789642334,direto_ccy_brl,AUDBRL=X,
2015-01-06,AUD,2.1898000240325928,direto_ccy_brl,AUDBRL=X,
2015-01-07,AUD,2.177799940109253,direto_ccy_brl,AUDBRL=X,
2015-01-08,AUD,2.1649999618530273,direto_ccy_brl,AUDBRL=X,
2015-01-09,AUD,2.157599925994873,direto_ccy_brl,AUDBRL=X,
2015-01-12,AUD,2.1542999744415283,direto_ccy_brl,AUDBRL=X,
2015-01-13,AUD,2.1774001121520996,direto_ccy_brl,AUDBRL=X,
2015-01-14,AUD,2.155400037765503,direto_ccy_brl,AUDBRL=X,
2015-01-15,AUD,2.1301000118255615,direto_ccy_brl,AUDBRL=X,
2015-01-16,AUD,2.1693999767303467,direto_ccy_brl,AUDBRL=X,
2015-01-19,AUD,2.1577000617980957,direto_ccy_brl,AUDBRL=X,
2015-01-20,AUD,2.1705000400543213,direto_ccy_brl,AUDBRL=X,
2015-01-21,AUD,2.131200075149536,direto_ccy_brl,AUDBRL=X,
2015-01-22,AUD,2.104099988937378,direto_ccy_brl,AUDBRL=X,
2015-01-23,AUD,2.062299966812134,direto_ccy_brl,AUDBRL=X,
2015-01-26,AUD,2.0420000553131104,direto_ccy_brl,AUDBRL=X,
2015-01-27,AUD,2.0434000492095947,direto_ccy_brl,AUDBRL=X,
2015-01-28,AUD,2.035799980163574,direto_ccy_brl,AUDBRL=X,
2015-01-29,AUD,2.0315001010894775,direto_ccy_brl,AUDBRL=X,
2015-01-30,AUD,2.024899959564209,direto_ccy_brl,AUDBRL=X,
2015-02-02,AUD,2.084199905395508,direto_ccy_brl,AUDBRL=X,
2015-02-03,AUD,2.124500036239624,direto_ccy_brl,AUDBRL=X,
2015-02-04,AUD,2.0885000228881836,direto_ccy_brl,AUDBRL=X,
2015-02-05,AUD,2.1257998943328857,direto_ccy_brl,AUDBRL=X,
2015-02-06,AUD,2.1389000415802,direto_ccy_brl,AUDBRL=X,
2015-02-09,AUD,2.1691999435424805,direto_ccy_brl,AUDBRL=X,
2015-02-10,AUD,2.1570000648498535,direto_ccy_brl,AUDBRL=X,
2015-02-11,AUD,2.203000068664551,direto_ccy_brl,AUDBRL=X,
2015-02-12,AUD,2.212100028991699,direto_ccy_brl,AUDBRL=X,
2015-02-13,AUD,2.1856000423431396,direto_ccy_brl,AUDBRL=X,
2015-02-16,AUD,2.196500062942505,direto_ccy_brl,AUDBRL=X,
2015-02-17,AUD,2.191699981689453,direto_ccy_brl,AUDBRL=X,
2015-02-18,AUD,2.205699920654297,direto_ccy_brl,AUDBRL=X,
2015-02-19,AUD,2.214400053024292,direto_ccy_brl,AUDBRL=X,
2015-02-20,AUD,2.2314999103546143,direto_ccy_brl,AUDBRL=X,
2015-02-23,AUD,2.2467000484466553,direto_ccy_brl,AUDBRL=X,
2015-02-24,AUD,2.243000030517578,direto_ccy_brl,AUDBRL=X,
2015-02-25,AUD,2.2362000942230225,direto_ccy_brl,AUDBRL=X,
2015-02-26,AUD,2.2637999057769775,direto_ccy_brl,AUDBRL=X,
2015-02-27,AUD,2.268199920654297,direto_ccy_brl,AUDBRL=X,
2015-03-02,AUD,2.2147998809814453,direto_ccy_brl,AUDBRL=X,
2015-03-03,AUD,2.2437000274658203,direto_ccy_brl,AUDBRL=X,
2015-03-04,AUD,2.288100004196167,direto_ccy_brl,AUDBRL=X,
2015-03-05,AUD,2.32450008392334,direto_ccy_brl,AUDBRL=X,
