data,etfs_todos,etfs_global,etfs_america_norte,etfs_latam,etfs_europa,etfs_asia,etfs_oceania,etfs_brasil,etfs_exterior,etfs_desenvolvidos_emergentes,etfs_com_ouro,etfs_com_btc,etfs_com_petroleo,etfs_com_ouro_btc,etfs_com_ouro_petroleo,etfs_com_btc_petroleo,etfs_com_tudo
2015-02-28,116.97589802901058,118.36527045712299,118.13710912705359,120.62229869636721,118.42372589514338,116.50894090143593,119.68511297194586,107.70873368994202,118.0273553473441,117.51545947898494,115.11885913024177,116.92971262656175,116.65410157658349,115.66996295920622,115.22020568763303,116.97790812261708,114.64720135829245
2015-03-31,126.90389285371484,129.76477719251216,129.01392298027403,131.4271185220619,127.03929358221993,129.5616459663051,129.16467466495166,107.62744728559883,129.3530637117881,128.81364269304663,124.84023369349937,126.94470289853552,126.33066178535431,125.56086131260122,124.75233871251828,126.82125513977755,124.13950729064962
2015-04-30,122.22011900679102,122.68311155872891,121.67905751589268,123.91867564365302,121.07418253737845,123.56134348528525,120.13456757373953,114.74595493715942,122.272658935655,124.4614301169187,119.3038089661272,122.02784503051119,122.17452231425163,120.08206752680395,119.78223321812918,122.46171053382552,119.22613296669033
2015-05-31,127.10178320574256,131.3046687217486,129.47551951981356,130.3734244520026,129.08868565059132,132.06051453264402,122.50433590901177,110.07118460284502,128.7291708113671,130.6729281381471,124.74858974149416,126.99894388124821,127.24059101077796,125.26343312612131,125.25336237691533,127.32727577840019,124.71652407930607
2015-06-30,121.95991636334871,126.05764913286967,124.34362320923911,123.8349061687172,123.21982158384,126.74423983617783,114.09569185755267,109.44431980667207,123.17232303021888,125.10312211600203,119.90833757244832,122.1416986715386,122.15944453896763,120.4925669781675,120.26793103941323,122.36038269992018,120.27407588290484
2015-07-31,128.12378220187136,137.8665061334261,134.16596277641048,128.333550956142,135.9011431190747,134.04137497007702,123.46259476454607,105.16850640488586,131.10890857504714,131.92824383250127,125.21664296101622,128.36652453095476,127.54918238329533,125.71190081339665,124.72133957212004,127.7156088566102,124.21026210643934
2015-08-31,125.17659202951734,136.15423643720135,134.3093221841681,130.81393986662738,133.27229286025107,128.9507785556264,119.00253855828228,96.21397880066971,129.29045529246542,128.44697827985956,124.69315129687149,125.24273290294843,124.99375381837218,125.04045401187302,124.92809692613989,125.30279616119869,124.7164806194337
2015-09-30,135.16608853723636,148.3462316525704,146.15855339057745,140.51627921968353,143.97065856258376,143.62984093415577,131.68024543815653,92.7490757165278,141.1178663993207,141.12147573107646,135.0485257191871,135.1735723701008,134.83629481779914,134.95916272142676,135.03808600313764,134.91237336677457,134.67800351628057
2015-10-31,138.394528638207,150.66126177137707,152.69005293395062,145.80160888165724,146.83980249993778,144.97537493129727,136.8657117405257,96.32455923264094,144.52307158978158,142.4378291984192,137.53157045225748,139.47977236892825,138.03513985063773,138.54320693598558,137.1766421154902,138.9605434352853,137.523539981432
2015-11-30,135.49829017042995,149.7204590078982,153.03501092491868,139.48358890227323,145.02983360125143,142.5370017936602,136.2901149073105,94.56930275092205,141.65249526455332,140.14289666836777,133.76218246467778,136.8898746547642,134.7269607747093,134.9422786401365,132.72297049582548,135.83326162723685,133.0861069215177
