carteira,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos
etfs_com_tudo,0.17230096501373748,0.14400374673359692,1.2712133691977752,2.198507474869181,-0.23695810809595463,0.7271368192388055,0.6296296296296297
etfs_com_ouro_btc,0.17490075663196114,0.14649526931224183,1.2675005888836015,2.3005603993069603,-0.24993709301336786,0.6997791105084454,0.6370370370370371
etfs_com_btc_petroleo,0.1708886950614683,0.14744254015059513,1.2391657132072087,2.1273013121291506,-0.24199087554295484,0.7061782584903064,0.6296296296296297
etfs_com_btc,0.1735247281714407,0.14997654813172753,1.2361232443869912,2.2430019899690903,-0.25562944584936254,0.6788135365035195,0.6370370370370371
etfs_com_ouro_petroleo,0.14573036241569093,0.1404869640000258,1.133638078394074,1.87204337742319,-0.2135409461844412,0.6824469265478462,0.6444444444444445
etfs_com_ouro,0.14734646113620675,0.14268914886529752,1.1284166890742209,1.975204076419303,-0.22647846324657206,0.6505981143813548,0.6592592592592592
etfs_america_norte,0.19295820228411364,0.187773260292696,1.1106321083997859,2.1139149874666194,-0.22658749639910725,0.851583628181497,0.6074074074074074
etfs_com_petroleo,0.14324195756079927,0.14384598314781444,1.0978438985491046,1.7950392968292375,-0.21794987402888366,0.657224319119433,0.6444444444444445
etfs_todos,0.14481054881456545,0.1460587585116834,1.0930815685015733,1.8984666981558278,-0.2315645200687363,0.6253572385423325,0.6518518518518519
etfs_exterior,0.1448740079223214,0.15618512329775366,1.0365453555587105,1.7332458953285144,-0.252485560818966,0.5737912593987786,0.6222222222222222
etfs_global,0.15097998666400803,0.16346493157183822,1.0314835303352492,1.7461327150906076,-0.28985398769929915,0.5208829033624955,0.5925925925925926
etfs_desenvolvidos_emergentes,0.12902811799849245,0.1552352285142974,0.9498889110400442,1.4827179037369256,-0.3139026293235059,0.41104503736257963,0.6444444444444445
etfs_latam,0.1481031793712011,0.1860523956428036,0.9250833352543052,1.4484199936151685,-0.25645652666581564,0.5774981876916393,0.6222222222222222
etfs_asia,0.13529137854168916,0.1732157466782122,0.8942129905845552,1.4294961581295031,-0.3716562584377674,0.3640228718611589,0.6444444444444445
etfs_europa,0.11953210893261224,0.17427647352837342,0.819582320602796,1.2853187527100185,-0.33654657607688865,0.355172559845932,0.6074074074074074
etfs_oceania,0.10804655624516091,0.1846142369628762,0.7316974077524162,1.3241572961510588,-0.30907001319590166,0.3495860213934,0.5555555555555556
etfs_brasil,0.1098300824291798,0.22874064973912597,0.6027923765598707,0.7988258415172521,-0.3988778474947454,0.2753476612426481,0.5703703703703704
