data,etfs_com_tudo,etfs_com_ouro_btc,etfs_com_btc_petroleo,etfs_com_btc,etfs_com_ouro_petroleo,etfs_com_ouro,etfs_america_norte,etfs_com_petroleo,etfs_todos,etfs_exterior,etfs_global,etfs_desenvolvidos_emergentes,etfs_latam,etfs_asia,etfs_europa,etfs_oceania,etfs_brasil
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,-0.0016022493609381128,-0.0003125250907034527,-0.002274303746930162,-0.0009598726813260239,-0.0034828033635571076,-0.002216712282617661,-0.008139384582026565,-0.004256962085093519,-0.0029703738225124177,-0.0030009928357250804,-0.006115460968056374,-0.003793004700946123,0.0,-0.011553549150838949,-0.004621336389649233,0.0,-0.0026335646771745713
2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014603135006199253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,-0.010927432483882726,-0.010489586846367693,-0.011479440821255293,-0.011046161691734668,-0.011995634586070558,-0.01158300320714245,-0.01531878772018136,-0.012612451341025621,-0.012208327686098697,-0.011525776535048382,-0.013716630522451312,-0.012037533280064738,-0.008594181780380183,-0.008825956970824778,-0.016688763803969664,-0.004303509751188761,-0.0197163903476536
2015-01-12,-0.03203163032807055,-0.030150069614154007,-0.03332331880520967,-0.03141935574987487,-0.03049033674156343,-0.028472408194129772,-0.04290384073481335,-0.03177282475398269,-0.029725604577463205,-0.028885781351369766,-0.02995716843742935,-0.028545609408407557,-0.02970663761705461,-0.022083428736991095,-0.02669984883961596,-0.02159592348190309,-0.038948221874255395
2015-01-13,-0.02046830985198067,-0.019198186237493142,-0.021823794722629297,-0.020557528607192732,-0.013148461410858792,-0.01152396352342877,-0.030531156082993505,-0.014274169944870296,-0.01262929209899899,-0.010048892169355561,-0.01173722916983011,-0.005951219072058533,-0.018164695206100867,0.0,-0.006473744123207892,-0.008362388875363003,-0.04080127816581658
2015-01-14,-0.04116916608467114,-0.04166645700216398,-0.04280014238599483,-0.04338089829714109,-0.026437445550075434,-0.026356021506059202,-0.044332969284877954,-0.027564422082233198,-0.027525216881567283,-0.025545044394174043,-0.02694641384206964,-0.020737192600105092,-0.03415206099361601,-0.016840612955495327,-0.018981615507833283,-0.023769854685641634,-0.04928970693532997
2015-01-15,-0.043535877901391684,-0.0421018326167254,-0.04578735125855571,-0.04438753849041721,-0.03514659916837215,-0.033278785660496246,-0.06528280140286147,-0.037175287218538244,-0.0353151167744834,-0.03461014142521279,-0.03703742639000873,-0.02789903904508506,-0.05311818445797711,-0.015149128418156299,-0.028755897244814532,-0.025083975364121214,-0.04339012786078966
2015-01-16,-0.022498011519322625,-0.022474107040622804,-0.024849847773235068,-0.02491712959421344,-0.013173772871504341,-0.012746508655724798,-0.03770298771467018,-0.01527205800018483,-0.014912173922598249,-0.01378090088464945,-0.015908748370547565,-0.009185573364627775,-0.032417698821130325,0.0,0.0,-0.010423172887635834,-0.02764207733610502
