data,000001.SS,ACWI,ARGT,BOVA11.SA,BRL=X,BTC-USD,BZ=F,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GC=F,GLD,IBIT,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SMLL.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^IPSA,^JN0U.JO,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
2010-01-04,3243.760009765625,31.1796817779541,,69.37000274658203,1.718999981880188,,80.12000274658203,37.655738830566406,,11.784902572631836,15.881725311279297,9.553262710571289,29.80105209350586,13.73322868347168,17.759265899658203,35.91754150390625,37.81936264038086,30.026996612548828,25.860795974731445,1117.699951171875,109.80000305175781,,,,,40.29079055786133,58.439998626708984,,84.79637145996094,322.1600036621094,21.538454055786133,30.903257369995117,17.268272399902344,4876.2998046875,70045.0,5500.2998046875,6048.2998046875,1132.989990234375,21823.279296875,3620.699951171875,,1696.1400146484375,32758.529296875,10654.7900390625,1886.699951171875,5232.2001953125,,3017.800048828125,8207.8095703125
2010-01-05,3282.178955078125,31.43976402282715,,69.9000015258789,1.7369999885559082,,80.58999633789062,37.81013107299805,,11.819681167602539,15.805444717407227,9.642488479614258,29.980037689208984,13.68175220489502,17.877593994140625,35.762603759765625,37.834686279296875,30.270492553710938,25.74022674560547,1118.0999755859375,109.69999694824219,,,,,40.29079055786133,58.150001525878906,,85.0208511352539,323.2799987792969,21.55072593688965,30.99434471130371,17.409208297729492,4924.2998046875,70240.0,5522.5,6031.85986328125,1136.52001953125,22279.580078125,3624.10009765625,,1690.6199951171875,32732.759765625,10681.830078125,1888.4300537109375,5277.89990234375,3268.18994140625,3012.360107421875,8211.3603515625
2010-01-06,3254.215087890625,31.43254852294922,,70.30000305175781,1.7315000295639038,,81.88999938964844,38.42094802856445,,11.864391326904297,15.902535438537598,9.67223072052002,30.0993595123291,13.764110565185547,17.888349533081055,36.199249267578125,38.37879943847656,30.280845642089844,25.704055786132812,1135.9000244140625,111.51000213623047,,,,,40.047760009765625,58.400001525878906,,85.08068084716797,327.760009765625,21.556856155395508,31.148517608642578,17.617687225341797,4921.39990234375,70729.0,5530.0,6034.330078125,1137.1400146484375,22416.669921875,3639.9599609375,,1705.3199462890625,32830.16015625,10731.4501953125,1878.4200439453125,5281.7998046875,3271.570068359375,3009.659912109375,8327.580078125
2010-01-07,3192.77587890625,31.280832290649414,,70.0,1.7388999462127686,,81.51000213623047,39.320396423339844,,11.80974292755127,15.791570663452148,9.67223072052002,29.830883026123047,13.661164283752441,17.823806762695312,36.255592346191406,37.59711837768555,29.669538497924805,25.625696182250977,1133.0999755859375,110.81999969482422,,,,,40.07379913330078,58.900001525878906,,85.4398422241211,325.760009765625,21.513919830322266,31.029373168945312,17.591259002685547,4899.39990234375,70451.0,5526.7001953125,6019.35986328125,1141.68994140625,22269.44921875,3681.06005859375,,1683.449951171875,33064.5703125,10681.66015625,1876.719970703125,5263.10009765625,3284.81005859375,3007.340087890625,8237.3798828125
2010-01-08,3195.9970703125,31.475879669189453,,69.4800033569336,1.7319999933242798,,81.37000274658203,39.85736846923828,,11.948856353759766,15.81237506866455,9.678179740905762,30.188854217529297,13.73322868347168,17.920623779296875,36.1569938659668,38.148895263671875,30.094350814819336,25.82461929321289,1138.199951171875,111.37000274658203,,,,,40.40363311767578,58.97999954223633,,85.72416687011719,327.44000244140625,21.746973037719727,31.23259162902832,17.705766677856445,4912.10009765625,70263.0,5534.2001953125,6037.60986328125,1144.97998046875,22296.75,3726.5,,1695.260009765625,32892.0390625,10798.3203125,1892.5899658203125,5244.75,3310.22998046875,3017.85009765625,8280.8603515625
2010-01-11,3212.75,31.678171157836914,,69.98999786376953,1.7309999465942383,,80.97000122070312,39.99161911010742,,12.068097114562988,16.06204605102539,9.690075874328613,30.45733070373535,13.764110565185547,18.071208953857422,36.142906188964844,38.3864631652832,29.887121200561523,25.981353759765625,1150.699951171875,112.8499984741211,,,,,40.23871994018555,,,85.84388732910156,324.32000732421875,21.881895065307617,31.33070945739746,17.68227767944336,4950.7001953125,70433.0,5538.10009765625,6040.5,1146.97998046875,22411.51953125,3744.169921875,,1694.1199951171875,32935.37890625,,1886.239990234375,5249.39990234375,3303.75,3010.239990234375,8323.7802734375
2010-01-12,3273.966064453125,31.280832290649414,,69.69999694824219,1.7373000383377075,,79.30000305175781,39.88421630859375,,11.670626640319824,15.784640312194824,9.588953018188477,30.66614532470703,13.578807830810547,17.9421329498291,35.74148178100586,37.85768127441406,29.306886672973633,25.52924919128418,1128.9000244140625,110.48999786376953,,,,,39.735294342041016,59.29999923706055,,85.04329681396484,317.0400085449219,21.630449295043945,30.980323791503906,17.426822662353516,4899.5,70076.0,5498.7001953125,5943.0,1136.219970703125,22326.640625,3740.18994140625,,1698.6400146484375,32792.66015625,10879.1396484375,1861.7900390625,5210.39990234375,3290.2900390625,2976.889892578125,8309.330078125
2010-01-13,3172.657958984375,31.54090118408203,,70.0,1.74590003490448,,78.30999755859375,39.87751007080078,,11.84949016571045,15.909473419189453,9.529467582702637,30.845125198364258,13.568511962890625,18.071208953857422,35.98796081542969,37.91898727416992,29.814590454101562,25.770374298095703,1136.4000244140625,111.54000091552734,,,,,40.230045318603516,59.66999816894531,,85.76158905029297,313.67999267578125,21.832834243774414,31.21858024597168,17.491426467895508,4868.10009765625,70385.0,5473.5,5963.14013671875,1145.6800537109375,21748.599609375,3760.010009765625,,1671.4100341796875,32836.078125,10735.0302734375,1886.1300048828125,5233.9501953125,3276.199951171875,2978.409912109375,8196.51953125
2010-01-14,3215.550048828125,31.605928421020508,,69.5,1.7640999555587769,,77.81999969482422,40.125858306884766,,11.99853801727295,15.930277824401855,9.46998405456543,31.2926025390625,13.68175220489502,18.1249942779541,35.95275115966797,38.148895263671875,29.545198440551758,25.884897232055664,1142.5999755859375,112.02999877929688,,,,,40.26475524902344,,,85.99356079101562,312.4800109863281,21.955482482910156,31.30266571044922,17.54134178161621,4898.0,69801.0,5498.2001953125,5988.8798828125,1148.4599609375,21716.94921875,3782.530029296875,,1685.77001953125,32729.580078125,10907.6796875,1886.52001953125,5259.89990234375,3278.330078125,2989.7099609375,8289.9404296875
2010-01-15,3224.152099609375,31.2952823638916,,68.5,1.7644000053405762,,77.11000061035156,40.30038833618164,,11.745152473449707,15.56270980834961,9.345063209533691,31.232933044433594,13.60969066619873,17.952890396118164,35.276649475097656,37.85768127441406,29.16701316833496,25.09522247314453,1130.0999755859375,110.86000061035156,,,,,39.796058654785156,58.58000183105469,,85.02830505371094,307.20001220703125,21.599788665771484,30.959306716918945,17.400405883789062,4899.60009765625,68978.0,5455.39990234375,5875.97021484375,1136.030029296875,21654.16015625,3756.179931640625,,1701.800048828125,32262.30078125,10982.099609375,1864.52001953125,5252.2001953125,3257.949951171875,2940.25,8356.849609375
