data,etfs_com_tudo,etfs_com_ouro_btc,etfs_com_ouro_petroleo,etfs_com_ouro,etfs_com_btc_petroleo,etfs_com_btc,etfs_america_norte,etfs_com_petroleo,etfs_todos,etfs_global,etfs_exterior,etfs_desenvolvidos_emergentes,etfs_asia,etfs_latam,etfs_europa,etfs_oceania,etfs_brasil
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007546872157756512
2015-04-30,-0.039579457267020834,-0.04363456676326105,-0.03983977812105244,-0.044348080451089844,-0.034375504335981355,-0.03873228071559853,-0.056853286024817984,-0.03289889732521378,-0.036908039159389006,-0.054573095927851534,-0.05473704737221363,-0.03378689155230963,-0.04631233600243345,-0.057130088240871624,-0.046954850555594896,-0.06991158468548686,0.0
2015-05-31,0.0,-0.0023687969592643965,0.0,-0.0007340898786701855,0.0,0.0,0.0,0.0,0.0,0.0,-0.004823178381078708,0.0,0.0,-0.0080173261189046,0.0,-0.051564708177499474,-0.040740175432541714
2015-06-30,-0.035620365698905476,-0.040365240262373536,-0.03980277449558467,-0.0395056623584954,-0.03900886945169835,-0.038246343325905374,-0.039636035673825676,-0.03993337685283094,-0.040454718358046926,-0.03996064755319595,-0.047781942724917315,-0.04262402397730536,-0.040256353046027704,-0.05776747172669883,-0.04546381456417303,-0.11666489190242901,-0.046203242052330284
2015-07-31,-0.004059301496767143,0.0,-0.004247573036756602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023538274297633666,0.0,-0.04414581552732255,-0.08346654605400816
2015-08-31,-3.484692401301004e-07,-0.005341155429033795,-0.0025968600331593983,-0.0041806875808649835,-0.018892073701973655,-0.024334939653624765,0.0,-0.020034848653469828,-0.02300267851686144,-0.012419765643205793,-0.013869791933633802,-0.02638756835921796,-0.0379777991354312,-0.00466554134587982,-0.019343842137665268,-0.0786758154505447,-0.16150439592087362
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19170069422210312
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16054069805429705
2015-11-30,-0.032266716378253735,-0.025991373922164995,-0.032466690764417105,-0.027407437980853988,-0.02250481849550945,-0.018568267428152097,0.0,-0.02396620947034267,-0.020927405846718372,-0.006244490139120873,-0.019862408774262597,-0.016111819050924514,-0.016819222842448855,-0.04333299219291997,-0.012326146370886804,-0.004205559054165753,-0.17583759006831323
2015-12-31,-0.03293666724641253,-0.023120615100940545,-0.03336977736569202,-0.025575589281579325,-0.026746349651506685,-0.018882387043394733,-0.016481254238640886,-0.029880552581840303,-0.02284603848112987,0.0,-0.017811382826541156,-0.014922249087381378,-0.000782905593712635,-0.05237791606711162,-0.024728471896905746,0.0,-0.2099364833248959
2016-01-31,-0.044881487466216674,-0.037275968335435894,-0.044340481890023375,-0.03743479327145116,-0.05626810168447283,-0.04952436836289975,-0.040096422708069235,-0.06013200485657255,-0.05082752809932578,-0.02921844886641034,-0.04004969844188677,-0.04179786476114922,-0.04040944776669453,-0.04193278963495495,-0.05346583274713024,-0.04095050176195547,-0.27383909333334877
2016-02-29,-0.04715935998277221,-0.04466158615769478,-0.05546562442293168,-0.047128057175019666,-0.07971615405275223,-0.07122618342715947,-0.07709964730453478,-0.08688206615859417,-0.07764026726161921,-0.07389673688565768,-0.07909609994265498,-0.08480887027501194,-0.08828521284743329,-0.046822239919836695,-0.11013771802937222,-0.060484936750531904,-0.23422224684876924
2016-03-31,-0.056755904245322064,-0.046755435535023815,-0.05873622877472684,-0.04946525567897109,-0.06917758703883692,-0.06024214655574056,-0.09704672517085455,-0.07445765638865842,-0.06487012385165514,-0.09755652310460783,-0.08342492590034112,-0.08797032812209737,-0.0996069195669147,-0.05102734609482451,-0.13759010453675535,-0.038565140652170316,-0.12338470225532128
2016-04-30,-0.05146303917950701,-0.0475505717817295,-0.05723672193371243,-0.05204356527301934,-0.07038044068901395,-0.06597892886017509,-0.10732101132826766,-0.07720450773841714,-0.07095448064384058,-0.11149465077502618,-0.09679406489170117,-0.1043153793488586,-0.13646214174056237,-0.05696089907696689,-0.1381135876639934,-0.04719507290569036,-0.06798252935825155
2016-05-31,-0.05477449317278349,-0.05199191698835126,-0.06335118809714413,-0.058973311674893836,-0.06862514151150023,-0.06493582311896928,-0.07010781094309215,-0.07722465210258733,-0.07377445085335399,-0.08826270853855955,-0.08766969390833057,-0.09878637170041382,-0.10482512088204976,-0.09384584845284827,-0.12557407963763956,-0.03319230136224538,-0.1376987195370687
2016-06-30,-0.09869175947921904,-0.09856216425931108,-0.11374079944282434,-0.10900575713381233,-0.12243003650209461,-0.11855723822047337,-0.15295936397963483,-0.13467178845364225,-0.131239598516541,-0.18163608798312536,-0.1608928252963724,-0.17276946579138786,-0.1777243664124467,-0.14089572164213926,-0.23475205402406962,-0.09954729572256604,-0.07047436523885697
2016-07-31,-0.05115345141114236,-0.04212073903540092,-0.06323844800112821,-0.05332857936188451,-0.0689029124804128,-0.06034203308501618,-0.1151025009500839,-0.08199263423877923,-0.07275325365548702,-0.1367685703878101,-0.11007215702211992,-0.12267584572428747,-0.11833771249950675,-0.12048068115378052,-0.1993225783934226,-0.016421807940720567,0.0
