data,etfs_com_tudo,etfs_com_ouro_btc,etfs_com_ouro_petroleo,etfs_com_ouro,etfs_com_btc_petroleo,etfs_com_btc,etfs_america_norte,etfs_com_petroleo,etfs_todos,etfs_global,etfs_exterior,etfs_desenvolvidos_emergentes,etfs_asia,etfs_latam,etfs_europa,etfs_oceania,etfs_brasil
2015-02-28,114.64720135829245,115.66996295920622,115.22020568763303,115.11885913024177,116.97790812261708,116.92971262656175,118.13710912705359,116.65410157658349,116.97589802901058,118.36527045712299,118.0273553473441,117.51545947898494,116.50894090143593,120.62229869636721,118.42372589514338,119.68511297194586,107.70873368994202
2015-03-31,124.13950729064962,125.56086131260122,124.75233871251828,124.84023369349937,126.82125513977755,126.94470289853552,129.01392298027403,126.33066178535431,126.90389285371484,129.76477719251216,129.3530637117881,128.81364269304663,129.5616459663051,131.4271185220619,127.03929358221993,129.16467466495166,107.62744728559883
2015-04-30,119.22613296669033,120.08206752680395,119.78223321812918,119.3038089661272,122.46171053382552,122.02784503051119,121.67905751589268,122.17452231425163,122.22011900679102,122.68311155872891,122.272658935655,124.4614301169187,123.56134348528525,123.91867564365302,121.07418253737845,120.13456757373953,114.74595493715942
2015-05-31,124.71652407930607,125.26343312612131,125.25336237691533,124.74858974149416,127.32727577840019,126.99894388124821,129.47551951981356,127.24059101077796,127.10178320574256,131.3046687217486,128.7291708113671,130.6729281381471,132.06051453264402,130.3734244520026,129.08868565059132,122.50433590901177,110.07118460284502
2015-06-30,120.27407588290484,120.4925669781675,120.26793103941323,119.90833757244832,122.36038269992018,122.1416986715386,124.34362320923911,122.15944453896763,121.95991636334871,126.05764913286967,123.17232303021888,125.10312211600203,126.74423983617783,123.8349061687172,123.21982158384,114.09569185755267,109.44431980667207
2015-07-31,124.21026210643934,125.71190081339665,124.72133957212004,125.21664296101622,127.7156088566102,128.36652453095476,134.16596277641048,127.54918238329533,128.12378220187136,137.8665061334261,131.10890857504714,131.92824383250127,134.04137497007702,128.333550956142,135.9011431190747,123.46259476454607,105.16850640488586
2015-08-31,124.7164806194337,125.04045401187302,124.92809692613989,124.69315129687149,125.30279616119869,125.24273290294843,134.3093221841681,124.99375381837218,125.17659202951734,136.15423643720135,129.29045529246542,128.44697827985956,128.9507785556264,130.81393986662738,133.27229286025107,119.00253855828228,96.21397880066971
2015-09-30,134.67800351628057,134.95916272142676,135.03808600313764,135.0485257191871,134.91237336677457,135.1735723701008,146.15855339057745,134.83629481779914,135.16608853723636,148.3462316525704,141.1178663993207,141.12147573107646,143.62984093415577,140.51627921968353,143.97065856258376,131.68024543815653,92.7490757165278
2015-10-31,137.523539981432,138.54320693598558,137.1766421154902,137.53157045225748,138.9605434352853,139.47977236892825,152.69005293395062,138.03513985063773,138.394528638207,150.66126177137707,144.52307158978158,142.4378291984192,144.97537493129727,145.80160888165724,146.83980249993778,136.8657117405257,96.32455923264094
2015-11-30,133.0861069215177,134.9422786401365,132.72297049582548,133.76218246467778,135.83326162723685,136.8898746547642,153.03501092491868,134.7269607747093,135.49829017042995,149.7204590078982,141.65249526455332,140.14289666836777,142.5370017936602,139.48358890227323,145.02983360125143,136.2901149073105,94.56930275092205
2015-12-31,132.99397290651487,135.3400027735687,132.5990881083231,134.01411949311995,135.24385615280178,136.84606132233355,150.5128020024519,133.91057359618907,135.23276191136068,150.9156547763132,141.94891583442836,140.3123364316545,144.86187289931297,138.16482444920396,143.20867857047088,146.64365853163687,90.6565926818952
2016-01-31,131.3512789454456,133.37887474115004,131.0941637000341,132.3831045440792,131.14149744713907,132.57212474295605,146.89885443773915,129.73481015076152,131.36027684505558,146.50613343409066,138.7349661547156,136.484232076712,139.11700009055406,139.68774068798473,138.98889017885446,140.63852713455748,83.3240266734984
2016-02-29,131.0380178533425,132.35564756285072,129.56805400431352,131.04997473661325,127.88314334754394,129.54516051780053,141.23606555736183,126.04236169792382,127.64954044719079,139.76348034338125,133.09186027529674,130.35783781967615,132.17619309785124,138.9748509699021,130.66720173671092,137.77392612048422,87.86989955497032
2016-03-31,129.71826711476814,132.06555895527464,129.11940348164595,130.72853615590614,129.34758834682677,131.07721148031794,138.18346427816937,127.75736683807854,129.41685842505507,136.1928482142808,132.46624505151436,129.907526626835,130.53482442133225,138.36173972407067,126.63609872381483,140.98832521461546,100.5880594522355
2016-04-30,130.44616065526307,131.955398229705,129.3251007949255,130.37393718832456,129.18043914992506,130.2770463903653,136.61113878382392,127.37820482786569,128.5748167347339,134.08936655054376,130.53409601997228,127.57937301195817,125.1917247685314,137.49661815288977,126.55923056479914,139.7228003760791,106.94523468690338
2016-05-31,129.99075777962204,131.34008002166985,128.48633885829716,129.42087828283888,129.42435647752387,130.42253854170542,142.30606131132043,127.37542419774024,128.1845482868145,137.5954303248856,131.85277814081368,128.3669128590241,129.77831372920355,132.11873319036778,128.40052944683532,141.77621802479257,98.94558387025438
2016-06-30,123.95109985085375,124.88808861694925,121.57406117639215,122.5398374853069,121.94759903015242,122.94343576924783,129.62687298722665,119.44570069750372,120.23168626284277,123.50392562733181,121.27034628119173,117.82892153932336,119.20971827622554,125.2587859816912,112.36885725058868,132.04567888994902,106.65930659923663
2016-07-31,130.48873626110353,132.7076646715074,128.5018041661004,130.19720718262965,129.38575727273323,131.06327932995185,135.42029843453713,126.71727511676565,128.32587639165996,130.27513642341657,128.61510536043207,124.9641480383715,127.81932069316922,128.2353317302781,117.57131445486924,144.23550453550573,120.59660902068825
