ticker,media,mediana,std,skew,kurtosis,p1,p5,p95,p99,nome_ativo,classe,tipo_ativo,rank_cauda_negativa,rank_kurtosis
000001.SS,0.00036198024726591746,0.0,0.015617507594868706,-0.234965412903121,3.7359826224051367,-0.04588258503957623,-0.023358273598891255,0.025140845830295373,0.044578279262057444,Shanghai Composite,Equity Index,indice,11.0,37.0
ACWI,0.0007170090122831227,0.0,0.014895702870607607,0.3188815186262213,5.223074515416037,-0.0366795034562619,-0.021576062059174506,0.024077827159148635,0.04068141016386278,iShares MSCI ACWI ETF,ETF,etf,33.0,24.0
ARGT,0.0010404042731099522,0.00015635065820562843,0.021568528542186948,-0.17769579384510845,9.810806537949503,-0.052336921964715066,-0.03112254166523909,0.03462030727978682,0.057234804896116334,Global X MSCI Argentina ETF,ETF,etf,5.0,4.0
BOVA11.SA,0.0005858367919697751,8.717218421372408e-05,0.01449716278877971,-0.6138223379457874,13.384363376263392,-0.03596148246377375,-0.02170683372638571,0.02166663275824643,0.036921764724030325,iShares Ibovespa ETF,ETF,etf,36.0,2.0
BRL=X,0.00026988715186057225,2.022863754724824e-05,0.010541655984800686,0.282031015643998,3.672475679907128,-0.026361420898066344,-0.01619603186652041,0.017693844721200058,0.02847190341721835,USDBRL,FX,cambio,45.0,39.0
BTC-USD,0.002993114004828959,0.0021452912121762147,0.04270619855719994,0.01833958500657166,5.579820746999323,-0.12351605985101022,-0.06194445092775125,0.07178041993356588,0.11949195307849486,Bitcoin USD,Crypto,cripto,1.0,19.0
BZ=F,0.0007536057757959673,0.0,0.026824812893455206,-0.18341682893033984,9.285930263950467,-0.06670675773553691,-0.03993824368070664,0.03946976266790103,0.07229332779798578,Brent Crude Oil,Commodity,commodity,3.0,5.0
ECH,0.0005498979847105638,0.0,0.01926948364664853,0.013689149159645966,5.333621691001527,-0.048666985388784376,-0.029122573193266055,0.03020052332727574,0.052288483772776145,iShares MSCI Chile ETF,ETF,etf,9.0,23.0
ENZL,0.0005087116940969052,0.0,0.016635948057773384,0.34173286722094215,8.045317098287086,-0.04009927797405659,-0.024733830937455292,0.026601375010516737,0.04465924199485609,iShares MSCI New Zealand ETF,ETF,etf,22.0,9.0
EWA,0.0006370067623487852,0.0,0.017778211442923277,0.21607844628247486,9.270976187330296,-0.04220607939857486,-0.024872489462749447,0.026925505350871903,0.04705383923753308,iShares MSCI Australia ETF,ETF,etf,17.0,6.0
EWG,0.0005907494323719038,0.0,0.016636386245009717,0.14813886381423474,5.185731639189134,-0.04234998433150652,-0.0241622369977208,0.02709167000307433,0.046795818265053586,iShares MSCI Germany ETF,ETF,etf,16.0,25.0
EWH,0.0005169280266188196,0.0,0.016067299928311428,0.2749009974100284,2.655286437602204,-0.03888618980885816,-0.024224713346230442,0.026498782106351815,0.0444287182325731,iShares MSCI Hong Kong ETF,ETF,etf,24.0,45.0
EWJ,0.0006332324906982809,0.0,0.015135664024598311,0.3257202440975862,2.8943237352728137,-0.03794604944619018,-0.02294843938249913,0.024833247643368805,0.041225738069969306,iShares MSCI Japan ETF,ETF,etf,28.0,43.0
EWT,0.0008791044150941856,0.0,0.01683939584282469,0.1714808835701301,2.8520913243224535,-0.04300804132435234,-0.025358250590550635,0.027642002055575654,0.0453835986411605,iShares MSCI Taiwan ETF,ETF,etf,12.0,44.0
EWU,0.0005824643874203103,0.0,0.015682205990465246,-0.06686476932838835,6.890723986321939,-0.03963997559677557,-0.02233587473401155,0.025390160213564883,0.040715260191942666,iShares MSCI United Kingdom ETF,ETF,etf,23.0,12.0
EWW,0.0005958019949902155,0.0,0.018832285036317228,-0.210304367821311,4.381968507915273,-0.048842895827568976,-0.026803375567611365,0.03056954204373752,0.04711625365932477,iShares MSCI Mexico ETF,ETF,etf,8.0,33.0
EWY,0.0008031407447024195,0.0,0.019255822537650735,0.1732299800047484,4.5940094928522885,-0.04796878332105827,-0.028316428959547557,0.030427183841789995,0.052220757820608664,iShares MSCI South Korea ETF,ETF,etf,10.0,29.0
EZA,0.0006896984050918359,0.0,0.02243130673565156,0.008957744155659367,2.897061214411463,-0.05511795009122933,-0.03438735253074032,0.036721494274205124,0.059934981389287115,iShares MSCI South Africa ETF,ETF,etf,4.0,42.0
