carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,periodo_inicio,periodo_fim
etfs_europa,max_sharpe,etfs_europa__max_sharpe,2015-02-28,2026-04-30,135,268.3065,14.5862,12.3842,16.9124,0.8624532967709706,1.375630266981013,-29.4725,0.42019557611520303,61.4815,0.18604011240220822,-0.14817086029563126,3,2,51.7488,0.0,33.3333,48.2512,51.7488,100.0,100.0,0.5006116880737553,1.99755623734592,0.34499226480481937,alta,3,3,2,2015-02-28,2026-04-30
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,2015-02-28,2026-04-30,135,248.8197,14.5416,11.8385,18.6259,0.7807181561694682,1.4811712057011843,-24.2533,0.48811672384030796,59.2593,0.2069257771332833,-0.1423923437905995,2,1,100.0,0.0,50.0,50.0,100.0,100.0,100.0,1.0,1.0,0.5,alta,2,2,1,2015-02-28,2026-04-30
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,2015-02-28,2026-04-30,135,287.6425,15.3857,12.9004,21.8605,0.7038128560832033,0.968175538935241,-37.6517,0.3426235653202174,60.0,0.1734619660884924,-0.3106361876142466,2,1,100.0,0.0,50.0,50.0,100.0,100.0,100.0,1.0,1.0,0.5,alta,2,2,1,2015-02-28,2026-04-30
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,2015-02-28,2026-04-30,135,454.7163,16.6622,16.5825,9.7436,1.710074596341904,2.864529470189996,-8.9867,1.8452188735235195,65.1852,0.10158438908918584,-0.06908012493525068,27,8,36.3492,0.0,3.7037,0.0,36.3492,79.1091,92.9388,0.2615953353283714,3.8226981331480365,0.8608946540167146,alta,27,27,8,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,2015-02-28,2026-04-30,135,448.2128,16.5545,16.4594,9.7444,1.6988720089600398,2.8495464990270403,-8.9235,1.8445066633257143,65.1852,0.10139767314406069,-0.06883194661362062,26,7,36.3215,0.0,3.8462,0.0,36.3215,79.0009,93.1881,0.26172977131680264,3.8207346262859074,0.8561131723765414,alta,26,26,7,2015-02-28,2026-04-30
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,2015-02-28,2026-04-30,135,438.8584,16.4732,16.28,10.0711,1.6356856890154325,3.0608538950144006,-12.3347,1.3198565985770565,67.4074,0.10671713040559702,-0.05966225485872074,26,8,34.4079,0.0,3.8462,0.0,34.4079,80.5169,94.8258,0.2602243628451515,3.842837730743365,0.8577106875338649,alta,26,26,8,2015-02-28,2026-04-30
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,2015-02-28,2026-04-30,135,438.8584,16.4732,16.28,10.0711,1.6356856786476999,3.060853786490857,-12.3347,1.3198566154866136,67.4074,0.10671713129831507,-0.05966225407734281,25,8,34.4079,0.0,4.0,0.0,34.4079,80.5169,94.8258,0.2602243320551976,3.84283818543104,0.8520190908189125,alta,25,25,8,2015-02-28,2026-04-30
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,2015-02-28,2026-04-30,135,335.7842,15.0483,14.0902,11.676,1.288826730333371,1.9236696455452207,-16.1233,0.8738985845709343,68.8889,0.1455685116023978,-0.11082242988813126,25,7,36.0963,0.0,4.0,0.0,36.0963,79.1382,94.7264,0.24899464627050313,4.016150607967766,0.8503151952559613,media,25,25,7,2015-02-28,2026-04-30
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,2015-02-28,2026-04-30,135,335.7841,15.0483,14.0902,11.676,1.2888266646973694,1.9236695814463824,-16.1233,0.8738980654920047,68.8889,0.14556851208969643,-0.11082238871044864,26,7,36.0963,0.0,3.8462,0.0,36.0963,79.1383,94.7264,0.2489948657367786,4.016147068097123,0.8560724078472073,media,26,26,7,2015-02-28,2026-04-30
etfs_todos,min_vol,etfs_todos__min_vol,2015-02-28,2026-04-30,135,333.9377,15.043,14.0468,11.7852,1.2764263793078672,2.1352092370993887,-18.0903,0.7764819793769557,69.6296,0.1485350214505369,-0.09819234633231175,24,6,36.9411,0.0,4.1667,0.0,36.9411,77.3652,97.0383,0.24552676644360039,4.072875696954648,0.8435567423333457,media,24,24,6,2015-02-28,2026-04-30
