ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII,BRL=X,BTC-USD,BZ=F,GC=F
000001.SS,1.0,0.4726336787785614,0.3508908243546345,0.1064987223806955,0.3881115352892287,0.43497262866887987,0.4223888576010408,0.4155890696064737,0.5446141031475534,0.4572107437954782,0.46528996651166576,0.45343617495565997,0.38854316511055337,0.42464428844217206,0.38635379693544364,0.4165088028526619,0.4190857330299588,0.5234323519204603,0.4091651397231302,0.5603866584393925,0.4139296568305648,0.05506520154715387,0.4422315915416221,0.27680835398528114,0.47279163341753727,0.47082076488250296,0.35453509438021386,0.4120667056088989,0.10461390740065446,0.44496951364269727,0.3816124631317294,0.44054219203297423,0.6152561876429581,0.4481117382179926,0.3260921534494353,0.4511910034200258,0.41017618970640524,0.440647549804453,0.49025512618623607,0.38771865985312154,0.47112222802338205,0.5450254286911486,0.1648872794827319,0.2608180126730787,0.4011705522490025
ACWI,0.4726336787785614,1.0,0.7367297790678059,0.40949491128191756,0.7341079909734751,0.8220737700951205,0.9072036184956254,0.9140188157698523,0.8092181490397287,0.9009805273278626,0.8691481686469525,0.9189304048221897,0.7998371564034463,0.8360289665771147,0.790824240575842,0.9280639622776053,0.5685090132883948,0.921281898904441,0.8291785344836018,0.7589025338986466,0.9419609913182668,0.35254088753164553,0.9862470345226382,0.46398425875193344,0.969430751803595,0.998309048907376,0.7348832442562521,0.449516438008018,0.4141725145191916,0.6823225453309594,0.6735382993880038,0.9859107385756,0.4657424703350594,0.39333109392385684,0.5429005269850098,0.488700132324654,0.9414529816682612,0.5318838195490032,0.4996908171233188,0.6854061179494719,0.4314093894681726,0.6787150394535509,0.3401991756788493,0.4268938629755727,0.5404164607051861
ARGT,0.3508908243546345,0.7367297790678059,1.0,0.44880675569953205,0.6472994536280786,0.6229214495822547,0.6822536814924726,0.6744044747794735,0.5962474529558751,0.6594773611634487,0.6576676004093612,0.6834790882400293,0.6651146052171617,0.6445660508615105,0.6414390982556786,0.6877479395683715,0.43038387984371845,0.7223235837504055,0.6123860321828086,0.5903677690773314,0.6893410132194412,0.41652217188886914,0.7130580973076925,0.4174794324307341,0.7224948336340792,0.7390010924879156,0.5978189995876351,0.3305674298859169,0.4543119499028582,0.5177350853295978,0.5092770745895157,0.7124331572929655,0.3527929514399544,0.30743565793332267,0.46557551838759775,0.36562768317388006,0.689469296887264,0.3861457658719324,0.3584026832746512,0.5176363703562272,0.31907542806433414,0.45225243859009173,0.2853449833078302,0.389615099011504,0.40504351941232025
BOVA11.SA,0.1064987223806955,0.40949491128191756,0.44880675569953205,1.0,0.4180910052243483,0.3507702237130613,0.45750703319636743,0.3828347339939653,0.3297308440648108,0.34289142702647313,0.37674424508540993,0.4077011487589062,0.4533928999383418,0.4118777016677292,0.4674979221368651,0.4018857321534306,0.08042778241246488,0.4746086365881927,0.3866530311554313,0.34353550721821335,0.34601247956729103,0.846960432947298,0.3803359228342595,0.2544435034344937,0.4137886698703135,0.41515319191052347,0.41863635643317226,0.20513603518079204,0.9787815057694115,0.29125660648668544,0.29516285326972796,0.3841046001756781,0.1685774749572824,0.13850850050881486,0.34799115743017384,0.15029520022639722,0.3495817597365506,0.1805121178346565,0.09556139450221286,0.31303236824208985,0.12762598578671672,0.01822189998840315,0.1514843676169153,0.22614108521960397,0.06561273907513936
ECH,0.3881115352892287,0.7341079909734751,0.6472994536280786,0.4180910052243483,1.0,0.6453695447822497,0.7092353246500939,0.6961295247640263,0.6458876482301301,0.6700880437705135,0.6852614828786366,0.7215633867947805,0.7034840139829573,0.6889118540367591,0.6958124194404379,0.7116806137404071,0.48861373836248256,0.7582759418487608,0.6535313016948117,0.6151124439370786,0.6372820522332213,0.3868103440621285,0.6920563537955059,0.4140983047561201,0.7468519092500818,0.7358077323668151,0.6078248256572667,0.34889620056099147,0.42812857824217154,0.553425418806863,0.546026049077836,0.6928450258905889,0.4145316437744233,0.33485950695277145,0.49372807154101267,0.3845330088725239,0.6386006807496994,0.42581512518773773,0.3840400209258244,0.556875147135737,0.35724694947851504,0.5054508352128226,0.25091861574497165,0.3855429185912798,0.47269350060903037
ENZL,0.43497262866887987,0.8220737700951205,0.6229214495822547,0.3507702237130613,0.6453695447822497,1.0,0.8344014522868369,0.767038607123112,0.7029427594473595,0.7452474499048012,0.7282576659832544,0.8032082286191915,0.7113147499909634,0.7185200338158744,0.6897304600235308,0.7737226281657628,0.6133500166793767,0.7904126259338536,0.7226419363779429,0.6391428139888102,0.7337303976781822,0.3079616397993918,0.7940265287329696,0.4092759318359419,0.8309387893715187,0.8266444865997212,0.6333882683346449,0.42920866864974877,0.3508124789406171,0.5852016337267134,0.5478804204449685,0.7966636035867544,0.4117933879546989,0.33013469693126796,0.46704145258094887,0.40926148156791414,0.7346519940721887,0.4746744157266701,0.6142077227767548,0.5547861004665533,0.39848952893643313,0.6396476257416494,0.3139213572660547,0.37392148146582666,0.5872666928600141
EWA,0.4223888576010408,0.9072036184956254,0.6822536814924726,0.45750703319636743,0.7092353246500939,0.8344014522868369,1.0,0.8505313012903853,0.7672854777748174,0.8252604584720072,0.807931304261482,0.8908519569943933,0.773476972465845,0.8003894671776796,0.7832159170567828,0.86437771621825,0.5429543652181317,0.8688484173296003,0.7787155235428134,0.7005178614639199,0.8095642743300783,0.38297184405425216,0.8730744002288524,0.47183347711171025,0.9213850238663115,0.9117657698516553,0.723156016727806,0.5256365433229666,0.4631924627104973,0.6442263556108171,0.6160344788952736,0.8745953508280844,0.4429596739377772,0.3571533393920756,0.5120910297248795,0.4399768526752223,0.8112649136013085,0.4740333376648232,0.447892290630098,0.6269793828587918,0.39415344892974014,0.5754970522079161,0.3160812744089397,0.4362323156306961,0.5171693924182417
EWG,0.4155890696064737,0.9140188157698523,0.6744044747794735,0.3828347339939653,0.6961295247640263,0.767038607123112,0.8505313012903853,1.0,0.7488040313145977,0.840990567662082,0.8008542388312689,0.9110801981821629,0.7573911336102008,0.7870410840507867,0.7708578725880153,0.9788860939729166,0.5243261999548762,0.8567948378338606,0.7691508605678192,0.6995994025645341,0.8159704308116873,0.3294604544680802,0.8684978983431947,0.3906820117670453,0.9529448273016605,0.9158645838742807,0.6547898626900616,0.4110625655486741,0.3894596207742267,0.686701606231035,0.7573412843259495,0.8681577362884009,0.4371816927552718,0.3566360054583646,0.5140791256838716,0.44050362658105613,0.8158523682199268,0.49659689057100515,0.4481686131067214,0.7401970361672287,0.39471408458731455,0.5977415778982417,0.31961667454241227,0.35867355284772284,0.49779595698126045
EWH,0.5446141031475534,0.8092181490397287,0.5962474529558751,0.3297308440648108,0.6458876482301301,0.7029427594473595,0.7672854777748174,0.7488040313145977,1.0,0.7519364076308419,0.7709882277447184,0.7782575935681786,0.6931548037107754,0.7515671377741425,0.7243322327175125,0.7660998479382554,0.5326096831454856,0.8692183651629257,0.7125911822456618,0.8613840688678093,0.7166015363810051,0.2478914463307722,0.760042927842924,0.402260666348204,0.8190074303588895,0.8093893418007625,0.6062929208911557,0.4408703022488208,0.3326317549031697,0.6291746895659369,0.5877218959152066,0.7596665830044274,0.6812098376734803,0.41792394810826555,0.4753439451327978,0.45111881939829934,0.714977914523281,0.49991599226254796,0.4845234241934349,0.607705720775647,0.4508443650034508,0.6194093695672297,0.2539744555406721,0.3728822428389192,0.507010819706165
EWJ,0.4572107437954782,0.9009805273278626,0.6594773611634487,0.34289142702647313,0.6700880437705135,0.7452474499048012,0.8252604584720072,0.840990567662082,0.7519364076308419,1.0,0.8116932602128689,0.8444297748126101,0.729070254294928,0.7807180218035513,0.7169686421142816,0.8522842019811633,0.5675962287958193,0.8433906355846115,0.7578175267364484,0.6884806059030131,0.8158197680079823,0.28863583098806617,0.8650517186917086,0.38817674841750005,0.9269019590301516,0.9014630625746,0.6481895687081051,0.42189743123620127,0.3459561238444784,0.6431378129062402,0.6398558263980825,0.8628871946947235,0.4504601065908935,0.39284683856998553,0.4960726761439611,0.5719572750017826,0.8135935010306156,0.5236625104761414,0.4805753028970541,0.6520841040679943,0.4225511144776208,0.6667883717531017,0.2930208377975182,0.355172069490507,0.5394615067064816
