ticker_yahoo,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,VEA,VT,XLE
ACWI,0.02723230905186501,0.019329654903474897,-0.003924007489285565,0.015632194425453584,0.026832438880405426,0.026115984209194858,0.027424618146368443,0.02119365699721697,0.0257275566307996,0.025932596559331503,0.023182801940840096,0.019546546197594303,0.026476283434920412,0.018703076092279246,0.02642989198520575,0.0215355206758164,0.024855196093129313,0.02230896267148757,0.032653757123565594,-0.0029941936739084985,0.029294403867450913,0.02573441208749248,0.027467254232721713,0.022629737444410894
ARGT,0.019329654903474897,0.08926193984396347,0.019295985444982823,0.0268904810868341,0.025683617094820917,0.02207083569172386,0.022706648431091173,0.010850044134303616,0.015522887127694656,0.015095336122306985,0.01720261054044286,0.02039399983308713,0.021548508517474276,0.019353587888537766,0.021204112857509824,0.015665124354597933,0.016837618251922724,0.008586758519605933,0.021744083311468695,0.022602985821563393,0.019990762457844903,0.01862957747093439,0.0198828930871736,0.02579316293230787
BOVA11.SA,-0.003924007489285565,0.019295985444982823,0.047788062680197946,0.017055390899638798,-0.0004190595551355852,0.004374499846911076,0.0021547915929865692,-0.006002728889658183,-0.0076889851253270644,-0.002856848498651565,-0.0022544887191774526,0.010348511375449466,0.007735036226610048,0.016478648410214302,0.0012805458391974512,0.00213957591953008,-0.001328844008725015,-0.009006461365262546,-0.007217582561623242,0.049610420071329805,-0.0058314450201990015,-0.00172848214198146,-0.0031596841560720883,0.010196537575748843
ECH,0.015632194425453584,0.0268904810868341,0.017055390899638798,0.04916300757704449,0.016169926495507275,0.018243793416822158,0.020000332759190345,0.017074601750649863,0.015020822166002333,0.02008506601958102,0.016562101859303333,0.01830060144903203,0.026440322614238582,0.025938612697071664,0.01911528839143287,0.0189366107072362,0.017739904566338976,0.017268564732710122,0.015878493309580136,0.01665982084995534,0.014911298681337393,0.01741787471243166,0.016112242454597893,0.024959908575720488
ENZL,0.026832438880405426,0.025683617094820917,-0.0004190595551355852,0.016169926495507275,0.039808364920692195,0.030824000046070464,0.026578538757558647,0.02502795470958962,0.025222583579471308,0.02746513445756795,0.022912898526675704,0.019915330783138275,0.029598380134337725,0.021460957498214812,0.02501203380802113,0.023990375827957346,0.02670565133142142,0.026111451339894662,0.03146101396609041,0.002183041013666144,0.027961349302132187,0.026183187110448376,0.027223853596675923,0.018472372294802468
EWA,0.026115984209194858,0.02207083569172386,0.004374499846911076,0.018243793416822158,0.030824000046070464,0.03469251343709599,0.028044361428035215,0.02280340699208355,0.024325950957559378,0.02573159412840855,0.024190852896096817,0.02387361202009466,0.029435299235209277,0.024826635497684123,0.026892567996893213,0.02243925522300266,0.02651768804710699,0.020683326055544557,0.028814557565015747,0.005749348863857769,0.02696734500472835,0.026751000072261583,0.026741328792831472,0.025780741172842864
EWG,0.027424618146368443,0.022706648431091173,0.0021547915929865692,0.020000332759190345,0.026578538757558647,0.028044361428035215,0.03713920168939282,0.023460876309668612,0.026819656130699088,0.02587785493700087,0.026706301240935204,0.025927563175333783,0.030499628757774063,0.024726254409534305,0.03458106553761839,0.023331547925682216,0.025585324801086783,0.024123168911535542,0.030408269116263348,0.0034815463290206344,0.027705864060241926,0.029349326580949846,0.027860937398584147,0.023493051487391156
EWH,0.02119365699721697,0.010850044134303616,-0.006002728889658183,0.017074601750649863,0.02502795470958962,0.02280340699208355,0.023460876309668612,0.040965826001118116,0.021489649004208168,0.025830537400510643,0.021567047678220527,0.012990911936528137,0.02582227466238147,0.02254599814348467,0.022570892376728605,0.025158773367709802,0.020888086151748538,0.04230131167207594,0.022291121773583906,-0.007377508988061268,0.02028516345039448,0.0227103474919802,0.02157164263598667,0.015471952329035563
EWJ,0.0257275566307996,0.015522887127694656,-0.0076889851253270644,0.015020822166002333,0.025222583579471308,0.024325950957559378,0.026819656130699088,0.021489649004208168,0.030923916279700307,0.025590080964388962,0.022804073743201585,0.01853710401767849,0.028365161178658657,0.017231443195582147,0.02580113261381203,0.02150940151773713,0.024495970392497686,0.0233523550383033,0.029903484941216016,-0.007921283359850385,0.026581302676421226,0.02629545894843511,0.025937208909387617,0.0184966497039232
EWT,0.025932596559331503,0.015095336122306985,-0.002856848498651565,0.02008506601958102,0.02746513445756795,0.02573159412840855,0.02587785493700087,0.025830537400510643,0.025590080964388962,0.04106096817496202,0.02114969925817398,0.01948340643191289,0.03795435905111611,0.022738401054177588,0.02463277849396831,0.027919260090241184,0.02473613491936215,0.030463312263218984,0.03211171199498946,-0.0019679133736678236,0.02651962342452581,0.0250341404840692,0.026187934622571872,0.0157480343544514
EWU,0.023182801940840096,0.01720261054044286,-0.0022544887191774526,0.016562101859303333,0.022912898526675704,0.024190852896096817,0.026706301240935204,0.021567047678220527,0.022804073743201585,0.02114969925817398,0.02613678537085659,0.020213568313084396,0.024635940603136577,0.020621036865905537,0.026571924721546777,0.01942669296454319,0.022445204137076003,0.020356395324780837,0.02371299317968839,-0.002812712883564621,0.023544901213914032,0.02488120338673331,0.023542967720171587,0.027177284537031617
EWW,0.019546546197594303,0.02039399983308713,0.010348511375449466,0.01830060144903203,0.019915330783138275,0.02387361202009466,0.025927563175333783,0.012990911936528137,0.01853710401767849,0.01948340643191289,0.020213568313084396,0.04412325437685464,0.026109000818431226,0.023743858759474976,0.026436253152731452,0.017429007558476303,0.022107140497916213,0.009446662368854091,0.01924109282426571,0.01201468695462899,0.01913652286829922,0.022395020119524118,0.020205371219125315,0.019972217244686487
