data,etfs_com_tudo,etfs_com_ouro_btc,etfs_com_btc_petroleo,etfs_com_btc,etfs_com_ouro_petroleo,etfs_com_ouro,etfs_america_norte,etfs_com_petroleo,etfs_todos,etfs_exterior,etfs_global,etfs_desenvolvidos_emergentes,etfs_latam,etfs_asia,etfs_europa,etfs_oceania,etfs_brasil
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,-0.0016022627480775098,-0.00031253899273309127,-0.0022743176489594674,-0.0009598871394365105,-0.003482817265586413,-0.0022167267407282587,-0.008139367008073384,-0.004256976543204116,-0.0029703888830443503,-0.0030010092653960374,-0.006115715409166,-0.00379299661687571,0.0,-0.011553449042756125,-0.004621382132340424,0.0,-0.0026335646771745713
2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014601074705011818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,-0.010927514380924985,-0.010489671893296304,-0.011479525868183904,-0.011046250140540392,-0.011995719632999169,-0.011583091655948174,-0.0153190561494978,-0.012612539789831345,-0.012208419820271432,-0.011525877045054811,-0.013716751543928485,-0.012037674627234263,-0.0085939706056124,-0.008826048465491065,-0.01668903289206669,-0.004303669358340145,-0.0197163903476536
2015-01-12,-0.03203173759539679,-0.030150181144501187,-0.03332343011783423,-0.03141947166022363,-0.030490448326804587,-0.02847252439934045,-0.04290418155606779,-0.031772940723704624,-0.029725725545709736,-0.02888591335691848,-0.029957330476206523,-0.028545520552228587,-0.029706729614300098,-0.022083531619907504,-0.026699979979370125,-0.02159608085760356,-0.038948221874255395
2015-01-13,-0.02046836425969223,-0.019198242694617895,-0.02182385121107422,-0.020557587308085545,-0.013148518679156673,-0.011524023068545719,-0.030531258258215566,-0.01427422952255708,-0.012629354144956584,-0.010048960073691937,-0.01173737046404466,-0.005951485339479534,-0.01816470327139552,0.0,-0.006473963693294338,-0.00836238538145595,-0.04080127816581658
2015-01-14,-0.041169178060020406,-0.04166646924004569,-0.042800154852075334,-0.04338091104907815,-0.026437458856503282,-0.026356035165440717,-0.04433313228964819,-0.027564435989569924,-0.027525231176938836,-0.025545060031706535,-0.026946456617914394,-0.020737350144121702,-0.03415195777296498,-0.016840571050883324,-0.018981684313959413,-0.023769851371427286,-0.04928970693532997
2015-01-15,-0.04353592466912348,-0.042101880991539886,-0.04578739978546886,-0.04438758874988302,-0.0351466490726029,-0.03327883741146198,-0.06528302748152437,-0.03717533912973292,-0.035315170687474806,-0.03461020034967499,-0.03703736591271434,-0.02789916047902985,-0.05311814742323906,-0.015149153765385726,-0.028755969644725154,-0.025084008357761367,-0.04339012786078966
2015-01-16,-0.022498025320137893,-0.022474121050609308,-0.024849862144919355,-0.02491714419515645,-0.013173788299450151,-0.012746524396859416,-0.03770319787259502,-0.01527207413290177,-0.014912190402083914,-0.013780918969251044,-0.015908825858460096,-0.00918571518893696,-0.03241749679857764,0.0,0.0,-0.010423165550226487,-0.02764207733610502
2015-01-19,-0.023471161475257407,-0.023484710232181794,-0.02585799522962562,-0.025965530263178715,-0.015103915941322876,-0.014754726254705752,-0.03770319787259502,-0.01727513869440278,-0.016999478539349244,-0.013780918969251044,-0.015908825858460096,-0.00918571518893696,-0.03241749679857764,0.0,0.0,-0.010423165550226487,-0.05236585693070506
2015-01-20,-0.0206535718499381,-0.018944726701941028,-0.023588237323281858,-0.021930878850260793,-0.011971895756714979,-0.009802635278872596,-0.030649372953683862,-0.014705976667169662,-0.012562333652155089,-0.00908200124989278,-0.009576759890753794,-0.004367561897992034,-0.025526470150116776,0.0,0.0,-0.02103202234795165,-0.050701637199450755
2015-01-21,-0.019451719353607788,-0.01778306916380057,-0.021826710439097563,-0.020187642533234573,-0.012943235462069658,-0.010908046848188913,-0.03451964127368268,-0.015170604771435281,-0.013143979614312462,-0.011788217328614015,-0.016238518930125845,-0.0050608184542356716,-0.024745659414974974,-0.0015412581105698209,-0.005353089849857384,-0.033014229193222056,-0.0288937266157423
2015-01-22,-0.014985912103177568,-0.012175236016353286,-0.017301317226803836,-0.01447493059848326,-0.009156047520731625,-0.005953377795986037,-0.02747632814581913,-0.011346512494123884,-0.008104858981773377,-0.006710127947916811,-0.012736966084747947,0.0,-0.012503681939329048,0.0,-0.006995461893532173,-0.04465100897440222,-0.02428143116977588
2015-01-23,-0.030675720533780537,-0.027243146796904205,-0.0328733292424932,-0.029396763965239492,-0.025073179973221116,-0.021229653298505013,-0.04069806240218232,-0.02714916146218349,-0.023236417218664096,-0.021991566097698922,-0.029119955957644272,-0.016549411742151188,-0.03278214077718766,-0.010845430860683236,-0.021638000982470706,-0.06204765639346366,-0.03777660429872032
2015-01-26,-0.01734075096592158,-0.01316269668685921,-0.018787297418793147,-0.014504151114856478,-0.017803178319916513,-0.013446962527132622,-0.03306546997542914,-0.019322443133537148,-0.01485112075091699,-0.011810474039746666,-0.01769106148406363,-0.00705297017923745,-0.025776365725570738,-0.0036024842422658354,0.0,-0.055942748307979184,-0.04883540126345687
2015-01-27,-0.019643381599332432,-0.01636055139056314,-0.021638720586293236,-0.018309804268765828,-0.01884180192737761,-0.015360037501061963,-0.04510336590163311,-0.020882977657494473,-0.017345481884690983,-0.014627034203849143,-0.020961672986151703,-0.007793175090151538,-0.02133128135444362,-0.0059179031926143155,-0.0027666401521292405,-0.05118830337460789,-0.04791383166193908
2015-01-28,-0.039165737219892804,-0.03512320544103342,-0.0414208458621087,-0.03731488316261822,-0.034760133588103814,-0.03033059403444549,-0.0671990426226986,-0.03693541967791936,-0.0324189151693518,-0.029557796946806825,-0.037673567080497516,-0.02375372440161483,-0.04205208631926394,-0.015499036080338868,-0.023357323618853898,-0.05776963571833926,-0.06447792348942905
2015-01-29,-0.03432257681793072,-0.030396815527722887,-0.03566196693938073,-0.03163640357332187,-0.02969865191066956,-0.025381345899786356,-0.05890527012136193,-0.03090883718985782,-0.026463992343828013,-0.023154727018782295,-0.02613658535806429,-0.014852687014171306,-0.04756396618114478,-0.010115863324468122,-0.0026635166122321863,-0.06282872886232393,-0.06328581347197004
2015-01-30,-0.036457534874616115,-0.03559126898156173,-0.03910149394191642,-0.03831160066937933,-0.03117467479716307,-0.030026311882172196,-0.05268671342866427,-0.03372282001448601,-0.03263744488981446,-0.028318921819893594,-0.030339377930146072,-0.024547856190957784,-0.051536339719517654,-0.021684038877653022,-0.01030623216331894,-0.05964838176963527,-0.08009286595208587
2015-02-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.007243559424584323,0.0,0.0,0.0,0.0,0.0,-0.006474918521193751,0.0,0.0,-0.01964547845097475,-0.06773562658943832
2015-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04911228008506985
2015-02-04,-0.018804510300535426,-0.01647332113556299,-0.01923519735759449,-0.01682798810830577,-0.018999413295949674,-0.016582772684194724,-0.018909765305269333,-0.019455123955107734,-0.01695677792866146,-0.01867932261556393,-0.01768895920397151,-0.017595400160041463,-0.021186520945314258,-0.010053358272481772,-0.027365582382756992,-0.017886525548328702,-0.047218859499176036
