carteira,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos
etfs_com_tudo,0.17235622825607733,0.1440016796321268,1.2715594923273479,2.1990752919216017,-0.23695812190062482,0.7273699963251729,0.6296296296296297
etfs_com_ouro_btc,0.1749921764533937,0.14649346411688438,1.2680498358084566,2.301529969808619,-0.24993710644261702,0.7001448442133186,0.6370370370370371
etfs_com_btc_petroleo,0.17096120137334747,0.1474405200507297,1.239603954284959,2.1280251952357867,-0.2419908895426568,0.7064778417751607,0.6296296296296297
etfs_com_btc,0.17363550754605872,0.1499754726945394,1.2367654941087156,2.244152374315299,-0.255629459426015,0.6792468596379159,0.6370370370370371
etfs_com_ouro_petroleo,0.14573775756317575,0.14048669758901125,1.1336861688884787,1.8721200352406542,-0.21354096130481992,0.6824815092741939,0.6444444444444445
etfs_com_ouro,0.1473886132429778,0.14268853278622096,1.1286799627767488,1.9756572952209115,-0.22647847798922505,0.6507841917322933,0.6592592592592592
etfs_america_norte,0.19295294128616103,0.18777423983189015,1.1106035453152714,2.1138830585128043,-0.226587516852659,0.851560332918211,0.6074074074074074
etfs_com_petroleo,0.1432650713302508,0.14384543382946186,1.097988898957424,1.7952702120466308,-0.21794988941096372,0.657330323577783,0.6444444444444445
etfs_todos,0.1448704501162843,0.14605855350293956,1.0934432342484701,1.8990931886163034,-0.23156453502164198,0.6256158789719019,0.6518518518518519
etfs_exterior,0.14490532109553667,0.1561844666927013,1.0367252367961648,1.7335400471459572,-0.2524855771824779,0.5739152418627455,0.6222222222222222
etfs_global,0.1510895705969293,0.16346637535195085,1.03206220915005,1.7471285122260907,-0.2898539823682681,0.5212609789330598,0.5925925925925926
etfs_desenvolvidos_emergentes,0.12910214057280744,0.15524069172688146,0.9502850839298949,1.4833888848423014,-0.3139025909907759,0.41128090139466594,0.6444444444444445
etfs_latam,0.14806912916026116,0.18605477122862873,0.9249132889209893,1.4484572056262093,-0.25645652532561036,0.5773654188454164,0.6222222222222222
etfs_asia,0.13543357629645336,0.17322353474110644,0.8949073388932091,1.4306708638531747,-0.3716563038072177,0.3644054329472756,0.6444444444444445
etfs_europa,0.11950625281952365,0.17427705611952443,0.8194471587991194,1.2851120757478796,-0.33654649467557285,0.35509581799307216,0.6074074074074074
etfs_oceania,0.10786745861955027,0.18460896685479145,0.7308340832643169,1.322557433927916,-0.3090700123633605,0.34900654966401295,0.5555555555555556
etfs_brasil,0.11019480249160862,0.2287898219275925,0.604151582708863,0.8007991837866979,-0.3988778474947454,0.2762620265419986,0.5703703703703704
