data,etfs_com_tudo__max_sharpe,etfs_com_ouro_btc__max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_tudo__min_vol,etfs_com_ouro_btc__min_vol,etfs_com_petroleo__max_sharpe,etfs_todos__max_sharpe,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro__min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc__min_vol,etfs_exterior__max_sharpe,etfs_com_petroleo__min_vol,etfs_todos__min_vol,etfs_america_norte__max_sharpe,etfs_america_norte__min_vol,etfs_global__max_sharpe,etfs_global__min_vol,etfs_exterior__min_vol,etfs_desenvolvidos_emergentes__max_sharpe,etfs_desenvolvidos_emergentes__min_vol,etfs_latam__max_sharpe,etfs_latam__min_vol,etfs_asia__max_sharpe,etfs_asia__min_vol,etfs_europa__max_sharpe,etfs_europa__min_vol,etfs_oceania__max_sharpe,etfs_oceania__min_vol,etfs_brasil__max_sharpe,etfs_brasil__min_vol
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007546872157756512,-0.0007546872157756512
2015-04-30,-0.03192583544196914,-0.038790895103660405,-0.02819971470159144,-0.03587808392935743,-0.02688842729439256,-0.03302205810194714,-0.017310257133747453,-0.026978614283095115,-0.022842230186640444,-0.02921316607019253,-0.01594956344171794,-0.026209302548985347,-0.011026346460995429,-0.020761172889529167,-0.05243641914540931,-0.011173588860519001,-0.021049037805910498,-0.0557964747570463,-0.0557964747570463,-0.056401503589624924,-0.056401503589624924,-0.043613278155049784,-0.0337873574389298,-0.0337873574389298,-0.051199447805141185,-0.051199447805141185,-0.040006485534785696,-0.040006485534785696,-0.06035156921848739,-0.06035156921848739,-0.06991139916261302,-0.06991139916261302,0.0,0.0
2015-05-31,0.0,-0.0015640093985527237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00894531766591955,-0.00894531766591955,0.0,0.0,-0.0035557963806487347,-0.0035557963806487347,-0.05156455550719885,-0.05156455550719885,-0.040740175432541714,-0.040740175432541714
2015-06-30,-0.017924422715832833,-0.020094348796140693,-0.019541366181102693,-0.019718893477522204,-0.03553769869053014,-0.0356907493442532,-0.03001280366494541,-0.031162711745118865,-0.036352083618551245,-0.036519347819109926,-0.0337389015987537,-0.03440223258873476,-0.032915991086630125,-0.032634097898101455,-0.04349438148158635,-0.036057125882773655,-0.035920830424826966,-0.040037104710313076,-0.040037104710313076,-0.0390859298354016,-0.0390859298354016,-0.04543106453855916,-0.04262440167889969,-0.04262440167889969,-0.0635582122965529,-0.0635582122965529,-0.04471822756474053,-0.04471822756474053,-0.04531073031358468,-0.04531073031358468,-0.11666465638997237,-0.11666465638997237,-0.046203242052330284,-0.046203242052330284
2015-07-31,0.0,0.0,0.0,0.0,-0.007374457156299696,-0.0001293127192523169,-0.004726922443303416,0.0,-0.004689357928221005,0.0,-0.00954884395840716,0.0,-0.000543834464709736,0.0,0.0,-0.004491096766836233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04147035244951014,-0.04147035244951014,-0.004980951860333205,-0.004980951860333205,0.0,0.0,-0.0441454217845777,-0.0441454217845777,-0.08346654605400816,-0.08346654605400816
2015-08-31,-0.024399719850543233,-0.02866121737326799,-0.03548523889706934,-0.03909012038647275,-0.0174680303244783,-0.013085178059183966,-0.022417327271606946,-0.025498822214556682,-0.02620943598489922,-0.02503037542156894,-0.024674861997626474,-0.02271452522100359,-0.03181946552905024,-0.038859068367199434,-0.008421543541387244,-0.03245033942486686,-0.03506223778828077,0.0,0.0,-0.011477435060138541,-0.011477435060138541,-0.014357965808347917,-0.02638728898500098,-0.02638728898500098,-0.015101417572734088,-0.015101417572734088,-0.0434401215846516,-0.0434401215846516,-0.017208411787689504,-0.017208411787689504,-0.07867556578239032,-0.07867556578239032,-0.16150439592087362,-0.16150439592087362
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19170069422210312,-0.19170069422210312
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16054069805429705,-0.16054069805429705
2015-11-30,-0.005471626987982203,-0.0012902756889903166,-0.0010807066660567521,0.0,-0.0275376298789638,-0.023501385435382605,-0.025432669681835773,-0.01729405900778158,-0.022328169946050913,-0.01786006848604471,-0.029696392295687657,-0.02169877673280385,-0.019848983583669044,-0.012457860436697166,-0.015350431004386267,-0.024025265919742855,-0.016513554686109932,0.0,0.0,-0.005455985623954218,-0.005455985623954218,-0.022596561940819826,-0.01611198500209321,-0.01611198500209321,-0.04897682128850134,-0.04897682128850134,-0.02056729249171818,-0.02056729249171818,-0.009214374897794642,-0.009214374897794642,-0.004205630822835649,-0.004205630822835649,-0.17583759006831323,-0.17583759006831323
