data,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,VEA,VT,XLE
2015-01-31,120.89928886227699,42.106066270247084,45.61000061035156,71.14255305414281,71.96679016898452,35.829028547084135,56.23470965911383,38.89167344473981,96.50189208470874,45.971153813623005,61.10132608707863,110.34239419209007,116.9890104660999,104.51727739565831,69.81137693470009,91.01037027541679,73.5205431412437,106.48792987157412,241.7483678701028,46.790000915527344,429.482081279315,70.86642365210037,120.5971667846934,63.10564852564448
2015-02-28,142.51161188915194,51.6456764666118,50.0099983215332,86.15592673327046,85.40849407957512,43.24297812312011,66.52234284689166,43.5308002285542,115.88368294073734,53.956653235233716,72.27479554521233,131.9555988285938,133.00434832235442,118.28945253221718,83.00558356552074,105.96044577192697,85.64435688547974,125.24965489057922,289.58823956433844,49.4900016784668,506.7953657973412,84.05050987435197,142.75311527803933,73.74117535445521
2015-03-31,155.9466159984595,59.86593293117721,49.5,93.31368630646466,92.78470986590719,46.358392859838204,74.22122344830768,48.83079424868697,130.56433658882725,58.945126648063706,75.68074654008115,141.06060155843352,149.29221556144512,128.59727448067133,91.249706612723,116.0600239775249,90.9024621822141,142.86440943633352,314.00140945697785,49.91999816894531,553.9566267423652,92.20085386558594,156.60305404687733,80.94351726601872
2015-04-30,146.82549853748424,57.56529744457248,54.619998931884766,89.49964952895152,85.96293468539943,43.28480605280993,67.43250247372362,48.48468421665939,122.6505159093449,56.3507880793677,73.88460635567571,130.58047907106902,146.02625201846786,124.14814290580671,85.24037676984881,113.94253822060455,76.43915853480758,150.38738202089007,292.9246264117828,51.36000061035156,512.0125620615072,87.65267460257974,146.98976769999354,78.95645617094715
2015-05-31,157.0541128333207,58.75129055200432,51.349998474121094,93.5578245123952,86.44127365370878,44.75161638719101,70.88825820939292,51.6225768940194,133.13332641427223,59.90981676373849,79.52548428557293,139.41525863560855,147.5937803087254,122.12663763532873,89.8208571394207,117.43677307055805,84.99147279666431,153.60111881157536,320.3763745869401,50.25,554.7230709135692,93.7136276219826,157.75257920373406,80.07477413343622
2015-06-30,150.90225319331876,55.26878576987065,51.459999084472656,86.48843679204128,79.55493448771767,42.17328860796715,68.12621139402745,49.14099550033188,129.5437961920461,57.06158862417533,75.40060100751543,135.16578990356356,138.79110786967976,122.30197728407165,86.68796058491898,112.41055940710885,83.37665701643164,143.29559722902104,308.1249581424381,49.56999969482422,535.9879503256489,89.73560304458215,152.1304575427821,76.22337671727928
2015-07-31,164.64007026384934,54.67423253805464,49.369998931884766,87.6983683459548,86.53471171503043,45.39779459093552,74.9105475077522,52.39854005209054,141.49495768389897,57.560489054740174,82.88895664609299,144.29335794171493,139.47823060232622,125.95450027984043,96.68878643296921,113.66548953956226,92.63855825010978,138.46085962512007,348.62464214034844,47.709999084472656,593.1042371329386,98.52503689231526,165.45277119752427,76.13961574334098
2015-08-31,162.89661301886008,57.15918900802353,45.34000015258789,91.3087894035325,84.91431214357908,42.96791918006147,73.94427032048043,48.247977521000394,140.8112347834358,55.502249812815535,80.97634823718909,143.70332474238967,138.41707537484035,123.45973255567151,95.1754984843592,109.38529702426604,88.91900535111927,129.55092459583102,344.8674309070848,43.47999954223633,591.3057023999863,97.03542758568983,164.00941421647804,77.39854918096171
2015-09-30,178.20642529143151,57.25474278623187,43.43000030517578,97.33318337380024,95.48496724495635,46.77401818536828,78.68458913993072,54.20771762167806,150.44653594085685,61.93859444205782,88.13723341769219,158.83128575094088,159.89740932629866,130.57836141900407,102.23082194501058,121.48892019616505,102.45999397074411,145.8063959393403,382.0850048184948,42.18000030517578,652.8118462802377,105.4482626294257,178.9151534106968,81.379168067102
2015-10-31,181.9282448597114,67.94337487189978,44.400001525878906,97.70358937168976,102.89101003047062,46.82996266979649,81.76272979887062,55.14102249523785,153.7738948765018,62.03776422307237,89.08595481127713,159.84725209733278,169.03429368825618,131.39064295762728,104.87626412734289,122.28108378330671,96.85453138933826,149.2795333879967,403.518716532637,44.4900016784668,671.7031800308905,106.72789295492339,182.02322425208695,85.7823849882684
