ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,BRL=X,BTC-USD,BZ=F,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GC=F,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
000001.SS,1.0,0.5635485407542942,0.16795092901029174,-0.1400203690154421,0.4259368426212571,0.08550017105333511,0.08440069628194993,0.2488038266347809,0.5163828443204839,0.47282528572164045,0.4699645483935637,0.697177286926841,0.5774424606797378,0.5424946386721711,0.5037954219897542,0.23415737962826322,0.418227089763554,0.3006342108678035,0.45592576692239717,0.3420003609459509,0.3359200593733598,0.6722913449392751,0.37467356506855776,0.7594537027717994,0.4896922327813924,-0.18564299934792147,0.5058404802035106,0.06773811438529884,0.559936207577889,0.5672623583018526,0.19462567212080667,0.46356948389888003,-0.14584217604095512,0.5111862479463438,0.4666758567688934,0.5046702027134958,0.7334358659545235,0.4385894916093769,0.2563551778415171,0.5176399834764858,0.48836050024147487,0.38651744280883304,0.545540787117556,0.45319777402004263,0.5588362016414459
ACWI,0.5635485407542942,1.0,0.39205654342462604,-0.10877469687505573,0.5902445672165016,0.2963198651572354,0.23161703325111285,0.42722680445311245,0.8149495894552217,0.8496621677597872,0.8623470332021002,0.6345309493923221,0.8865619026460618,0.775513169782235,0.8689556383638548,0.5638895265104321,0.6455305547494156,0.5197781387792682,0.8618413139329683,0.3950658686232415,0.3859556714782772,0.8171762658889073,0.718175124274381,0.5352838558088949,0.9244066869918987,-0.07261379220589406,0.9831319610013215,0.15897900244896887,0.9500694041216637,0.9985133718769434,0.49217912457949053,0.8242959673304971,-0.11416039228958501,0.8735876319136638,0.8562668911012571,0.9834487424029373,0.5562454930342577,0.6746312087112107,0.5555544844948044,0.850602715294662,0.9256138065330787,0.6845419480363654,0.8230289359615127,0.8535308115013024,0.745676262364333
ARGT,0.16795092901029174,0.39205654342462604,1.0,0.29544326231067475,0.006650366373034029,0.2543492430856441,0.2440987175250226,0.4059253652194545,0.43085968174618416,0.39661372098115955,0.3943697483205512,0.17942687214775807,0.29545551081267113,0.24934176806420613,0.3561517733147153,0.3249641726322246,0.290192424385301,0.2970814473846662,0.38191006226662705,0.0003715829724871491,-0.0058950033473510475,0.3283244973680373,0.26872179784193595,0.11380021728827007,0.3400009236308803,0.30277088859132095,0.37056601069091527,0.1613674637763694,0.3798858869355963,0.39923378705154894,0.3098541726952465,0.43361814216256206,0.2918285090414366,0.3712351715159657,0.41421158648304607,0.3698678291799068,0.11491842912507377,0.30880459827990087,0.35590556756551,0.33276935267955743,0.34092204061495296,0.2693004100607478,0.4619708767927671,0.39114091068641066,0.2817495187169936
BOVA11.SA,-0.1400203690154421,-0.10877469687505573,0.29544326231067475,1.0,-0.6345189994033446,5.2628177531124734e-05,0.15465936916051307,0.3518704072720458,-0.00960790865301484,0.10743624248620595,0.05114807319273872,-0.13566822992244038,-0.20001476855912564,-0.06449304835130998,-0.06379141982123383,0.22536392641986813,0.1423654663387036,0.34570771995961136,0.03152169563505902,-0.3582236817519388,-0.33775551498325995,0.06128731434500943,-0.028984758640137213,-0.16313287121557665,-0.15424255191560204,0.908227515886868,-0.1477358369675606,0.06123546706407197,-0.048171314716042704,-0.08670913057571467,0.16740904522658692,0.15484772439987457,0.9981314327935968,-0.0710067685852166,0.024267355872746074,-0.1456037386221525,-0.16459436820849077,0.11768983809214845,0.24440104576592986,-0.10816822903570278,-0.1527730675707986,0.0026305979202999982,-0.01014443684676107,0.010326599470302053,-0.07106954550180984
BRL=X,0.4259368426212571,0.5902445672165016,0.006650366373034029,-0.6345189994033446,1.0,0.08540579751272032,0.08673877024119384,0.07327957619393219,0.468677343430985,0.363808184765701,0.3726769975917421,0.4318503871595915,0.6521389946719552,0.4320213769837462,0.4927586895499058,0.1730301211748155,0.19084306686924232,0.05340074706877797,0.3816220861929047,0.6272414056821719,0.6072333719388,0.4175848402152697,0.5327750104824365,0.36991666389146627,0.5441480728629153,-0.577523461536033,0.6045544287831668,0.04447202902307317,0.5277524104437507,0.5795579829072243,0.15369775883860864,0.3256972346753773,-0.6347527534039477,0.4910856963774741,0.3855647624339088,0.6026089796130406,0.38584062767461186,0.20738387087253593,0.14956099689960395,0.5201023327771735,0.5429817847567283,0.45776831848154215,0.48207504718939254,0.39298893440566796,0.4100615999630178
BTC-USD,0.08550017105333511,0.2963198651572354,0.2543492430856441,5.2628177531124734e-05,0.08540579751272032,1.0,0.0947074511376199,0.16179823511379526,0.20708479911021715,0.288705243325573,0.2635606437774615,0.09243171506434081,0.20423079141329725,0.15587776368452355,0.21128457242939802,0.14806074084493556,0.12150594095721949,0.1656722916787719,0.24309604154550046,0.05795396879332678,0.060781490825520354,0.151354091575367,0.2288862416666738,0.01729329973440068,0.31154004824853915,0.06614078287589348,0.311681024533389,-0.007592047179896248,0.24663830545307178,0.2956136150368779,0.1421131902059245,0.3193353872038355,-0.004076979674363507,0.23980497823478247,0.2868688587748343,0.30842020434809947,0.07443283360874546,0.14205362016666534,0.1881638994933329,0.22994515994796205,0.3100192905444066,0.22939972660687222,0.2430855266278352,0.25445340599393884,0.16773006461159495
BZ=F,0.08440069628194993,0.23161703325111285,0.2440987175250226,0.15465936916051307,0.08673877024119384,0.0947074511376199,1.0,0.06960474949747826,0.1121804586142582,0.22984957170211018,0.18638106158063775,0.08144342415263882,0.13207611015015502,0.10106666835301902,0.3355307781241187,0.2169508706157032,0.0473138655845681,0.13641737507076934,0.2084907171057638,-0.15452663054510418,-0.14321733605920442,0.16802160189670584,0.12458220338872393,0.0948787918758315,0.14514677393753844,0.07732170129923084,0.22761087773254166,0.8696540075942389,0.2125059681612857,0.24500122001652352,0.6365097720870347,0.219755977162487,0.14922675848336978,0.29743601617474513,0.15456621599654932,0.2268735023943927,0.06019217021581285,-0.0025222378184109346,0.20440105567727082,0.07879528605914697,0.14684695172727222,0.0840080425585461,0.14284443107802722,0.170731323055419,0.04676576849515813
ECH,0.2488038266347809,0.42722680445311245,0.4059253652194545,0.3518704072720458,0.07327957619393219,0.16179823511379526,0.06960474949747826,1.0,0.365512012172687,0.44175150894860293,0.46806020403095566,0.38047007437797314,0.3852363313918194,0.44703286137518455,0.4620299662758328,0.3929274528423253,0.47978817901312093,0.5365061755552273,0.4639121929939405,0.13660346387653177,0.14219330384587653,0.5347928979357669,0.38149377475215246,0.30837845146543835,0.3345509154252398,0.30069940482692487,0.3724479872851192,-0.04793435095760142,0.47858519052071335,0.4359308841455633,0.4040263373380799,0.46216982769504955,0.3468183056770693,0.4479167600452697,0.43725408983474057,0.37374894727517455,0.3723168760927165,0.4798859722387937,0.40571337332664836,0.3645723702601686,0.33702886912075425,0.3677695693877987,0.37689596718417984,0.44126207026232483,0.43366795163020916
ENZL,0.5163828443204839,0.8149495894552217,0.43085968174618416,-0.00960790865301484,0.468677343430985,0.20708479911021715,0.1121804586142582,0.365512012172687,1.0,0.8294380302304313,0.6912380691835301,0.6197654078450976,0.7188779379058388,0.6793287062639546,0.710340826194798,0.4751892265434284,0.5968741754609321,0.49329774138749205,0.6745839303148916,0.3896144608146431,0.37712141836811847,0.7529263274290197,0.6382214592244618,0.5181921668094589,0.736644073875669,0.04378810878133968,0.7761404870576901,0.02866107020450893,0.7995003426819084,0.8185463987475573,0.3322931668803051,0.813644618411241,-0.01179179592218266,0.7247496289587321,0.682338352089904,0.7758691747568409,0.5412364490823072,0.6071440179651282,0.4838915999032712,0.6883515368256432,0.7374274202184582,0.6402030184228268,0.976712776519028,0.6649417862483642,0.6385680856320634
EWA,0.47282528572164045,0.8496621677597872,0.39661372098115955,0.10743624248620595,0.363808184765701,0.288705243325573,0.22984957170211018,0.44175150894860293,0.8294380302304313,1.0,0.781288426149948,0.6048824692636816,0.7426850808502332,0.6817642391418265,0.8033544656687488,0.6101919594462348,0.6358469433805727,0.6112898544544055,0.7769419067284813,0.29770667419383645,0.2899494469818288,0.7543851960660858,0.6788489844681755,0.4396929454143213,0.7227135990993525,0.12353278784446911,0.8018436468749085,0.15326614198030103,0.8749947652186577,0.8612831934106254,0.496779223164519,0.9584866442164209,0.10023171904065643,0.8067475462889526,0.7653712480997116,0.8020329810574455,0.4856431188258044,0.6601032791072367,0.6165884787025188,0.7171918048821768,0.7236295864470195,0.6768759647645873,0.833845985709537,0.7627338522575966,0.6522054325112693
