data,etfs_com_tudo__max_sharpe,etfs_com_ouro_btc__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_tudo__min_vol,etfs_com_btc_petroleo__max_sharpe,etfs_com_ouro_petroleo__min_vol,etfs_com_btc__max_sharpe,etfs_com_ouro__min_vol,etfs_com_ouro_btc__min_vol,etfs_com_petroleo__max_sharpe,etfs_todos__max_sharpe,etfs_exterior__max_sharpe,etfs_com_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,etfs_todos__min_vol,etfs_com_btc__min_vol,etfs_america_norte__max_sharpe,etfs_america_norte__min_vol,etfs_asia__max_sharpe,etfs_global__max_sharpe,etfs_global__min_vol,etfs_exterior__min_vol,etfs_latam__max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,etfs_desenvolvidos_emergentes__min_vol,etfs_asia__min_vol,etfs_europa__max_sharpe,etfs_europa__min_vol,etfs_latam__min_vol,etfs_oceania__max_sharpe,etfs_oceania__min_vol,etfs_brasil__min_vol,etfs_brasil__max_sharpe
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010197927187564293,-0.010197927187564293
2015-04-30,-0.01409998978921756,-0.022460674354721766,-0.011872594923133972,-0.01919421527222831,-0.0021116543814462263,-0.0003685947311645732,-0.0021086014880833392,-0.005538936919243231,-0.007482318757736528,-0.0074823129232950425,0.0,-0.0020603694089845748,-0.05157090573022183,0.0,0.0,0.0,0.0,-0.06059197236971503,-0.0690714493890291,-0.04753662569580963,-0.05848849391986899,-0.05341926548485931,-0.032939769608927194,-0.05231632921277107,-0.03945380261062681,-0.031149503419016678,-0.061837329535635144,-0.045257628952858675,-0.02373327306378714,-0.05702931410763634,-0.0663002396731347,-0.0684746493649726,0.0,0.0
2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012860708740384585,0.0,0.0,0.0,0.0,0.0,-0.006748232509175334,-0.0346594958864348,-0.04485089494931149,-0.05986818970541552,-0.05986818970541552
2015-06-30,-0.010799473480199273,-0.010675675161175957,-0.02279922244384225,-0.023143049322053022,-0.020329825695280968,-0.008619114399932126,-0.020634305955317567,-0.00835005712063186,-0.02236587836882986,-0.022365882401563897,-0.02680880647568018,-0.026748099819092208,-0.04619557224372328,-0.02226398975411603,-0.022263979596283345,-0.023788272724009407,-0.02378826364774056,-0.039752569103882696,-0.035634185505475924,-0.043173058905092154,-0.039170394278772225,-0.04098504962924643,-0.04706639409004598,-0.06272064945658062,-0.042560448894129466,-0.042654173097360304,-0.03297289219687416,-0.04318739742814348,-0.051868700263830614,-0.05779193761759116,-0.09027691916313796,-0.10622204502297727,-0.05785426417442563,-0.05785426417442563
2015-07-31,0.0,0.0,-0.010427628315129667,-0.0012185394631704094,-0.018312415024348216,0.0,-0.01862810208725363,0.0,-0.003982183406933126,-0.003982184506918229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017844645626648892,0.0,0.0,0.0,-0.042017101824807446,0.0,0.0,0.0,0.0,0.0,-0.02261065551244512,-0.020720726653656096,-0.03485053457796894,-0.09611863974122625,-0.09611863974122625
2015-08-31,0.0,0.0,0.0,0.0,-0.008590002328321966,-0.04889012782166502,-0.008658589416366658,-0.05450825924899805,-0.0037355441026816205,-0.0037355447745701653,-0.031917553311135105,-0.03578441665499521,-0.0029451458580300738,-0.040653251615770936,-0.04065324840070439,-0.045187650089906994,-0.04518765095281452,-0.006587341954694681,-0.0004909259879807282,-0.0465165203558503,-0.010589667608049913,-0.013096393384052996,-0.015703946761450926,-0.01696485495860467,-0.022278971170688777,-0.02829980068028659,-0.03308952687444655,-0.019281420551855,-0.02307426954510261,-0.003640274006929789,-0.07313587687287415,-0.0763977600823098,-0.16990111608881064,-0.16990111608881064
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001874676336735881,-0.0018746861601919296,-0.0058732704911717,-0.0058732846058504595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20486998984865867,-0.20486998984865867
2015-10-31,0.0,0.0,0.0,0.0,-0.0007871531422851685,0.0,-0.0011896729137433892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18711090453793222,-0.18711090453793222
2015-11-30,-0.02615847738359467,-0.017896682223398797,-0.03881026536665799,-0.03192167396372325,-0.04003422149912139,0.0,-0.04073565438029536,0.0,-0.03146426341507125,-0.03146426759283316,-0.014723220412705573,-0.01067825392438293,-0.01763819795093524,-0.013965726945135759,-0.013965724082644182,-0.00960775186209084,-0.009607747405022682,0.0,0.0,-0.020775361376072277,-0.006192198268859972,-0.007455909408263461,-0.025679216342669453,-0.04413136115271643,-0.013327835849562542,-0.017408067256753368,-0.012336327927940482,-0.015939927365693718,-0.017444014260062812,-0.04462092792522965,0.0,0.0,-0.1999267371382295,-0.1999267371382295
