familia_estrategia,qtd_estrategias,retorno_total_medio,cagr_medio,vol_anual_media,sharpe_medio,sortino_medio,max_drawdown_medio,calmar_medio,peso_max_medio,top3_peso_medio,hhi_medio,n_efetivo_medio,score_medio
equal_weight,17,3.767889481988119,0.14778401169531752,0.162977075216293,1.0337474452457929,1.751791813416167,-0.2723227230646619,0.5711531850945999,,,,,293.3529411764706
markowitz_puro__min_vol,17,3.452574735552542,0.14126362331983988,0.14182721104739793,1.1686242174824757,1.9444933189657254,-0.21478066902307563,0.8240050216206732,0.5230222811380953,0.8800532579532484,0.4336874733776947,2.9606953931480287,234.94117647058823
markowitz_puro__max_sharpe,17,6.9674737638848105,0.19440215496078847,0.159031525330094,1.3558768310983367,2.5745179378808003,-0.24649375625890785,0.9013818351993961,0.5819210190363011,0.945606971354809,0.5040524638057883,2.4952426969868777,209.0
markowitz_restrito__min_vol,17,3.444419916277494,0.14112898683931216,0.15362130867154072,1.0616161617867699,1.74271296228816,-0.2534134968962948,0.6059383030244136,0.22941176470588234,0.6,0.21158359479605227,9.40537696103525,271.4117647058824
markowitz_restrito__max_sharpe,17,5.279811399179956,0.17029260443130992,0.16232712906295438,1.1671508235536352,2.11439446463033,-0.26858848609523434,0.6800894157866693,0.2294117647058822,0.5999999999999996,0.21146555960758248,9.445586144002101,250.88235294117646
hrp,17,3.40353346352865,0.1401520467116437,0.1571173373720469,1.0281957290215655,1.7104003016887734,-0.2510784438540543,0.6046063618446373,0.2792389143390449,0.5786810855984044,0.21635344657647818,11.848357046193104,281.0
