ticker_1,ticker_2,correlacao,frequencia,universo,nome_ativo_1,classe_1,subclasse_1,regiao_1,pais_1,tipo_ativo_1,grupo_universo_1,nome_ativo_2,classe_2,subclasse_2,regiao_2,pais_2,tipo_ativo_2,grupo_universo_2
000001.SS,USO,0.27681534292044563,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,United States Oil Fund,ETF,Petroleo,Global,Global,etf,etfs
000001.SS,VEA,0.4727897837610102,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Vanguard FTSE Developed Markets ETF,ETF,Developed Markets,Global,Desenvolvidos,etf,etfs
000001.SS,VT,0.4708217581189647,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs
000001.SS,XLE,0.35453652422049653,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Energy Select Sector SPDR Fund,ETF,Energia,America do Norte,Estados Unidos,etf,etfs
000001.SS,^AXJO,0.4120667056088989,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,ASX 200,Equity Index,Broad Market,Oceania,Australia,indice,indices
000001.SS,^BVSP,0.10461244517009222,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Ibovespa,Equity Index,Broad Market,Brasil,Brasil,indice,indices
000001.SS,^FTSE,0.4449622467552442,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,FTSE 100,Equity Index,Broad Market,Europa,Reino Unido,indice,indices
000001.SS,^GDAXI,0.3816120588471793,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,DAX,Equity Index,Broad Market,Europa,Alemanha,indice,indices
000001.SS,^GSPC,0.44054880355067244,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices
000001.SS,^HSI,0.6152561876429581,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Hang Seng,Equity Index,Broad Market,Asia,Hong Kong,indice,indices
000001.SS,^KS11,0.4481117382179926,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Kospi,Equity Index,Broad Market,Asia,Coreia do Sul,indice,indices
000001.SS,^MXX,0.32611015329880255,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Mexico IPC,Equity Index,Broad Market,America Latina,Mexico,indice,indices
000001.SS,^N225,0.4511910034200258,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Nikkei 225,Equity Index,Broad Market,Asia,Japao,indice,indices
000001.SS,^NDX,0.4102006243026522,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices
000001.SS,^NSEI,0.4403272570876998,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Nifty 50,Equity Index,Broad Market,Asia,India,indice,indices
000001.SS,^NZ50,0.4901841271265454,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,NZX 50,Equity Index,Broad Market,Oceania,Nova Zelandia,indice,indices
000001.SS,^STOXX50E,0.3877037214224802,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Euro Stoxx 50,Equity Index,Broad Market,Europa,Zona do Euro,indice,indices
000001.SS,^TWII,0.47112222802338205,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Taiwan Weighted,Equity Index,Broad Market,Asia,Taiwan,indice,indices
