carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_no_limite_min,n_ativos_no_limite_max,pct_ativos_no_limite_min,pct_ativos_no_limite_max,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,peso_min_base,peso_max_base,peso_min_efetivo,peso_max_efetivo,ajuste_limites,periodo_inicio,periodo_fim
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,2015-02-28,2026-04-30,135,9.561969813404048,0.23527143294052688,0.23503324926688762,0.14615472892713996,1.6097421867055206,3.1109581160598685,-0.2432042048294365,0.9664029017578898,0.6444444444444445,0.16110697554310888,-0.10088120568685487,27,27,0.0999999999999999,0.01999999999999998,0.037037037037037035,0.01999999999999998,0.0999999999999999,0.2999999999999997,0.4798325282733414,0.060831321639975205,16.438899781241176,0.35588963772328985,baixa,19,4,0.7037037037037037,0.14814814814814814,27,27,27,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,2015-02-28,2026-04-30,135,9.988245798458268,0.23953858311073895,0.239417048205393,0.1500186433568481,1.5967254319248207,3.3650538700628627,-0.2597811845928084,0.9216104260232126,0.6518518518518519,0.16326364992627157,-0.0985375707379954,26,26,0.09999999999999998,0.019999999999999997,0.03846153846153846,0.020000000000000216,0.09999999999999998,0.29999999999999827,0.48482942874054774,0.06439551472736284,15.529031862448669,0.36557497863181365,baixa,19,4,0.7307692307692307,0.15384615384615385,26,26,26,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,2015-02-28,2026-04-30,135,9.617931927510783,0.23827752273636038,0.23561784957692034,0.15625654786223928,1.5249122420548635,2.781824489338777,-0.25661762652528974,0.9181670517621288,0.6518518518518519,0.17426754201133232,-0.1196470013496966,26,26,0.09999999999999992,0.019999999999999983,0.038461538461538464,0.020000000000000073,0.09999999999999992,0.2999999999999997,0.4859839300474332,0.06264797722375945,15.962207310035012,0.36216832648908115,baixa,18,4,0.6923076923076923,0.15384615384615385,26,26,26,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,2015-02-28,2026-04-30,135,9.978151784896546,0.2419274026985953,0.23931504563591632,0.15967246472380342,1.5151479193176731,3.0465889736425145,-0.27582139337265,0.8676449738348919,0.6444444444444445,0.17633900482684103,-0.10588732528279822,25,25,0.09999999999999996,0.01999999999999999,0.04,0.020000000000000084,0.09999999999999996,0.2999999999999999,0.4901071944711043,0.06656228195590745,15.02352339215812,0.3709830292395091,baixa,18,4,0.72,0.16,25,25,25,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,2015-02-28,2026-04-30,135,4.744695942798636,0.1769446129720827,0.169483406036272,0.12705659069080824,1.3926441124386595,2.525710975006041,-0.18108940608926538,0.9359101103502853,0.6518518518518519,0.1505929343085208,-0.10162533093594381,26,26,0.09999999999999767,0.019999999999999536,0.038461538461538464,0.019999999999999536,0.09999999999999767,0.29999999999999305,0.46898199279841407,0.0624612911791787,16.00991559926874,0.36087156543370624,baixa,18,3,0.6923076923076923,0.11538461538461539,26,26,26,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,2015-02-28,2026-04-30,135,4.905003997248199,0.17989186572694812,0.1723694560390343,0.1299611290898128,1.3841974672490684,2.708443852597669,-0.1976920783737085,0.8719087656774723,0.6518518518518519,0.15230839401953009,-0.09926402036979456,25,25,0.09999999999999937,0.019999999999999872,0.04,0.019999999999999872,0.09999999999999937,0.2999999999999981,0.48158973075341077,0.06630247881739047,15.082392360535849,0.3697109137261576,baixa,18,3,0.72,0.12,25,25,25,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,2015-02-28,2026-04-30,135,4.671839670530238,0.1779838580840557,0.1681474540843022,0.13694804166882885,1.2996451494681516,2.230742659867568,-0.19709186919538402,0.8531425206466117,0.6222222222222222,0.16210030916725685,-0.11358228684390707,25,25,0.1,0.02,0.04,0.02,0.1,0.30000000000000004,0.5,0.06869180016420316,14.55777833175964,0.3741419967946862,baixa,17,6,0.68,0.24,25,25,25,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_todos,max_sharpe,etfs_todos__max_sharpe,2015-02-28,2026-04-30,135,4.757683003059126,0.17970649666256905,0.16971992599198282,0.13907840062364965,1.2921236932315627,2.4292537150135356,-0.21435583325217122,0.791767237760784,0.6370370370370371,0.16371789591326055,-0.10501587274133148,24,24,0.09999999999999992,0.019999999999999983,0.041666666666666664,0.020000000000000087,0.09999999999999992,0.29999999999999977,0.499999999999999,0.0703999999999998,14.204545454545496,0.37833333333333274,baixa,17,6,0.7083333333333334,0.25,24,24,24,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,2015-02-28,2026-04-30,135,4.912305832290627,0.1867820811888573,0.1724992063539117,0.16038289050708318,1.164601040661555,2.107268781805924,-0.23638642079094663,0.7297339913888922,0.6296296296296297,0.18370473173921598,-0.16119044827298293,22,22,0.09999999999999996,0.01999999999999999,0.04545454545454546,0.020000000000000184,0.09999999999999996,0.2999999999999999,0.4999999999999996,0.07269742600909257,13.755645211907858,0.3781904883165579,baixa,13,6,0.5909090909090909,0.2727272727272727,22,22,22,0.02,0.1,0.02,0.1,nenhum,2015-02-28,2026-04-30
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,2015-02-28,2026-04-30,135,6.21010410175136,0.2089489363328219,0.19352243022473403,0.1875522429956964,1.1140839106766454,2.132228977351142,-0.2273282250336922,0.8512908161582319,0.6148148148148148,0.2274823782803579,-0.1614841201723512,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,1.0,3,3,3,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
