carteira,tipo,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao
etfs_america_norte,max_sharpe,3,2,0.847959156118205,1.4354906041718516e-18,0.3333333333333333,0.152040843881795,0.847959156118205,1.0,1.0,0.7421511486529868,1.3474344165807894,0.5653061040788037,alta
etfs_america_norte,min_vol,3,2,0.870156110606876,0.0,0.3333333333333333,0.12984388939312394,0.870156110606876,1.0,1.0,0.7740310924392197,1.2919377655084627,0.5801040737379173,alta
etfs_asia,max_sharpe,6,2,0.788452137281095,0.0,0.16666666666666666,1.477648282834073e-17,0.788452137281095,1.0,1.0,0.6664092710040633,1.5005793639295013,0.7628173790936987,alta
etfs_asia,min_vol,6,4,0.4788625944420695,0.0,0.16666666666666666,0.12939592636905003,0.4788625944420695,0.9111525108197209,1.0,0.334909536478845,2.985880935233286,0.5437410841745633,alta
etfs_brasil,max_sharpe,2,1,1.0,5.551115123125783e-17,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,alta
etfs_brasil,min_vol,2,1,1.0,3.469446951953614e-17,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,alta
etfs_com_btc,max_sharpe,25,6,0.35467781031972323,0.0,0.039999999999999994,5.61866777047117e-17,0.35467781031972323,0.8573758598462149,0.9904495680517454,0.2705378650618196,3.696340250824016,0.866329194925852,alta
etfs_com_btc,min_vol,25,6,0.36941086568517845,0.0,0.04,8.322470299957753e-18,0.36941086568517845,0.7736520941225808,0.9703831110478538,0.24552688300272868,4.072873763435862,0.8498145312159824,media
etfs_com_btc_petroleo,max_sharpe,26,7,0.34063202162887185,0.0,0.03846153846153846,3.38036544423054e-17,0.34063202162887185,0.8305472185960537,0.9865300237999455,0.2547363561522449,3.9256273234996866,0.863712065118688,alta
etfs_com_btc_petroleo,min_vol,26,7,0.3609634792788407,0.0,0.038461538461538464,1.0895251720594092e-17,0.3609634792788407,0.7913829333224753,0.9472639212797108,0.2489948657367786,4.016147068097123,0.8560724078472073,media
etfs_com_ouro,max_sharpe,25,5,0.38197219442456476,0.0,0.04,1.6210048496829467e-16,0.38197219442456476,0.9338246563687047,0.9999999999999954,0.3028364602936119,3.302112298599913,0.8784380898533268,alta
