ticker,periodo_total,pos_2020,primeira_metade,segunda_metade
000001.SS,0.06449828669365054,0.08595413644008065,0.11731036421868613,0.012210788065665668
ACWI,0.17104575467718552,0.16286265296951763,0.23367622698610346,0.10761076891562715
ARGT,0.23388792961024363,0.28113475721269765,0.21689825556837095,0.24873542669895854
BOVA11.SA,0.13312263002083036,0.09215578093989851,0.13735966515669462,0.12727481924634998
BRL=X,0.05767837111821561,0.035283949007669735,0.14016504395350915,-0.02063963539136804
BTC-USD,0.7158558287619119,0.4997512448376731,1.1620557649375893,0.35665452664166897
BZ=F,0.1081336642355677,0.09791359820113299,0.09248190880436269,0.11846485269173712
ECH,0.09959320968528806,0.12293862657057386,0.08357467408614117,0.1122038884738461
ENZL,0.10174376315089839,0.016553604376402298,0.26816539828003694,-0.046081789266677387
EWA,0.13308967520790072,0.12420301779622211,0.17714244657180234,0.08698498945586763
EWG,0.12523514176503348,0.12279679141299193,0.18170205363895375,0.06569298317697414
EWH,0.10636154832932743,0.0660724454321222,0.1928260018840282,0.021202236638115712
EWJ,0.1449399554218891,0.1280558978800952,0.21006162587576238,0.0793244090763967
EWT,0.21189788227859818,0.22895604755918986,0.2533623984132214,0.16867607727496847
EWU,0.1273119318924938,0.13199006127124835,0.12442667099914773,0.12501222278181578
EWW,0.11519529620012037,0.16424621767186753,0.05857712003257576,0.17300089441193944
EWY,0.1740389854890605,0.20408619738232203,0.18915478909674555,0.15437018890286525
EZA,0.12095961709691605,0.1518899647087848,0.08811050137522325,0.14752091532504097
FEZ,0.14631571413702704,0.15011354038735147,0.17706959899069896,0.11050083177887471
GC=F,0.1976836336126322,0.24411386767395893,0.24360648214507474,0.15223804125653695
GLD,0.1923953171191446,0.23870703586449116,0.23875086687131009,0.14698237488691102
IEMG,0.13392054293014555,0.1232783960776509,0.19521289571901246,0.0716676080051899
INDA,0.1176821206543095,0.10784890881451137,0.16870568617634008,0.06409093198820259
MCHI,0.09082664983615496,0.03825835119967502,0.24183545311650811,-0.045995758197075465
QQQ,0.2515940223116162,0.23866270493674446,0.37567837045166486,0.1356601589456905
SMAL11.SA,0.08010839838562811,-0.014967309032185128,0.1573293090662371,0.0084471060809439
SPY,0.19851299298911873,0.1876617877449338,0.27077108739598366,0.1264629143644087
USO,0.03409236805448801,0.06634241902151139,-0.15115669042845703,0.2558345925306693
VEA,0.14897054403191157,0.144095944861782,0.19261416906640627,0.10263767142199409
VT,0.17091170795816923,0.16247949251913552,0.2322375660662077,0.10870140239303305
XLE,0.13401766479323585,0.19183917575690757,0.02965275342453455,0.24061287633643613
^AXJO,0.09193585746567856,0.08718748339370097,0.13839672406886483,0.04605269884612717
^BVSP,0.1323699436067831,0.08816187640660988,0.1400356386340731,0.12344703488930753
^FTSE,0.08961526338491455,0.09745238492686292,0.09042411003848394,0.08545995498364167
^GDAXI,0.1427630599507781,0.14644117439741655,0.19149938357597485,0.09077671660618591
^GSPC,0.17879899107202402,0.17068433326780097,0.2462122303108072,0.11117207797133832
^HSI,0.06486081285429157,0.020276682275641722,0.1518397820349997,-0.020336480244431465
^KS11,0.13843164004924624,0.16769341575947871,0.1604906132478472,0.11380064913635723
^MXX,0.09017533036198211,0.1316176701959757,0.042313697184546806,0.13731917399850357
^N225,0.14643470510002166,0.12426745320129773,0.22265637448514575,0.07297443848022267
^NDX,0.24236378824110894,0.23154714481407668,0.36276547020425376,0.1295795386187053
^NSEI,0.12221752197748659,0.1066327996828611,0.16667781395035464,0.07574288832751352
^NZ50,0.11293380636120665,0.03515714117831248,0.2631339873579437,-0.02205787179626384
^STOXX50E,0.1195399869685736,0.12181724661758575,0.15047870076295533,0.08450874089019367
^TWII,0.1922265518066648,0.22473478538537361,0.21757869701329713,0.16529646835807021
