ticker_1,ticker_2,janela,correlacao_media,correlacao_min,correlacao_max,correlacao_std
BTC-USD,^NDX,12m,0.3330432092584677,-0.009583536238823196,0.6127336923424715,0.15788593177697371
BTC-USD,^NDX,24m,0.33897843787417825,0.12346542653341686,0.5414960000691905,0.11988774170503415
BTC-USD,^NDX,6m,0.3335181227509739,-0.11568209082974498,0.6614942530946641,0.18531295870834907
BZ=F,^GSPC,12m,0.4330220263437189,-0.03208753465133655,0.6307321924114279,0.12968052736204783
BZ=F,^GSPC,24m,0.4248684417766086,0.20585067146292044,0.5814944045669496,0.10687976806257848
BZ=F,^GSPC,6m,0.430515912401677,-0.11047660288202694,0.7278030689837117,0.1569551094572316
GC=F,^GSPC,12m,0.5288620688559834,0.11650428250614109,0.7728792860541239,0.11360725179388369
GC=F,^GSPC,24m,0.5335096843081917,0.37137032215720134,0.6989919299271562,0.070429151687765
GC=F,^GSPC,6m,0.5212569892434329,-0.0171846751612511,0.845062225581502,0.15400608716492784
GLD,SPY,12m,0.5599256928428367,0.13353298369515407,0.8051270349061491,0.11930537930812668
GLD,SPY,24m,0.5632378362024635,0.39194901381716263,0.7276927490907086,0.0717581460446785
GLD,SPY,6m,0.5553150778006297,0.001972292959727487,0.8619377634333635,0.15615517262280168
QQQ,BTC-USD,12m,0.33252526575840374,-0.01179112641560939,0.6125041373331898,0.15738252757159973
QQQ,BTC-USD,24m,0.3382571415582494,0.12203889100559061,0.5404227595703337,0.11984112880303895
QQQ,BTC-USD,6m,0.3332279629576318,-0.11705069301847636,0.6585917392881501,0.18486535113021446
^BVSP,BTC-USD,12m,0.14015247471512168,-0.09600162622914352,0.43428887920821996,0.12499671279966726
^BVSP,BTC-USD,24m,0.15344960769757257,-0.007949138441339633,0.33756494554554844,0.09856523570457949
^BVSP,BTC-USD,6m,0.13122895126293846,-0.1548310987037484,0.5489532115695533,0.14184891634015595
^BVSP,BZ=F,12m,0.221106758255787,-0.1775197683711906,0.533800772793065,0.0949946734621719
^BVSP,BZ=F,24m,0.22907827311053205,-0.025891752685186696,0.42358759930463485,0.07704207805144428
^BVSP,BZ=F,6m,0.21480978974183326,-0.2807830129511876,0.6985050030770598,0.11948797101505236
^BVSP,GC=F,12m,0.06466135755173973,-0.1607318720413834,0.20809572309943955,0.06418451294082503
^BVSP,GC=F,24m,0.06690394727617904,-0.059466983819035854,0.1753186732222305,0.039743739374082425
^BVSP,GC=F,6m,0.06008452740229491,-0.2620344462268923,0.294132871830188,0.10557136104146904
^BVSP,^GSPC,12m,0.3234785535718264,0.09231650487264771,0.7895598078589825,0.1391896879857415
^BVSP,^GSPC,24m,0.34329585473945934,0.15269588964277236,0.6363500236085652,0.14558334268057438
^BVSP,^GSPC,6m,0.3144845524103343,-0.005647206751286127,0.843485861459828,0.14303283572418848
^BVSP,^NDX,12m,0.3071864236835939,0.04088399186008326,0.7545182520691424,0.13073691431369655
^BVSP,^NDX,24m,0.3212241762783202,0.11261370149801624,0.5740143987054812,0.12830127959942125
^BVSP,^NDX,6m,0.30239167443848464,-0.05691719706274221,0.8196096661854442,0.1433957486587081
