carteira,tipo,coluna_retorno,carteira_tipo,ativo,peso,peso_pct
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,QQQ,0.09999999999999941,9.999999999999941
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,SMAL11.SA,0.08496980013641102,8.496980013641101
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,ARGT,0.0843825891618384,8.43825891618384
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,EWT,0.08304085008262035,8.304085008262035
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,SPY,0.052466987927555844,5.246698792755584
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,USO,0.035139772691577746,3.5139772691577744
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,EWW,0.02000000000000024,2.000000000000024
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__max_sharpe,VT,0.0200000000000001,2.00000000000001
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,BOVA11.SA,0.1,10.0
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,EWJ,0.1,10.0
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,GLD,0.1,10.0
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,SMAL11.SA,0.1,10.0
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,EWH,0.09748890796313907,9.748890796313907
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,USO,0.06863464349933808,6.863464349933808
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,EWU,0.04509060626509014,4.509060626509014
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,ECH,0.028785842272432804,2.8785842272432802
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,etfs_com_ouro_petroleo__min_vol,ENZL,0.02000000000000002,2.000000000000002
