carteira,n_obs,data_inicio,data_fim,retorno_total,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,retorno_medio_mensal,retorno_mediano_mensal,vol_mensal
etfs_com_tudo,135,2015-02-28,2026-04-30,4.905224061594626,0.17235622825607733,0.1440016796321268,1.2715594923273479,2.1990752919216017,-0.23695812190062482,0.7273699963251729,0.6296296296296297,0.16861159640430867,-0.14035982241351308,0.015258891887276048,0.015419412001409727,0.04156970424968333
etfs_com_ouro_btc,135,2015-02-28,2026-04-30,5.055208814386859,0.1749921764533937,0.14649346411688438,1.2680498358084566,2.301529969808619,-0.24993710644261702,0.7001448442133186,0.6370370370370371,0.16956711830290838,-0.1388159725421697,0.015480084426702274,0.013844143846046597,0.04228902047120199
etfs_com_btc_petroleo,135,2015-02-28,2026-04-30,4.827223592867842,0.17096120137334747,0.1474405200507297,1.239603954284959,2.1280251952357867,-0.2419908895426568,0.7064778417751607,0.6296296296296297,0.17332000747459975,-0.1434292179328428,0.015230654306392944,0.014805007248217539,0.0425624119703736
etfs_com_btc,135,2015-02-28,2026-04-30,4.9775870074705075,0.17363550754605872,0.1499754726945394,1.2367654941087156,2.244152374315299,-0.255629459426015,0.6792468596379159,0.6370370370370371,0.17451181363205648,-0.1419527696632592,0.015457040799270851,0.014336944982795918,0.043294189766016844
etfs_com_ouro_petroleo,135,2015-02-28,2026-04-30,3.569257986680592,0.14573775756317575,0.14048669758901125,1.1336861688884787,1.8721200352406542,-0.21354096130481992,0.6824815092741939,0.6444444444444445,0.16506747049341786,-0.14109408105784838,0.013272318830790041,0.013796235289071923,0.0405550163352886
etfs_com_ouro,135,2015-02-28,2026-04-30,3.6433236071549384,0.1473886132429778,0.14268853278622096,1.1286799627767488,1.9756572952209115,-0.22647847798922505,0.6507841917322933,0.6592592592592592,0.16591689694865086,-0.13952142828678327,0.0134208073228184,0.013966262479025993,0.04119063140719871
etfs_america_norte,135,2015-02-28,2026-04-30,6.173079693011697,0.19295294128616103,0.18777423983189015,1.1106035453152714,2.1138830585128043,-0.226587516852659,0.851560332918211,0.6074074074074074,0.22835139298937457,-0.161247960422072,0.017378561373014773,0.014277032159857095,0.05420575395690957
etfs_com_petroleo,135,2015-02-28,2026-04-30,3.4603315561405745,0.1432650713302508,0.14384543382946186,1.097988898957424,1.7952702120466308,-0.21794988941096372,0.657330323577783,0.6444444444444445,0.1698087747754451,-0.14431573075375914,0.013161724125871986,0.01384693217569355,0.041524599971569154
etfs_todos,135,2015-02-28,2026-04-30,3.5307787611913923,0.1448704501162843,0.14605855350293956,1.0934432342484701,1.8990931886163034,-0.23156453502164198,0.6256158789719019,0.6518518518518519,0.1709009664635588,-0.1428188621686577,0.01330889476099229,0.013100836125780058,0.04216347259118476
etfs_exterior,135,2015-02-28,2026-04-30,3.5323201470987042,0.14490532109553667,0.1561844666927013,1.0367252367961648,1.7335400471459572,-0.2524855771824779,0.5739152418627455,0.6222222222222222,0.17955396509427013,-0.16329363530211094,0.01349336485132279,0.013679760396960727,0.045086571944134624
etfs_global,135,2015-02-28,2026-04-30,3.8133551042180844,0.1510895705969293,0.16346637535195085,1.03206220915005,1.7471285122260907,-0.2898539823682681,0.5212609789330598,0.5925925925925926,0.1828485112843985,-0.1523132083802664,0.01405895570562381,0.014331403964813694,0.04718867790645062
etfs_desenvolvidos_emergentes,135,2015-02-28,2026-04-30,2.8806864203835367,0.12910214057280744,0.15524069172688146,0.9502850839298949,1.4833888848423014,-0.3139025909907759,0.41128090139466594,0.6444444444444445,0.1751609520188966,-0.15872700300488018,0.012293576147251208,0.010156175085624275,0.04481412757884936
etfs_latam,135,2015-02-28,2026-04-30,3.674171825117437,0.14806912916026116,0.18605477122862873,0.9249132889209893,1.4484572056262093,-0.25645652532561036,0.5773654188454164,0.6222222222222222,0.21146409901890184,-0.1751622445894785,0.014340377531376108,0.015007871641741666,0.05370938612643152
etfs_asia,135,2015-02-28,2026-04-30,3.1307538528037426,0.13543357629645336,0.17322353474110644,0.8949073388932091,1.4306708638531747,-0.3716563038072177,0.3644054329472756,0.6444444444444445,0.1804748596732395,-0.1776830861478046,0.012918251042403246,0.016769981789478194,0.05000532720637815
etfs_europa,135,2015-02-28,2026-04-30,2.527874946130015,0.11950625281952365,0.17427705611952443,0.8194471587991194,1.2851120757478796,-0.33654649467557285,0.35509581799307216,0.6074074074074074,0.18506056425092132,-0.1506631887794898,0.011900903206751584,0.009779001944517196,0.050309452632091474
etfs_oceania,135,2015-02-28,2026-04-30,2.1392519741629843,0.10786745861955027,0.18460896685479145,0.7308340832643169,1.322557433927916,-0.3090700123633605,0.34900654966401295,0.5555555555555556,0.19706630503752742,-0.14172455756075475,0.011243210421141181,0.006948888228263561,0.05329201835421627
etfs_brasil,135,2015-02-28,2026-04-30,2.213691843384489,0.11019480249160862,0.2287898219275925,0.604151582708863,0.8007991837866979,-0.3988778474947454,0.2762620265419986,0.5703703703703704,0.16693079329128535,-0.3422038044055269,0.011518644418769496,0.008056863983356921,0.06604593263887104
