data,equal_weight,markowitz_puro__min_vol,markowitz_puro__max_sharpe,markowitz_restrito__min_vol,markowitz_restrito__max_sharpe,hrp
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,-0.04102861724449891,0.0,-0.0020994078697663676,-0.021045574437873138,-0.029213160290386453,-0.036908039159389006
2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,-0.0407020681977277,-0.023791604996931226,-0.02673102704803254,-0.0359258697004754,-0.03651939701028273,-0.040454718358046926
2015-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-31,-0.021514227262891317,-0.04518935340214336,-0.03573308256152885,-0.03505825148326103,-0.025030379881591514,-0.023002678516861552
2015-09-30,0.0,-0.005873458417152588,0.0,0.0,0.0,0.0
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-30,-0.01768558346262672,-0.009610475564379217,-0.010620182808521839,-0.016504934447152397,-0.017859983585592043,-0.020927405846718483
2015-12-31,-0.01840216662143912,-0.016643921882475876,-0.017152968362611598,-0.021442419086928233,-0.02278234182876626,-0.02284603848112987
2016-01-31,-0.04809201460083623,-0.06329253256445533,-0.06256889056448067,-0.06038051456874105,-0.05862337318963273,-0.05082752809932589
2016-02-29,-0.07583796347778815,-0.07500591059414352,-0.055184014035118634,-0.08055273550929509,-0.06497157443658363,-0.07764026726161932
2016-03-31,-0.06983247920939695,-0.03700035732552742,-0.016521489788487775,-0.0643410643732083,-0.05151025802953302,-0.06487012385165525
2016-04-30,-0.07965241824738267,-0.02519506392929649,-0.029204743118150134,-0.06653528067763315,-0.05825904303798579,-0.07095448064384069
2016-05-31,-0.0742641347922195,-0.036929139554402246,-0.02438632050102052,-0.06775751272215003,-0.051469298205408465,-0.0737744508533541
2016-06-30,-0.1360019743227756,-0.07638949367738235,-0.06000994205934407,-0.11685805112746883,-0.09408709921915948,-0.1312395985165412
2016-07-31,-0.07794980315417233,-0.004161190206565912,0.0,-0.052704171681778655,-0.026058662555996537,-0.07275325365548713
2016-08-31,-0.08800344192093457,-0.00236775320684679,-0.0030716527624230494,-0.05828108716230418,-0.03500492768389596,-0.086010316647817
2016-09-30,-0.06462683311253825,0.0,0.0,-0.037195349727402904,-0.009494325953320004,-0.06463254135875929
2016-10-31,-0.08448276132541577,0.0,0.0,-0.04374588001714075,-0.014180309400578683,-0.07794723374173596
2016-11-30,-0.042499998245548176,0.0,0.0,-0.011704416668571804,0.0,-0.04316636170528443
2016-12-31,-0.08922328146993597,-0.05179538957959362,-0.04636045155496604,-0.062251445799523686,-0.04656128075821364,-0.08993826682942685
2017-01-31,-0.07649253413333446,-0.027471511426894968,-0.009589010321776836,-0.040323349568577416,-0.019132264187839976,-0.07766947904218846
2017-02-28,-0.06149093384054105,-0.006650856872802202,0.0,-0.021151310634300313,0.0,-0.0625060821918838
2017-03-31,-0.023171971212805897,0.0,0.0,0.0,0.0,-0.022581009148062492
2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,-0.009811963036958193,-0.007666116917998234,-0.014617632969464833,-0.0090175562225141,-0.01090122434976648,-0.013781271135654416
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,-0.02758425972301648,-0.011563605201283078,0.0,-0.023223083904439945,-0.01819011696476225,-0.02690100416631569
