carteira,tipo,coluna_retorno,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,n_ativos_com_peso,peso_max,top3_peso,hhi,n_efetivo_ativos,classificacao_concentracao,n_clusters_finais,metodo_ligacao,distancia
etfs_com_tudo,hrp,etfs_com_tudo,0.1635513746499615,0.12528076259662738,1.3673610285991922,2.3433719728859574,-0.17830505423190968,0.9172559653706785,0.6444444444444445,27,0.18776714788232163,0.3037615231016286,0.06380396562192717,15.673007002817632,baixa,27,single,correlacao
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc,0.1571192055252486,0.13272829630623367,1.261573835484776,2.2345611024694083,-0.19798182465576586,0.7936041896696036,0.6518518518518519,26,0.12542615574536622,0.26487504925602123,0.051026831276327504,19.59753280748833,baixa,26,single,correlacao
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo,0.1467423279209361,0.12901177291646282,1.221530338109553,2.073631188996993,-0.1793476849990978,0.8182002902444728,0.6592592592592592,26,0.14638889736521507,0.3027643038337664,0.05646992423617762,17.70854155599074,baixa,26,single,correlacao
etfs_com_ouro,hrp,etfs_com_ouro,0.1477705793831352,0.1308381243603111,1.212422420746018,2.083759436042941,-0.1884844648413625,0.783993415624497,0.6444444444444445,25,0.14664827634499844,0.275950091054996,0.05551579461456815,18.012891771481293,baixa,25,single,correlacao
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo,0.14771688976228092,0.14148777264178175,1.1412966197672383,1.8738686903666988,-0.20013380290355465,0.7380906554474775,0.6444444444444445,26,0.08397860887158892,0.1970504953001751,0.043524690762951845,22.975464787246658,baixa,26,single,correlacao
etfs_com_btc,hrp,etfs_com_btc,0.14842926781077748,0.1424772761877975,1.138313031897382,1.9431072689159998,-0.2143701079585283,0.6923972247077115,0.6518518518518519,25,0.0725160666615707,0.2024568968228258,0.04511253435313912,22.166788329204472,baixa,25,single,correlacao
etfs_america_norte,hrp,etfs_america_norte,0.19135239934724457,0.18628402771336475,1.1102874682636186,2.128044545315824,-0.22449937434732492,0.8523515929768322,0.6074074074074074,3,0.3965579111081853,1.0,0.3400937737963183,2.9403655022479143,alta,3,single,correlacao
etfs_com_petroleo,hrp,etfs_com_petroleo,0.13753976244502342,0.14003091897449924,1.0862079849200097,1.7364568541495906,-0.19392158262586812,0.709254537749819,0.6444444444444445,25,0.07143395983839576,0.20958977156535513,0.045103942863238544,22.17101070370144,baixa,25,single,correlacao
etfs_todos,hrp,etfs_todos,0.13649450059169754,0.14275603548050556,1.0631444614396675,1.8062199863425823,-0.21955132949812006,0.6216974449834352,0.6444444444444445,24,0.0744424833634646,0.20011694855792117,0.04676056227474544,21.385542674282224,baixa,24,single,correlacao
etfs_global,hrp,etfs_global,0.1467240820539928,0.16297248649359827,1.0116689382843647,1.6908906462252002,-0.2953748639791586,0.4967385514034313,0.6,3,0.5049918271747147,1.0,0.37754573420573084,2.648685733673483,alta,3,single,correlacao
etfs_exterior,hrp,etfs_exterior,0.13863586218157398,0.15552210004805558,1.0053755078634563,1.6645573180170143,-0.24036026329375737,0.5767836175655189,0.6444444444444445,22,0.07028865506522801,0.20206099032887348,0.0497097577678713,20.11677475214586,baixa,22,single,correlacao
etfs_desenvolvidos_emergentes,hrp,etfs_desenvolvidos_emergentes,0.12880053275133352,0.15523117739634315,0.9485388146661474,1.4792538809166107,-0.314045689380536,0.4101331019871542,0.6444444444444445,2,0.5,1.0,0.5,2.0,alta,2,single,correlacao
etfs_asia,hrp,etfs_asia,0.1293595620318151,0.1680133585596516,0.8867812255626953,1.3750075245903337,-0.34776867522017496,0.37197013776446824,0.6518518518518519,6,0.29359191873172025,0.6789523853513117,0.19806184932011264,5.048927915359279,media,6,single,correlacao
etfs_latam,hrp,etfs_latam,0.12975659367501002,0.1776446785700167,0.8682136905819822,1.2203103581033183,-0.26717078735474276,0.48566909189335294,0.6444444444444445,3,0.4994100946440785,1.0,0.385219644102677,2.595921613315905,alta,3,single,correlacao
etfs_europa,hrp,etfs_europa,0.11747302402810389,0.1673982484686757,0.8347986364189383,1.3262235807276628,-0.2967036485327713,0.39592713001346475,0.6074074074074074,3,0.573619540966915,1.0,0.4200595866043434,2.38061463632755,alta,3,single,correlacao
etfs_oceania,hrp,etfs_oceania,0.10608493341222269,0.1844917873849193,0.7223268701389715,1.3033494627051305,-0.3108083787756095,0.34131941304198726,0.5555555555555556,2,0.5,1.0,0.5,2.0,alta,2,single,correlacao
etfs_brasil,hrp,etfs_brasil,0.10903389652758522,0.22882591122595267,0.5994865206226014,0.7941913119378834,-0.39950601292064114,0.2729217909149317,0.5703703703703704,2,0.5,1.0,0.5,2.0,alta,2,single,correlacao
