ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
000001.SS,1.0,0.47263595372620615,0.350890255426463,0.10649757919766163,0.388110835216188,0.434965571975648,0.42238858010004127,0.4155882511104947,0.5446029542405315,0.45721358506923243,0.46529056536645164,0.45344153184524355,0.3885396697746698,0.42459809832990003,0.3863544945896388,0.4165037155964978,0.41911287825951055,0.5234309782234244,0.40916495006257836,0.560385596518117,0.4139538705820897,0.055064773300693516,0.44223790505394117,0.27681534292044563,0.4727897837610102,0.4708217581189647,0.35453652422049653,0.4120667056088989,0.10461244517009222,0.4449622467552442,0.3816120588471793,0.44054880355067244,0.6152561876429581,0.4481117382179926,0.32611015329880255,0.4511910034200258,0.4102006243026522,0.4403272570876998,0.4901841271265454,0.3877037214224802,0.47112222802338205
ACWI,0.47263595372620615,1.0,0.7367387093887393,0.40950454130873,0.7341110044208574,0.8220628365896292,0.9072060879142397,0.9140177415513511,0.8092304801508758,0.9010046940518168,0.869143808655284,0.9189641593496258,0.799822642128121,0.8359570596196557,0.7908480906773254,0.9280726972829153,0.5685846526513267,0.9212859825788029,0.8291738979508162,0.7589065391763129,0.9419875127562017,0.3525266836772713,0.9862487830049315,0.46402127248093233,0.9694411309302773,0.9983094729625286,0.7349092049157073,0.4495187172520419,0.41417249446767374,0.6823129669627207,0.6735425209958777,0.9859126100237136,0.4657447581298681,0.3933335534892132,0.5428976688636795,0.4887031440124559,0.9414800442167974,0.531543317121185,0.49963913707187,0.685370250022023,0.4314124488487454
ARGT,0.350890255426463,0.7367387093887393,1.0,0.44881135456436305,0.6472962224658302,0.6228935249896449,0.6822485313349265,0.6743981569517004,0.5962478282521199,0.6594792275367605,0.6576663383717452,0.6834835131016594,0.6650986724271564,0.6445313292999914,0.6414432835672915,0.6877486945065996,0.43039663201142153,0.7223261929053163,0.6123810279656176,0.5903709621183809,0.6894007418657387,0.41653345751826876,0.7130745831971456,0.417467263248479,0.7224967679723588,0.7390067269788504,0.5977926170522088,0.330567154385274,0.45431854127566007,0.5177461453970277,0.5092705365266047,0.7124498905222979,0.35279238016135867,0.30743540735391545,0.46560848485985207,0.3656272189507356,0.6895299304843456,0.3856848551364627,0.3582691980189237,0.5176576434306314,0.3190751649440944
BOVA11.SA,0.10649757919766163,0.40950454130873,0.44881135456436305,1.0,0.4180806314089845,0.35071861930393194,0.45749119195093885,0.38281804160816096,0.3297597988511576,0.3428901510891338,0.37673375589331975,0.40769915167018034,0.453357878580788,0.41192017044441404,0.46750678498214737,0.4019049372424461,0.08040845556475723,0.4746156440757807,0.38663665586184776,0.3435427571525733,0.34606989807231536,0.8469781670849741,0.38034990017612513,0.2543989757664684,0.41379783605795767,0.415160294950668,0.418567199342024,0.20513343261889463,0.978785097119819,0.29129637735146285,0.295146356695173,0.38411829323066565,0.16857523801036278,0.13850735490532845,0.34801466231158684,0.15029390197364184,0.349641126691624,0.17996992383201277,0.09536323026632636,0.31311401278556217,0.1276254488193875
ECH,0.388110835216188,0.7341110044208574,0.6472962224658302,0.4180806314089845,1.0,0.6453613443396408,0.7092349198830136,0.6961294072057874,0.6458678348452112,0.6700900623289613,0.6852637024214473,0.721569600341125,0.7034803865532557,0.6888275705865651,0.6958099820352643,0.7116674066444938,0.488641660526826,0.7582717000311132,0.6535316476275521,0.6151100029956175,0.637319780737536,0.3867859128217937,0.6920670525798187,0.41410914292654283,0.7468461931362306,0.7358087387080678,0.6078303242024932,0.34889578735151855,0.42811491136506713,0.5534133116517753,0.5460258062279605,0.6928561242471992,0.4145310863496622,0.33485907420238853,0.493758643859923,0.38453261914026393,0.6386388907363915,0.4255187891562995,0.38398870636928084,0.556848259929127,0.3572464616635893
ENZL,0.434965571975648,0.8220628365896292,0.6228935249896449,0.35071861930393194,0.6453613443396408,1.0,0.8343941227825874,0.7670365091017863,0.7028597761910893,0.7452231124178198,0.7282606741158479,0.8031859197589348,0.7113261854421935,0.718343454551454,0.6896894597179231,0.7736604303935632,0.613356838988422,0.7903831012819538,0.7226440760073889,0.6391205860807594,0.7337633393483628,0.30788269950327796,0.7940321291616211,0.40928854456229646,0.8308985343540466,0.8266296678546637,0.6334097486005137,0.4292010655688792,0.3507573340349445,0.5851491108859709,0.5478771439455752,0.7966701177927554,0.4117865519605158,0.33012790729196273,0.4670899384874069,0.40925353641308915,0.7346848734115441,0.47455232206268266,0.6142129283609502,0.554697118688694,0.39848104950194996
EWA,0.42238858010004127,0.9072060879142397,0.6822485313349265,0.45749119195093885,0.7092349198830136,0.8343941227825874,1.0,0.8505315159902181,0.7672571565494298,0.8252616830272274,0.8079347083473317,0.8908586263468312,0.7734754186326954,0.8002824854794434,0.7832105791093987,0.8643576713671368,0.5429845250502282,0.8688421569257047,0.7787170490370898,0.7005140313746937,0.8096094192230605,0.3829401076301416,0.873086869164599,0.4718479794551815,0.9213757697781306,0.9117657108180721,0.7231666178897422,0.5256358018874683,0.46317267920768235,0.644208077591833,0.6160347170930597,0.8746084946269997,0.44295936024956145,0.3571527318808232,0.512124550917908,0.43997629217063383,0.8113108722581934,0.4737344063911348,0.4478460544228957,0.6269411610345005,0.3941526918158647
EWG,0.4155882511104947,0.9140177415513511,0.6743981569517004,0.38281804160816096,0.6961294072057874,0.7670365091017863,0.8505315159902181,1.0,0.7487743881434843,0.8409933881258027,0.8008563319396959,0.9110891906937583,0.7573907199453455,0.7869256825498405,0.7708527753796723,0.9788625493359161,0.5243629439845048,0.8567863156084637,0.7691520166900918,0.6995936035953966,0.8160056700913841,0.3294219680643054,0.8685057685986411,0.3907027776506331,0.9529341912874439,0.9158615477853963,0.6548101612625908,0.41106188567730423,0.38943717036425585,0.6866755982313064,0.7573426129289482,0.8681660016264733,0.43718103503337474,0.35663514901936855,0.5141058336605746,0.44050249572973693,0.8158879200391148,0.4963397302193293,0.44814769404098354,0.7401386352704551,0.3947131914835687
EWH,0.5446029542405315,0.8092304801508758,0.5962478282521199,0.3297597988511576,0.6458678348452112,0.7028597761910893,0.7672571565494298,0.7487743881434843,1.0,0.7519190793393484,0.7709714380591512,0.7782382035296098,0.6931058591022937,0.7515937527518711,0.7243290842641841,0.7661072373751535,0.5325779109490444,0.869217826866064,0.7125655772937458,0.861381972131568,0.716707803664776,0.2479905564857502,0.7600673192002417,0.4021802130423486,0.8190053439772578,0.8093947562762173,0.6061790253546983,0.44086151465479295,0.33267912913260655,0.6292220305413916,0.587691095338105,0.7596914286812557,0.6811955651028626,0.41791590804217327,0.4753962169137637,0.45111006260762326,0.7150865462654578,0.49893076130521974,0.48417019253366383,0.6078172945011857,0.450836023129061
EWJ,0.45721358506923243,0.9010046940518168,0.6594792275367605,0.3428901510891338,0.6700900623289613,0.7452231124178198,0.8252616830272274,0.8409933881258027,0.7519190793393484,1.0,0.8117064945767888,0.8444272102078747,0.7290679526940923,0.7806637393008632,0.7169634031651924,0.8522764430191548,0.5675904043220866,0.8433974829837675,0.7578238830821006,0.6884882558421999,0.8159208302171184,0.2886598512381027,0.8650912659192956,0.38814453175541624,0.926902438403719,0.9014809288704146,0.648150505098154,0.42189988962485414,0.3459641536403348,0.6431549257013817,0.6398522011108269,0.8629272617049374,0.45046284713123363,0.39284901952371354,0.4961417179034909,0.5719607197993292,0.813695852171336,0.5230499647523649,0.48040242355595736,0.6521184164616678,0.4225535296289946
