ativo_1,ativo_2,correlacao
EWH,EWT,0.6298077362529083
EWH,EWU,0.6591037075722939
EWH,EWW,0.3055589522989278
EWH,EWY,0.5133170072531509
EWH,EZA,0.5108646020568435
EWH,FEZ,0.60008397076536
EWH,IEMG,0.7783612495513618
EWH,INDA,0.49208847075499523
EWH,MCHI,0.8275418732017702
EWH,QQQ,0.5145092892386725
EWH,SMAL11.SA,-0.14587482647634215
EWH,SPY,0.5550563011978126
EWH,VEA,0.683590842590482
EWH,VT,0.6393714363725034
EWH,XLE,0.2743596046946291
EWJ,ACWI,0.8865619026460618
EWJ,ARGT,0.29545551081267113
EWJ,BOVA11.SA,-0.20001476855912564
EWJ,ECH,0.3852363313918194
EWJ,ENZL,0.7188779379058388
EWJ,EWA,0.7426850808502332
EWJ,EWG,0.7913883972223859
EWJ,EWH,0.603769568450342
EWJ,EWT,0.7181411665811469
EWJ,EWU,0.8021195593323479
EWJ,EWW,0.5018349150792188
EWJ,EWY,0.6489930210145335
EWJ,EZA,0.44938814431286217
EWJ,FEZ,0.7895246263927663
EWJ,IEMG,0.7659204827517435
EWJ,INDA,0.6642060115651337
EWJ,MCHI,0.5258119384084436
EWJ,QQQ,0.7944136781334101
EWJ,SMAL11.SA,-0.18027261887398852
EWJ,SPY,0.8371405905798838
EWJ,VEA,0.9109967458032394
EWJ,VT,0.884823945348346
EWJ,XLE,0.3775128467411239
EWT,ACWI,0.775513169782235
EWT,ARGT,0.24934176806420613
EWT,BOVA11.SA,-0.06449304835130998
EWT,ECH,0.44703286137518455
EWT,ENZL,0.6793287062639546
EWT,EWA,0.6817642391418265
EWT,EWG,0.6626701362104087
EWT,EWH,0.6298077362529083
EWT,EWJ,0.7181411665811469
EWT,EWU,0.6455999941330743
EWT,EWW,0.45773753760740854
EWT,EWY,0.7536142196530577
EWT,EZA,0.5146269575268073
EWT,FEZ,0.65414339880455
EWT,IEMG,0.862763797769226
EWT,INDA,0.5820665556143679
EWT,MCHI,0.5952638809900376
EWT,QQQ,0.7403226234838031
EWT,SMAL11.SA,-0.03886626859502017
EWT,SPY,0.724806607856552
EWT,VEA,0.7526644558367951
EWT,VT,0.7752959706239397
EWT,XLE,0.27893156831248583
EWU,ACWI,0.8689556383638548
EWU,ARGT,0.3561517733147153
EWU,BOVA11.SA,-0.06379141982123383
EWU,ECH,0.4620299662758328
EWU,ENZL,0.710340826194798
EWU,EWA,0.8033544656687488
EWU,EWG,0.8571787094122583
EWU,EWH,0.6591037075722939
EWU,EWJ,0.8021195593323479
EWU,EWT,0.6455999941330743
EWU,EWW,0.5952276980547575
EWU,EWY,0.6131194280177745
EWU,EZA,0.5849673348810984
EWU,FEZ,0.8844455107635014
EWU,IEMG,0.7524460940966743
EWU,INDA,0.6619921991696825
EWU,MCHI,0.49856500625363626
EWU,QQQ,0.685223808586315
EWU,SMAL11.SA,-0.06962749645943743
EWU,SPY,0.8065664827264777
EWU,VEA,0.9376237735203774
EWU,VT,0.8736067739068586
EWU,XLE,0.6033452297106465
EWW,ACWI,0.5638895265104321
EWW,ARGT,0.3249641726322246
EWW,BOVA11.SA,0.22536392641986813
EWW,ECH,0.3929274528423253
EWW,ENZL,0.4751892265434284
EWW,EWA,0.6101919594462348
EWW,EWG,0.6404889632583282
EWW,EWH,0.3055589522989278
EWW,EWJ,0.5018349150792188
EWW,EWT,0.45773753760740854
EWW,EWU,0.5952276980547575
EWW,EWY,0.5001018932856924
EWW,EZA,0.5183996912068766
EWW,FEZ,0.6772363927021716
EWW,IEMG,0.5195669187332775
EWW,INDA,0.5018272041317905
EWW,MCHI,0.1780703560634927
EWW,QQQ,0.4279254539742889
EWW,SMAL11.SA,0.2289075696090029
EWW,SPY,0.5045435331474158
EWW,VEA,0.6495326749847864
EWW,VT,0.5770506530255095
EWW,XLE,0.3412545265181933
EWY,ACWI,0.6455305547494156
EWY,ARGT,0.290192424385301
EWY,BOVA11.SA,0.1423654663387036
EWY,ECH,0.47978817901312093
EWY,ENZL,0.5968741754609321
EWY,EWA,0.6358469433805727
EWY,EWG,0.6367666158802917
EWY,EWH,0.5133170072531509
EWY,EWJ,0.6489930210145335
EWY,EWT,0.7536142196530577
EWY,EWU,0.6131194280177745
EWY,EWW,0.5001018932856924
EWY,EZA,0.5860550930834281
EWY,FEZ,0.6322645811932751
EWY,IEMG,0.7964892136571212
EWY,INDA,0.46885230217758983
EWY,MCHI,0.4322025315214924
EWY,QQQ,0.5515317558854985
EWY,SMAL11.SA,0.15258508933434356
EWY,SPY,0.5591553872125015
EWY,VEA,0.7164217163752221
EWY,VT,0.6490511664727119
EWY,XLE,0.31744020992065947
EZA,ACWI,0.5197781387792682
EZA,ARGT,0.2970814473846662
EZA,BOVA11.SA,0.34570771995961136
EZA,ECH,0.5365061755552273
EZA,ENZL,0.49329774138749205
EZA,EWA,0.6112898544544055
EZA,EWG,0.5884224767821981
EZA,EWH,0.5108646020568435
EZA,EWJ,0.44938814431286217
EZA,EWT,0.5146269575268073
EZA,EWU,0.5849673348810984
EZA,EWW,0.5183996912068766
EZA,EWY,0.5860550930834281
EZA,FEZ,0.5697775577288261
EZA,IEMG,0.7041297221764936
EZA,INDA,0.5154980239429722
EZA,MCHI,0.42126684085261357
EZA,QQQ,0.34191603292568407
EZA,SMAL11.SA,0.29233455108443046
EZA,SPY,0.4312386038017551
EZA,VEA,0.6031891186947037
EZA,VT,0.5309439257134319
EZA,XLE,0.39358353146642483
FEZ,ACWI,0.8618413139329683
FEZ,ARGT,0.38191006226662705
FEZ,BOVA11.SA,0.03152169563505902
FEZ,ECH,0.4639121929939405
FEZ,ENZL,0.6745839303148916
FEZ,EWA,0.7769419067284813
FEZ,EWG,0.9655977454422062
FEZ,EWH,0.60008397076536
FEZ,EWJ,0.7895246263927663
FEZ,EWT,0.65414339880455
FEZ,EWU,0.8844455107635014
FEZ,EWW,0.6772363927021716
FEZ,EWY,0.6322645811932751
FEZ,EZA,0.5697775577288261
FEZ,IEMG,0.7447566082914008
FEZ,INDA,0.6296991185629965
FEZ,MCHI,0.4790407418510889
FEZ,QQQ,0.7255032294566959
FEZ,SMAL11.SA,0.040712902863337515
FEZ,SPY,0.7929445077568149
FEZ,VEA,0.9349240691500872
FEZ,VT,0.8640216761513698
FEZ,XLE,0.45326222463164484
IEMG,ACWI,0.8171762658889073
IEMG,ARGT,0.3283244973680373
IEMG,BOVA11.SA,0.06128731434500943
IEMG,ECH,0.5347928979357669
IEMG,ENZL,0.7529263274290197
IEMG,EWA,0.7543851960660858
IEMG,EWG,0.7581058927004007
IEMG,EWH,0.7783612495513618
IEMG,EWJ,0.7659204827517435
IEMG,EWT,0.862763797769226
IEMG,EWU,0.7524460940966743
IEMG,EWW,0.5195669187332775
IEMG,EWY,0.7964892136571212
IEMG,EZA,0.7041297221764936
IEMG,FEZ,0.7447566082914008
IEMG,INDA,0.690220345529287
IEMG,MCHI,0.7852123839781103
IEMG,QQQ,0.6997882377961305
IEMG,SMAL11.SA,0.05620073025764695
IEMG,SPY,0.7273877842925859
IEMG,VEA,0.8381664574272076
IEMG,VT,0.822105209676088
IEMG,XLE,0.37478461302344884
INDA,ACWI,0.718175124274381
INDA,ARGT,0.26872179784193595
INDA,BOVA11.SA,-0.028984758640137213
INDA,ECH,0.38149377475215246
INDA,ENZL,0.6382214592244618
INDA,EWA,0.6788489844681755
INDA,EWG,0.6330383932808664
INDA,EWH,0.49208847075499523
INDA,EWJ,0.6642060115651337
INDA,EWT,0.5820665556143679
INDA,EWU,0.6619921991696825
INDA,EWW,0.5018272041317905
INDA,EWY,0.46885230217758983
INDA,EZA,0.5154980239429722
INDA,FEZ,0.6296991185629965
INDA,IEMG,0.690220345529287
INDA,MCHI,0.33921091569360684
INDA,QQQ,0.6253331330430639
INDA,SMAL11.SA,0.05990277490035602
INDA,SPY,0.6865846047401792
INDA,VEA,0.7114784507827344
INDA,VT,0.7260771362913448
INDA,XLE,0.32961395197684146
MCHI,ACWI,0.5352838558088949
MCHI,ARGT,0.11380021728827007
MCHI,BOVA11.SA,-0.16313287121557665
MCHI,ECH,0.30837845146543835
MCHI,ENZL,0.5181921668094589
MCHI,EWA,0.4396929454143213
MCHI,EWG,0.49563854984425537
MCHI,EWH,0.8275418732017702
MCHI,EWJ,0.5258119384084436
MCHI,EWT,0.5952638809900376
MCHI,EWU,0.49856500625363626
MCHI,EWW,0.1780703560634927
MCHI,EWY,0.4322025315214924
MCHI,EZA,0.42126684085261357
MCHI,FEZ,0.4790407418510889
MCHI,IEMG,0.7852123839781103
MCHI,INDA,0.33921091569360684
MCHI,QQQ,0.4511569148285477
MCHI,SMAL11.SA,-0.20232865275372047
MCHI,SPY,0.4494371619194403
MCHI,VEA,0.5455543058014487
MCHI,VT,0.5351249647789098
MCHI,XLE,0.1677246106555916
QQQ,ACWI,0.9244066869918987
QQQ,ARGT,0.3400009236308803
QQQ,BOVA11.SA,-0.15424255191560204
QQQ,ECH,0.3345509154252398
QQQ,ENZL,0.736644073875669
QQQ,EWA,0.7227135990993525
QQQ,EWG,0.7371359154359306
QQQ,EWH,0.5145092892386725
QQQ,EWJ,0.7944136781334101
QQQ,EWT,0.7403226234838031
QQQ,EWU,0.685223808586315
QQQ,EWW,0.4279254539742889
QQQ,EWY,0.5515317558854985
QQQ,EZA,0.34191603292568407
QQQ,FEZ,0.7255032294566959
QQQ,IEMG,0.6997882377961305
QQQ,INDA,0.6253331330430639
QQQ,MCHI,0.4511569148285477
QQQ,SMAL11.SA,-0.08171362754023329
QQQ,SPY,0.9424807126387378
QQQ,VEA,0.811301806510244
QQQ,VT,0.9162737371179498
QQQ,XLE,0.3205608109019273
SMAL11.SA,ACWI,-0.07261379220589406
SMAL11.SA,ARGT,0.30277088859132095
SMAL11.SA,BOVA11.SA,0.908227515886868
SMAL11.SA,ECH,0.30069940482692487
SMAL11.SA,ENZL,0.04378810878133968
SMAL11.SA,EWA,0.12353278784446911
SMAL11.SA,EWG,0.07229984392118281
SMAL11.SA,EWH,-0.14587482647634215
SMAL11.SA,EWJ,-0.18027261887398852
SMAL11.SA,EWT,-0.03886626859502017
SMAL11.SA,EWU,-0.06962749645943743
SMAL11.SA,EWW,0.2289075696090029
SMAL11.SA,EWY,0.15258508933434356
SMAL11.SA,EZA,0.29233455108443046
SMAL11.SA,FEZ,0.040712902863337515
SMAL11.SA,IEMG,0.05620073025764695
SMAL11.SA,INDA,0.05990277490035602
SMAL11.SA,MCHI,-0.20232865275372047
SMAL11.SA,QQQ,-0.08171362754023329
SMAL11.SA,SPY,-0.09691993188799873
SMAL11.SA,VEA,-0.030615480608879145
SMAL11.SA,VT,-0.049414873611329714
SMAL11.SA,XLE,0.1339693613635487
SPY,ACWI,0.9831319610013215
SPY,ARGT,0.37056601069091527
SPY,BOVA11.SA,-0.1477358369675606
SPY,ECH,0.3724479872851192
SPY,ENZL,0.7761404870576901
SPY,EWA,0.8018436468749085
SPY,EWG,0.7962048170087993
SPY,EWH,0.5550563011978126
SPY,EWJ,0.8371405905798838
SPY,EWT,0.724806607856552
SPY,EWU,0.8065664827264777
SPY,EWW,0.5045435331474158
SPY,EWY,0.5591553872125015
SPY,EZA,0.4312386038017551
SPY,FEZ,0.7929445077568149
SPY,IEMG,0.7273877842925859
SPY,INDA,0.6865846047401792
SPY,MCHI,0.4494371619194403
SPY,QQQ,0.9424807126387378
SPY,SMAL11.SA,-0.09691993188799873
SPY,VEA,0.8874627810315241
SPY,VT,0.9798312049037612
SPY,XLE,0.49108717007393343
VEA,ACWI,0.9500694041216637
VEA,ARGT,0.3798858869355963
VEA,BOVA11.SA,-0.048171314716042704
VEA,ECH,0.47858519052071335
VEA,ENZL,0.7995003426819084
VEA,EWA,0.8749947652186577
VEA,EWG,0.9278230841672473
VEA,EWH,0.683590842590482
VEA,EWJ,0.9109967458032394
VEA,EWT,0.7526644558367951
VEA,EWU,0.9376237735203774
VEA,EWW,0.6495326749847864
VEA,EWY,0.7164217163752221
VEA,EZA,0.6031891186947037
VEA,FEZ,0.9349240691500872
VEA,IEMG,0.8381664574272076
VEA,INDA,0.7114784507827344
VEA,MCHI,0.5455543058014487
VEA,QQQ,0.811301806510244
VEA,SMAL11.SA,-0.030615480608879145
VEA,SPY,0.8874627810315241
VEA,VT,0.9536146123609405
VEA,XLE,0.48632447172972
VT,ACWI,0.9985133718769434
VT,ARGT,0.39923378705154894
VT,BOVA11.SA,-0.08670913057571467
VT,ECH,0.4359308841455633
VT,ENZL,0.8185463987475573
VT,EWA,0.8612831934106254
VT,EWG,0.8672819617796991
VT,EWH,0.6393714363725034
VT,EWJ,0.884823945348346
VT,EWT,0.7752959706239397
VT,EWU,0.8736067739068586
VT,EWW,0.5770506530255095
VT,EWY,0.6490511664727119
VT,EZA,0.5309439257134319
VT,FEZ,0.8640216761513698
VT,IEMG,0.822105209676088
VT,INDA,0.7260771362913448
VT,MCHI,0.5351249647789098
VT,QQQ,0.9162737371179498
VT,SMAL11.SA,-0.049414873611329714
VT,SPY,0.9798312049037612
VT,VEA,0.9536146123609405
VT,XLE,0.5087865809910281
XLE,ACWI,0.49217912457949053
XLE,ARGT,0.3098541726952465
XLE,BOVA11.SA,0.16740904522658692
XLE,ECH,0.4040263373380799
XLE,ENZL,0.3322931668803051
XLE,EWA,0.496779223164519
XLE,EWG,0.43753122872961114
XLE,EWH,0.2743596046946291
XLE,EWJ,0.3775128467411239
XLE,EWT,0.27893156831248583
XLE,EWU,0.6033452297106465
XLE,EWW,0.3412545265181933
XLE,EWY,0.31744020992065947
XLE,EZA,0.39358353146642483
XLE,FEZ,0.45326222463164484
XLE,IEMG,0.37478461302344884
XLE,INDA,0.32961395197684146
XLE,MCHI,0.1677246106555916
XLE,QQQ,0.3205608109019273
XLE,SMAL11.SA,0.1339693613635487
XLE,SPY,0.49108717007393343
XLE,VEA,0.48632447172972
XLE,VT,0.5087865809910281
