ticker,retorno_total,cagr,volatilidade,sharpe,sortino,max_drawdown,calmar,skew,kurtosis,pct_meses_positivos,melhor_mes,pior_mes,nome_ativo,classe,subclasse,regiao,pais,tipo_ativo,grupo_universo,rank_cagr,rank_vol,rank_sharpe,rank_sortino,rank_calmar
BTC-USD,441.1529167027492,0.7158558287619119,0.6779388357797108,1.111029494082588,1.5363538784885582,-0.8009863458240699,0.8937178923136647,0.018631764651235637,5.579881003708897,0.5851851851851851,0.7777619642376055,-0.3654658395443061,Bitcoin USD,Crypto,Bitcoin,Global,Global,cripto,alternativos,1.0,45.0,1.0,1.0,1.0
QQQ,11.579099750116656,0.2515940223116162,0.2757162161853137,0.9245645035839246,1.379907775058464,-0.4116511654266136,0.6111825823470641,0.2985410216929081,4.455238595722859,0.6444444444444445,0.19789203289040458,-0.15826953391296517,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,2.0,33.0,2.0,2.0,5.0
^NDX,10.571220391414567,0.24236378824110894,0.2773697427533412,0.8948824694278087,1.335197222183021,-0.4148590134768877,0.5842075991308101,0.29395955079206937,4.398150462427669,0.6444444444444445,0.19592542009766167,-0.15886093447100613,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,3.0,34.0,3.0,3.0,6.0
GC=F,6.654366551662754,0.1976836336126322,0.2260986742283836,0.8846207925520841,1.3145966360454058,-0.2507121216055863,0.7884885355628032,-0.0437937217113161,3.6998471997606077,0.6666666666666666,0.17213138847866793,-0.1254295472837238,Ouro Spot/Front,Commodity,Ouro,Global,Global,commodity,alternativos,7.0,6.0,4.0,4.0,2.0
GLD,6.281579499031434,0.1923953171191446,0.22766766609446068,0.861217249560795,1.3087023893757137,-0.25107401148253616,0.7662892546428564,0.01152543764413568,2.930272795653336,0.6592592592592592,0.18699840328396578,-0.12535146877262648,SPDR Gold Shares,ETF,Ouro,Global,Global,etf,etfs,8.0,9.0,5.0,5.0,3.0
^TWII,6.259468889408863,0.1922265518066648,0.23218774417071925,0.8481049198508355,1.1871475185858857,-0.4594478173758001,0.4183860376235835,-0.027211803624575703,3.6711175183993583,0.6370370370370371,0.18781295140358645,-0.18882410160000107,Taiwan Weighted,Equity Index,Broad Market,Asia,Taiwan,indice,indices,9.0,11.0,6.0,8.0,13.0
SPY,6.714382826378873,0.19851299298911873,0.24193820122258258,0.8442905021718001,1.266021667705154,-0.31572811542033896,0.6287466440067652,0.3968453850098822,5.812835671591008,0.6222222222222222,0.1800144350615478,-0.14274989151016426,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,6.0,20.0,7.0,6.0,4.0
EWT,7.744212976863212,0.21189788227859818,0.26731681162791626,0.8286469156165415,1.2620064371488635,-0.44557730816635166,0.47555806454912264,0.17149645580677872,2.852124306889445,0.6222222222222222,0.2151926448971011,-0.19074277055248479,iShares MSCI Taiwan ETF,ETF,Taiwan,Asia,Taiwan,etf,etfs,5.0,31.0,8.0,7.0,11.0
^GSPC,5.397821532258915,0.17879899107202402,0.2426948751441455,0.7763272486428521,1.1615622769455856,-0.32024252811585574,0.5583236933707287,0.3811214513580997,5.887360994366164,0.6,0.17854887594731217,-0.14302532735929208,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,10.0,21.0,9.0,9.0,7.0
ARGT,9.711122237431251,0.23388792961024363,0.34239072346860705,0.7655906389629571,1.0964615084764089,-0.444021713860714,0.5267488555382055,-0.17766800741976962,9.810664880688382,0.5703703703703704,0.3683991282711585,-0.23767445378358143,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,4.0,41.0,10.0,12.0,9.0
ACWI,4.938779162442342,0.17104575467718552,0.23646122879869302,0.7635807348702307,1.145941725696607,-0.32651570281272246,0.5238515428315897,0.31898625686361975,5.223202194968261,0.6148148148148148,0.17876245334428043,-0.14756561965845993,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,12.0,13.0,11.0,10.0,10.0
VT,4.931113736075754,0.17091170795816923,0.23733018111852275,0.7612037829284134,1.1378272104670653,-0.3243912288270341,0.52686907897038,0.3037929594730398,5.499885266500662,0.6,0.1837183618804179,-0.1511271102799998,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,13.0,15.0,12.0,11.0,8.0
VEA,3.7912203958412354,0.14897054403191157,0.23755334658370234,0.6838305501109542,1.0185251714279682,-0.351809728558801,0.42344066107032863,0.1813286969529368,4.8865718055135705,0.6074074074074074,0.18604153147747926,-0.15828286976222306,Vanguard FTSE Developed Markets ETF,ETF,Developed Markets,Global,Desenvolvidos,etf,etfs,14.0,16.0,13.0,15.0,12.0
^N225,3.6680140327349617,0.14643470510002166,0.23812911056929661,0.6732468399428136,1.0304769189323137,-0.4076872145239736,0.35918395250879454,0.4557295124211947,5.804897973454375,0.6148148148148148,0.17830117823737845,-0.1607376987091369,Nikkei 225,Equity Index,Broad Market,Asia,Japao,indice,indices,15.0,17.0,14.0,14.0,19.0
EWJ,3.604968925461942,0.1449399554218891,0.2402694800611211,0.6644465722181125,1.0434588097256134,-0.35000766739117306,0.41410508661772355,0.32567872753470234,2.8944560289652617,0.6296296296296297,0.20084328258029704,-0.16152312568870497,iShares MSCI Japan ETF,ETF,Japao,Asia,Japao,etf,etfs,17.0,19.0,15.0,13.0,14.0
^GDAXI,3.507143257026252,0.1427630599507781,0.2371822050661166,0.6623173259940895,1.0008169144068886,-0.4220982505142633,0.3382223446243683,0.2831689863969568,4.85185302816739,0.6518518518518519,0.17771592007638382,-0.16057334825111724,DAX,Equity Index,Broad Market,Europa,Alemanha,indice,indices,18.0,14.0,16.0,16.0,21.0
EWY,5.112315638334725,0.1740389854890605,0.30571196723642025,0.6600923626338289,0.997696271672576,-0.5168555404012167,0.3367265548782938,0.1732065744311311,4.591013472724661,0.562962962962963,0.22470796012010608,-0.21400162006919143,iShares MSCI South Korea ETF,ETF,Coreia do Sul,Asia,Coreia do Sul,etf,etfs,11.0,37.0,17.0,17.0,22.0
^BVSP,3.0656805919154024,0.1323699436067831,0.22702043333637403,0.6438668054492218,0.820247452537776,-0.46815808848136,0.28274624931969644,-0.6867964621772964,14.924615418139483,0.6,0.16967331868953583,-0.2990438889528856,Ibovespa,Equity Index,Broad Market,Brasil,Brasil,indice,indices,24.0,8.0,18.0,26.0,28.0
^KS11,3.3181085624988658,0.13843164004924624,0.23910732708864815,0.6437512813797917,0.9162862412758941,-0.5096752837319516,0.2716075204503152,0.11939359702952002,6.121812460905918,0.562962962962963,0.19196919108845445,-0.22008181607375865,Kospi,Equity Index,Broad Market,Asia,Coreia do Sul,indice,indices,19.0,18.0,19.0,19.0,31.0
BOVA11.SA,3.0962759884332174,0.13312263002083036,0.23013941534118665,0.6409694131972256,0.8193635257489746,-0.4693169006552962,0.2836518988234908,-0.6137214901980839,13.383140048883996,0.6,0.1734619660884924,-0.3106361876142466,iShares Ibovespa ETF,ETF,Brasil Broad Market,Brasil,Brasil,etf,etfs,22.0,10.0,20.0,27.0,27.0
FEZ,3.6677868145158845,0.14631571413702704,0.26403425293076954,0.6321012436799543,0.9143655111787251,-0.3993019972653087,0.3664287059396057,0.03338144864082673,5.448325363539826,0.6074074074074074,0.18899761011528304,-0.1544298057486737,SPDR EURO STOXX 50 ETF,ETF,Zona do Euro,Europa,Zona do Euro,etf,etfs,16.0,28.0,21.0,20.0,18.0
^NSEI,2.672852039274231,0.12221752197748659,0.2165782881360743,0.623244411580539,0.881698212290702,-0.31714894484725453,0.38536316756894484,-0.12863653617311804,7.637646808644668,0.6,0.18039790929413413,-0.15221099161743712,Nifty 50,Equity Index,Broad Market,Asia,India,indice,indices,27.0,5.0,22.0,22.0,16.0
^NZ50,2.341312524871758,0.11293380636120665,0.2019764372177996,0.6128348485614112,0.9280513482135672,-0.42011584063811924,0.26881587275945146,0.22376709004839182,5.349368105156817,0.5481481481481482,0.1836326633705827,-0.15009615062135928,NZX 50,Equity Index,Broad Market,Oceania,Nova Zelandia,indice,indices,32.0,2.0,23.0,18.0,32.0
IEMG,3.1289387628471976,0.13392054293014555,0.26136002131843067,0.5953645385244998,0.9066374993011734,-0.40442451114662936,0.33113854190106423,0.21222420109422094,3.904676876864532,0.6222222222222222,0.16426794074470452,-0.1594991215387226,iShares Core MSCI Emerging Markets ETF,ETF,Emerging Markets,Emergentes,Emergentes,etf,etfs,21.0,27.0,24.0,21.0,23.0
EWU,2.865423918361547,0.1273119318924938,0.2489439359785452,0.5900715670942396,0.8358462656590653,-0.31116491218775855,0.40914616946165544,-0.06693386874589134,6.891252825084965,0.5777777777777777,0.18286759962732502,-0.1414587779325166,iShares MSCI United Kingdom ETF,ETF,Reino Unido,Europa,Reino Unido,etf,etfs,25.0,24.0,25.0,24.0,15.0
^STOXX50E,2.5718695512423047,0.1195399869685736,0.23458752305184039,0.5823525848358863,0.8683902625436778,-0.41407348346185013,0.2886926879962532,0.16713546142434704,4.5280092100218745,0.5925925925925926,0.18624951269965284,-0.15525215622960886,Euro Stoxx 50,Equity Index,Broad Market,Europa,Zona do Euro,indice,indices,29.0,12.0,26.0,23.0,26.0
EWA,3.0949320523956825,0.13308967520790072,0.2822206051492579,0.5689911834074037,0.8151645960054587,-0.3569985329326312,0.37280174266995075,0.21604153457476932,9.270990084469236,0.5925925925925926,0.20692602772903546,-0.14239250572911677,iShares MSCI Australia ETF,ETF,Australia,Oceania,Australia,etf,etfs,23.0,35.0,27.0,28.0,17.0
EWG,2.7858357473093127,0.12523514176503348,0.2640947487523545,0.5638726228253034,0.8226842426194202,-0.4593159242593964,0.27265578036939025,0.1481028545234933,5.185677892630785,0.6,0.18294067802132052,-0.15621460643452356,iShares MSCI Germany ETF,ETF,Alemanha,Europa,Alemanha,etf,etfs,26.0,30.0,28.0,25.0,30.0
XLE,3.132930633578219,0.13401766479323585,0.33111796583917374,0.5332308295824988,0.7621718155995899,-0.5875119285890164,0.22811054256395455,-0.06707510308841932,8.254173594089421,0.5777777777777777,0.34342334892100324,-0.24011783281052468,Energy Select Sector SPDR Fund,ETF,Energia,America do Norte,Estados Unidos,etf,etfs,20.0,40.0,29.0,31.0,36.0
INDA,2.5088120665419043,0.1176821206543095,0.27295546112325586,0.5305338659579333,0.7654339072572914,-0.3303139212502961,0.3562735721487669,0.09826754870407238,7.247577256325812,0.6074074074074074,0.16490405474637937,-0.15910777087770955,iShares MSCI India ETF,ETF,India,Asia,India,etf,etfs,30.0,32.0,30.0,30.0,20.0
^AXJO,1.6975287856815826,0.09193585746567856,0.20957833769386797,0.5103915728847488,0.7576425018684025,-0.3654728452841981,0.2515531828204299,0.19294067736133316,6.295763576499985,0.5481481481481482,0.18876985066736895,-0.14737001207921863,ASX 200,Equity Index,Broad Market,Oceania,Australia,indice,indices,37.0,3.0,31.0,32.0,33.0
EWH,2.12807219754388,0.10636154832932743,0.2550661549488094,0.5103106430374986,0.8039168594682493,-0.4706469101176235,0.22599011284860168,0.27490236350724073,2.6548722068200328,0.5777777777777777,0.23808627898186074,-0.17728397775809157,iShares MSCI Hong Kong ETF,ETF,Hong Kong,Asia,Hong Kong,etf,etfs,34.0,25.0,32.0,29.0,37.0
EWW,2.4217283292389995,0.11519529620012037,0.2989556064381463,0.5025709545257061,0.7161837526725172,-0.3888496546560397,0.2962463636543984,-0.2103586346562308,4.3817607661226745,0.5555555555555556,0.19587430905679337,-0.24358904142568094,iShares MSCI Mexico ETF,ETF,Mexico,America Latina,Mexico,etf,etfs,31.0,36.0,33.0,35.0,24.0
^FTSE,1.6335493310007472,0.08961526338491455,0.21478827226493175,0.4937620576775431,0.715397916570092,-0.31902653138948267,0.280902227769602,-0.021428311385773828,4.609877907728723,0.5703703703703704,0.17432146430880358,-0.15020972726112714,FTSE 100,Equity Index,Broad Market,Europa,Reino Unido,indice,indices,40.0,4.0,34.0,36.0,29.0
