data,etfs_com_tudo,etfs_com_ouro_btc,etfs_com_ouro_petroleo,etfs_com_ouro,etfs_com_btc_petroleo,etfs_com_btc,etfs_america_norte,etfs_com_petroleo,etfs_todos,etfs_global,etfs_exterior,etfs_desenvolvidos_emergentes,etfs_asia,etfs_latam,etfs_europa,etfs_oceania,etfs_brasil
2015-02-28,114.64476883781568,115.66880300967308,115.2187448410632,115.11758629306863,116.97756682085252,116.92929629283842,118.13634587279121,116.65377992954964,116.97547335349367,118.36525451821782,118.02696253113876,117.51547361110919,116.50842411808809,120.62229116266442,118.42368599309468,119.68513320090652,107.70873368994202
2015-03-31,124.13726568539592,125.55945914899063,124.75064248925656,124.8391005386077,126.82058805335059,126.94413068686691,129.01349380699864,126.33015856158087,126.9035488241826,129.7647439442361,129.3530706777565,128.8136472448872,129.5610927061206,131.4270222328223,127.03899411118726,129.16465804337918,107.62744728559883
2015-04-30,119.22302296908668,120.08056550688211,119.78018530713672,119.30149869097619,122.46175728253255,122.02731867150285,121.68168279931709,122.17426325742686,122.22020401620728,122.68303651125537,122.2732929290676,124.46137450241197,123.56102806360374,123.91852019666689,121.07416114203767,120.13457607720608,114.74595493715942
2015-05-31,124.71471415956013,125.26179550359208,125.25162030270569,124.74673838569225,127.32680825821325,126.99800332365609,129.47408810029359,127.24005796934657,127.10164258080098,131.30464000716339,128.72959382974733,130.67294054591446,132.05904648019907,130.37330833071573,129.08877339966583,122.50433986413299,110.07118460284502
2015-06-30,120.27221764684184,120.4909408921109,120.2663347195111,119.90666569859336,122.3597528340254,122.14082438283118,124.34145501155862,122.15909996399151,121.96002550648915,126.05761872527536,123.17265888726556,125.10308463952242,126.74243834369918,123.83485905226243,123.21982518203198,114.09570759502006,109.44431980667207
2015-07-31,124.20699648929099,125.70944218323834,124.71883924484273,125.21473814886876,127.71399475696907,128.36537017837847,134.15679552084197,127.54844517549057,128.1233697019638,137.86646275035787,131.1081644172524,131.92820857893707,134.03843391208176,128.33363614911147,135.90113385702685,123.46262973439346,105.16850640488586
2015-08-31,124.71694091720326,125.03952058990133,124.92787501100462,124.69349424760246,125.30187803155182,125.24183361547398,134.30155089507926,124.99341536262567,125.1761728600157,136.15421168424072,129.2903267285865,128.44698081389117,128.94851618189415,130.8139296460864,133.27222224185786,119.00255549272735,96.21397880066971
2015-09-30,134.68056030942864,134.95800362709284,135.03833823036913,135.05008145718423,134.91070852704016,135.17262910820824,146.1466095914664,134.8361830448845,135.16560813525928,148.34619680470928,141.11781354593717,141.12145977579618,143.62852523941896,140.51641128730262,143.9706754829027,131.6802805782093,92.7490757165278
2015-10-31,137.52330816667754,138.5420950760782,137.17629785152343,137.53246324766315,138.9595606510394,139.47920136988063,152.678914585139,138.03528048516395,138.39401050891564,150.66127016832596,144.52361960282053,142.4378564288598,144.97484824583893,145.8015558248221,146.83973632097846,136.86572081779818,96.32455923264094
2015-11-30,133.08410761623267,134.94109757517384,132.72226430865703,133.76298360824845,135.83257852776228,136.88975574001375,153.02348780865665,134.72756670479671,135.4982554033751,149.72044554285955,141.65327153287845,140.1428998223477,142.53607719422084,139.48356189184375,145.0296815766736,136.29011412373723,94.56930275092205
2015-12-31,132.99119810206236,135.33850391166288,132.59824630646312,134.01471756807996,135.24217335392953,136.84497696555474,150.4948003922133,133.9100539984071,135.23153841064507,150.91566530490297,141.94832674261306,140.31236225913636,144.86044112552239,138.16478906122666,143.20851666152518,146.64370628762,90.6565926818952
2016-01-31,131.35160985458697,133.37854592954807,131.09497634615462,132.3856971637187,131.13978778278178,132.57106860373239,146.88269350467755,129.73409173213847,131.35899472601469,146.50611708354413,138.73466328822687,136.4842426573213,139.11612987481448,139.68767217058343,138.98884437639722,140.63854662373774,83.3240266734984
2016-02-29,131.0387374964058,132.35638036801524,129.57005170172226,131.05316693025966,127.88135628862389,129.5436089643188,141.21895127310555,126.04087154663772,127.64760050892201,139.76348225376088,133.09111306891137,130.35784779008281,132.17508261380317,138.97470390975326,130.66720549653974,137.7739407271892,87.86989955497032
2016-03-31,129.71554739336034,132.06523641464844,129.11934013405525,130.7293790080221,129.34584931458028,131.07588931773583,138.1688104333295,127.75579595830966,129.41494196997522,136.19283405826326,132.46526673770688,129.90752833280666,130.53493151301942,138.36165724420232,126.63593488939728,140.98834894422018,100.5880594522355
2016-04-30,130.44362884428062,131.95579154096967,129.32583789695494,130.3750592802184,129.1796311573485,130.27595392114966,136.60282685427282,127.37709083633328,128.57320739744156,134.0893557193309,130.53341351071614,127.57936940765669,125.19191261670134,137.49643674743425,126.55914127129793,139.72281101861887,106.94523468690338
2016-05-31,129.98802605670147,131.34042289238727,128.48729175405853,129.42226167315803,129.4240303252657,130.42164374807126,142.29518216536698,127.37497006798093,128.18323945726712,137.59542329584806,131.8524401782384,128.36690542964703,129.77719513594351,132.11847565104617,128.400427172207,141.77621427314088,98.94558387025438
2016-06-30,123.9477044798443,124.88894562586943,121.57518820416465,122.54088857889012,121.94735252545357,122.94242785248859,129.61880594882345,119.44475637550589,120.23027972002573,123.50395753446736,121.27002233585615,117.82891350565268,119.20935718119341,125.25847211671406,112.36888828035933,132.0456858559783,106.65930659923663
2016-07-31,130.4832532139897,132.70822161372985,128.50188961806685,130.19726528553687,129.38499963022448,131.0621372299032,135.40825823164388,126.71553066136842,128.32415318283728,130.27514909851666,128.61415387668134,124.96414407627807,127.81912919474847,128.23495014763205,117.57120139356003,144.2355214263127,120.59660902068825
2016-08-31,128.18058029411225,130.1883213580315,126.19385144845168,127.93641269088893,127.66653281334189,129.36705825407722,134.72698464467413,125.37486929572002,126.48983715640298,128.96856848376498,126.73171619736463,124.11453087605908,127.91209801857835,125.3184769430976,117.42068103527856,140.43089113210664,120.86734494103601
2016-09-30,131.32783765030416,133.23552875153138,129.0620430391052,130.66175381356788,130.93375970971584,132.45342995892736,138.12350246405467,128.36541759532392,129.4487617281003,131.4918731571187,129.86042828826376,127.68925352135855,132.4582104990159,125.51452512323942,118.62947126239159,143.83013745509865,121.63518941268158
