carteira,tipo,coluna_retorno,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,n_ativos_com_peso,peso_max,top3_peso,hhi,n_efetivo_ativos,classificacao_concentracao,pct_ativos_no_limite_min,pct_ativos_no_limite_max,ajuste_limites
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,0.23519578900906635,0.14612391276876563,1.61092455143628,3.113671354190177,-0.24313894461361896,0.9673307967295187,0.6444444444444445,27,0.09999999999999985,0.29999999999999954,0.06087096810747083,16.42819280012844,baixa,0.7037037037037037,0.14814814814814814,nenhum
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,0.23959750724855766,0.14997828131657842,1.5980583783100364,3.36654899761149,-0.2597308003943114,0.9224839983737458,0.6518518518518519,26,0.09999999999999996,0.2999999999999999,0.06440433727125877,15.526904590108442,baixa,0.7307692307692307,0.15384615384615385,nenhum
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,0.2358477946357067,0.15623928699082162,1.5262382496875992,2.785142817099583,-0.25674292493333184,0.9186145818699738,0.6518518518518519,26,0.09999999999999985,0.29999999999999954,0.0626884804159881,15.951894085870354,baixa,0.6923076923076923,0.15384615384615385,nenhum
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,0.2395626637538919,0.15964296683017895,1.5166330556376353,3.048625134181371,-0.27577756473471027,0.8686807572049742,0.6444444444444445,25,0.09999999999999992,0.29999999999999966,0.06657778321164559,15.020025476382681,baixa,0.72,0.16,nenhum
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,0.1695137962119282,0.12701570200814155,1.3932115004852625,2.529322561887642,-0.181225860675732,0.9353731061332343,0.6518518518518519,26,0.09999999999999941,0.2999999999999982,0.06242365951832711,16.019567063453042,baixa,0.6923076923076923,0.11538461538461539,nenhum
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,0.1723984703382042,0.129895757095743,1.3849686056757986,2.709573243542787,-0.1976152551500181,0.87239454366683,0.6518518518518519,25,0.09999999999999919,0.29999999999999755,0.06628190101152026,15.0870748234302,baixa,0.72,0.12,nenhum
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,0.15791238078785352,0.12062574848884905,1.372641246006629,2.157113468857338,-0.17787690150370206,0.8877621515380791,0.674074074074074,27,0.09999999999999998,0.29999999999999993,0.06386065234670041,15.659094657708561,baixa,0.7037037037037037,0.18518518518518517,nenhum
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,0.1578328436475378,0.12370670552203994,1.3426605321586647,2.428549738209003,-0.21127466812493234,0.7470504866878174,0.674074074074074,26,0.09999999999999998,0.2999999999999999,0.06752865923359201,14.808527391915872,baixa,0.6923076923076923,0.19230769230769232,nenhum
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,0.168307437106608,0.13696583782783875,1.3005073523700665,2.2373985829504837,-0.1972890109545622,0.8531009218013214,0.6296296296296297,25,0.09999999999999994,0.2999999999999998,0.06868081622953247,14.560106517342234,baixa,0.68,0.24,nenhum
etfs_todos,max_sharpe,etfs_todos__max_sharpe,0.16989475396906273,0.13908550825299718,1.2931471206771605,2.4313030695955034,-0.21435586489049396,0.7925827177896687,0.6370370370370371,24,0.0999999999999999,0.2999999999999997,0.07039999999999977,14.204545454545501,baixa,0.7083333333333334,0.25,nenhum
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,0.1425294210636685,0.11945045436217608,1.2711270175917593,1.9811634193565624,-0.16461181603868047,0.865851701861894,0.6296296296296297,26,0.1,0.30000000000000004,0.06427658895281341,15.557763974284912,baixa,0.6923076923076923,0.15384615384615385,nenhum
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,0.14298677988620367,0.12243215774824096,1.2479329653705498,2.239436447052336,-0.19906741801984618,0.7182831892256145,0.6666666666666666,25,0.1,0.30000000000000004,0.06857252903218777,14.583099298125676,baixa,0.64,0.24,nenhum
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,0.14898519625498952,0.1295685498172158,1.2346903070027269,1.8671987827890815,-0.19516602155623852,0.7633767141790013,0.6666666666666666,26,0.09999999999999996,0.2999999999999999,0.06396797093306168,15.632823511729564,baixa,0.6538461538461539,0.19230769230769232,nenhum
etfs_com_btc,min_vol,etfs_com_btc__min_vol,0.1498812663124598,0.1320310515068647,1.2208256950288974,2.0501500945081634,-0.2314047352407953,0.647701811963771,0.6518518518518519,25,0.1,0.30000000000000004,0.06533850094113233,15.30491189109105,baixa,0.6,0.2,nenhum
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,0.17269234569639647,0.160462623759813,1.165083864277891,2.109415294951481,-0.237615450208291,0.7267723775748434,0.6296296296296297,22,0.09999999999999996,0.2999999999999999,0.07258656756315918,13.776653636774848,baixa,0.5909090909090909,0.2727272727272727,nenhum
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,0.13536120733514978,0.12846350828020914,1.149530065910931,1.7363263244441256,-0.18290539969672104,0.7400612970398621,0.6592592592592592,25,0.09999999999999992,0.29999999999999977,0.06465751564365861,15.466106144739827,baixa,0.6,0.2,nenhum
etfs_todos,min_vol,etfs_todos__min_vol,0.1365702041310417,0.1308153638038055,1.1403135730104401,1.9313514211523575,-0.21793280771527024,0.626661976977193,0.6518518518518519,24,0.1,0.30000000000000004,0.06665983244832403,15.001537856777828,baixa,0.5833333333333334,0.20833333333333334,nenhum
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,0.19356318668515105,0.18754475671437493,1.1143045877198088,2.13241371707569,-0.22732824934483375,0.8514700097458431,0.6148148148148148,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_america_norte,min_vol,etfs_america_norte__min_vol,0.19356318668515105,0.18754475671437493,1.1143045877198088,2.13241371707569,-0.22732824934483375,0.8514700097458431,0.6148148148148148,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_global,max_sharpe,etfs_global__max_sharpe,0.15098322294641364,0.16348591666953435,1.0313078515487781,1.7457221692790617,-0.29009286930113,0.5204651300466334,0.5925925925925926,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_global,min_vol,etfs_global__min_vol,0.15098322294641364,0.16348591666953435,1.0313078515487781,1.7457221692790617,-0.29009286930113,0.5204651300466334,0.5925925925925926,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_exterior,min_vol,etfs_exterior__min_vol,0.1351697594865564,0.1503173906674449,1.0149620264404215,1.6211258198246572,-0.22527709227691062,0.6000155547125303,0.6518518518518519,22,0.09999999999999998,0.29999999999999993,0.07205886200141869,13.877543611225946,baixa,0.5454545454545454,0.2727272727272727,nenhum
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,0.12880053275133352,0.15523117739634315,0.9485388146661474,1.4792538809166107,-0.314045689380536,0.4101331019871542,0.6444444444444445,2,0.5,1.0,0.5,2.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_desenvolvidos_emergentes,min_vol,etfs_desenvolvidos_emergentes__min_vol,0.12880053275133352,0.15523117739634315,0.9485388146661474,1.4792538809166107,-0.314045689380536,0.4101331019871542,0.6444444444444445,2,0.5,1.0,0.5,2.0,alta,0.0,1.0,ajuste_max_para_viabilidade
