ticker_yahoo,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,VEA,VT,XLE
ACWI,1.0,0.39205654342462604,-0.10877469687505573,0.42722680445311245,0.8149495894552217,0.8496621677597872,0.8623470332021002,0.6345309493923221,0.8865619026460618,0.775513169782235,0.8689556383638548,0.5638895265104321,0.6455305547494156,0.5197781387792682,0.8618413139329683,0.8171762658889073,0.718175124274381,0.5352838558088949,0.9244066869918987,-0.07261379220589406,0.9831319610013215,0.9500694041216637,0.9985133718769434,0.49217912457949053
ARGT,0.39205654342462604,1.0,0.29544326231067475,0.4059253652194545,0.43085968174618416,0.39661372098115955,0.3943697483205512,0.17942687214775807,0.29545551081267113,0.24934176806420613,0.3561517733147153,0.3249641726322246,0.290192424385301,0.2970814473846662,0.38191006226662705,0.3283244973680373,0.26872179784193595,0.11380021728827007,0.3400009236308803,0.30277088859132095,0.37056601069091527,0.3798858869355963,0.39923378705154894,0.3098541726952465
BOVA11.SA,-0.10877469687505573,0.29544326231067475,1.0,0.3518704072720458,-0.00960790865301484,0.10743624248620595,0.05114807319273872,-0.13566822992244038,-0.20001476855912564,-0.06449304835130998,-0.06379141982123383,0.22536392641986813,0.1423654663387036,0.34570771995961136,0.03152169563505902,0.06128731434500943,-0.028984758640137213,-0.16313287121557665,-0.15424255191560204,0.908227515886868,-0.1477358369675606,-0.048171314716042704,-0.08670913057571467,0.16740904522658692
ECH,0.42722680445311245,0.4059253652194545,0.3518704072720458,1.0,0.365512012172687,0.44175150894860293,0.46806020403095566,0.38047007437797314,0.3852363313918194,0.44703286137518455,0.4620299662758328,0.3929274528423253,0.47978817901312093,0.5365061755552273,0.4639121929939405,0.5347928979357669,0.38149377475215246,0.30837845146543835,0.3345509154252398,0.30069940482692487,0.3724479872851192,0.47858519052071335,0.4359308841455633,0.4040263373380799
ENZL,0.8149495894552217,0.43085968174618416,-0.00960790865301484,0.365512012172687,1.0,0.8294380302304313,0.6912380691835301,0.6197654078450976,0.7188779379058388,0.6793287062639546,0.710340826194798,0.4751892265434284,0.5968741754609321,0.49329774138749205,0.6745839303148916,0.7529263274290197,0.6382214592244618,0.5181921668094589,0.736644073875669,0.04378810878133968,0.7761404870576901,0.7995003426819084,0.8185463987475573,0.3322931668803051
EWA,0.8496621677597872,0.39661372098115955,0.10743624248620595,0.44175150894860293,0.8294380302304313,1.0,0.781288426149948,0.6048824692636816,0.7426850808502332,0.6817642391418265,0.8033544656687488,0.6101919594462348,0.6358469433805727,0.6112898544544055,0.7769419067284813,0.7543851960660858,0.6788489844681755,0.4396929454143213,0.7227135990993525,0.12353278784446911,0.8018436468749085,0.8749947652186577,0.8612831934106254,0.496779223164519
EWG,0.8623470332021002,0.3943697483205512,0.05114807319273872,0.46806020403095566,0.6912380691835301,0.781288426149948,1.0,0.6014743197651262,0.7913883972223859,0.6626701362104087,0.8571787094122583,0.6404889632583282,0.6367666158802917,0.5884224767821981,0.9655977454422062,0.7581058927004007,0.6330383932808664,0.49563854984425537,0.7371359154359306,0.07229984392118281,0.7962048170087993,0.9278230841672473,0.8672819617796991,0.43753122872961114
EWH,0.6345309493923221,0.17942687214775807,-0.13566822992244038,0.38047007437797314,0.6197654078450976,0.6048824692636816,0.6014743197651262,1.0,0.603769568450342,0.6298077362529083,0.6591037075722939,0.3055589522989278,0.5133170072531509,0.5108646020568435,0.60008397076536,0.7783612495513618,0.49208847075499523,0.8275418732017702,0.5145092892386725,-0.14587482647634215,0.5550563011978126,0.683590842590482,0.6393714363725034,0.2743596046946291
EWJ,0.8865619026460618,0.29545551081267113,-0.20001476855912564,0.3852363313918194,0.7188779379058388,0.7426850808502332,0.7913883972223859,0.603769568450342,1.0,0.7181411665811469,0.8021195593323479,0.5018349150792188,0.6489930210145335,0.44938814431286217,0.7895246263927663,0.7659204827517435,0.6642060115651337,0.5258119384084436,0.7944136781334101,-0.18027261887398852,0.8371405905798838,0.9109967458032394,0.884823945348346,0.3775128467411239
EWT,0.775513169782235,0.24934176806420613,-0.06449304835130998,0.44703286137518455,0.6793287062639546,0.6817642391418265,0.6626701362104087,0.6298077362529083,0.7181411665811469,1.0,0.6455999941330743,0.45773753760740854,0.7536142196530577,0.5146269575268073,0.65414339880455,0.862763797769226,0.5820665556143679,0.5952638809900376,0.7403226234838031,-0.03886626859502017,0.724806607856552,0.7526644558367951,0.7752959706239397,0.27893156831248583
