PC1,PC2,PC3,ticker,nome_ativo,classe,regiao,tipo_ativo
-4.699310041090282,16.758484444944887,-13.417329468709013,000001.SS,Shanghai Composite,Equity Index,Asia,indice
-0.17649283548304673,-4.488529907704007,13.349104608486472,ACWI,iShares MSCI ACWI ETF,ETF,Global,etf
1.2853917704754716,-15.81128418769583,15.644102567916386,ARGT,Global X MSCI Argentina ETF,ETF,America Latina,etf
-9.614229966599279,9.824721389558066,-17.89358340312515,BOVA11.SA,iShares Ibovespa ETF,ETF,Brasil,etf
-1.0662920123630337,10.105650954490578,-9.819982293957816,BRL=X,USDBRL,FX,Brasil,cambio
147.05183602688103,3.001450349843394,-15.258397216083317,BTC-USD,Bitcoin USD,Crypto,Global,cripto
-8.432205159380507,-65.86124613519613,-48.644472009650556,BZ=F,Brent Crude Oil,Commodity,Global,commodity
-2.878190738593641,-6.747210436902011,12.081400348313514,ECH,iShares MSCI Chile ETF,ETF,America Latina,etf
0.6640599060592977,-3.0156215324892575,9.58391939313328,ENZL,iShares MSCI New Zealand ETF,ETF,Oceania,etf
-0.9029106216564973,-9.146677038454165,14.619441016542138,EWA,iShares MSCI Australia ETF,ETF,Oceania,etf
0.01091412178895619,-3.0984306182143233,17.554763712825174,EWG,iShares MSCI Germany ETF,ETF,Europa,etf
-2.750656820859642,0.5185962462823893,10.940986791310674,EWH,iShares MSCI Hong Kong ETF,ETF,Asia,etf
-1.6746605977384226,-0.06201011813725771,11.458139661051955,EWJ,iShares MSCI Japan ETF,ETF,Asia,etf
-1.6839289899157792,-1.7180049407190117,17.298283417064276,EWT,iShares MSCI Taiwan ETF,ETF,Asia,etf
-1.7851941841666192,-6.974531278329096,9.737455906344355,EWU,iShares MSCI United Kingdom ETF,ETF,Europa,etf
-4.851678510959798,-8.595364218136783,14.719006786427352,EWW,iShares MSCI Mexico ETF,ETF,America Latina,etf
-0.8676681950972874,-4.087128406185307,21.566915642033578,EWY,iShares MSCI South Korea ETF,ETF,Asia,etf
-3.1000647189031625,-15.310597635102477,32.29407047956341,EZA,iShares MSCI South Africa ETF,ETF,Africa,etf
0.2370874837558002,-5.217193427905676,17.693477340407995,FEZ,SPDR EURO STOXX 50 ETF,ETF,Europa,etf
0.24536296689666431,5.7378150628220554,-5.650296713362761,GC=F,Ouro Spot/Front,Commodity,Global,commodity
0.4620085126205217,4.007583485522599,-3.611495576899543,GLD,SPDR Gold Shares,ETF,Global,etf
-2.2454448653851995,-5.382274514039695,17.41640346267143,IEMG,iShares Core MSCI Emerging Markets ETF,ETF,Emergentes,etf
-2.4161775397506164,-1.0826702687318477,12.290090124440292,INDA,iShares MSCI India ETF,ETF,Asia,etf
-2.3105512355120137,-4.183222925017688,22.542026687406327,MCHI,iShares MSCI China ETF,ETF,Asia,etf
2.661077001066846,-4.356226628463595,21.119366339754905,QQQ,Invesco QQQ Trust,ETF,America do Norte,etf
-8.889857238245002,14.477551991233382,-16.850865447200334,SMAL11.SA,iShares Small Caps ETF,ETF,Brasil,etf
0.42463422857185923,-4.544670704872752,12.97621198706738,SPY,SPDR S&P 500 ETF,ETF,America do Norte,etf
-8.57807310983607,-67.53238066665708,-45.848939640837656,USO,United States Oil Fund,ETF,Global,etf
-0.9409946890513234,-4.170122024351187,13.138536609561367,VEA,Vanguard FTSE Developed Markets ETF,ETF,Global,etf
-0.14796897553085175,-4.6999947393192185,13.40945418050741,VT,Vanguard Total World Stock ETF,ETF,Global,etf
-5.297440640380122,-34.78557973760792,-10.08996499523739,XLE,Energy Select Sector SPDR Fund,ETF,America do Norte,etf
-8.154513010958645,26.067544622079797,-24.2041207562893,^AXJO,ASX 200,Equity Index,Oceania,indice
-9.725839161684059,9.846686864183225,-17.96715273454183,^BVSP,Ibovespa,Equity Index,Brasil,indice
-5.8581461579398635,10.36642070618532,-10.017038888561473,^FTSE,FTSE 100,Equity Index,Europa,indice
-3.9749312463999127,14.565002919716338,-3.839851604254425,^GDAXI,DAX,Equity Index,Europa,indice
0.3774446531260383,-4.563882191971748,13.049008655397298,^GSPC,S&P 500,Equity Index,America do Norte,indice
-6.948023001978092,22.874968185886484,-12.784566459864436,^HSI,Hang Seng,Equity Index,Asia,indice
-9.090086329074259,27.21988621418538,-22.54046277289614,^KS11,Kospi,Equity Index,Asia,indice
-7.352230570505129,14.009863533605559,-10.450036281745563,^MXX,Mexico IPC,Equity Index,America Latina,indice
-7.717058842350938,23.42133353834309,-19.398560834246567,^N225,Nikkei 225,Equity Index,Asia,indice
2.733829805280744,-4.655837478717041,21.489881224825773,^NDX,Nasdaq 100,Equity Index,America do Norte,indice
-4.655721704615841,18.696575736797094,-13.945159834281524,^NSEI,Nifty 50,Equity Index,Asia,indice
-5.4081198752750925,21.108887439417128,-19.717189120390778,^NZ50,NZX 50,Equity Index,Oceania,indice
-4.0851671552348305,13.174866491978698,-4.520090836334654,^STOXX50E,Euro Stoxx 50,Equity Index,Europa,indice
-7.873817734008419,24.306801583845612,-19.502490054582523,^TWII,Taiwan Weighted,Equity Index,Asia,indice
