carteira,metodo,tipo,estrategia,cenario_alternativos,detalhe_alternativos,grupo_familia,retorno_total,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,peso_max,top3_peso,hhi,n_efetivo_ativos,n_clusters_finais,rank_sharpe,rank_cagr,rank_mdd,rank_calmar,rank_vol,score_final,retorno_total_equal_weight,cagr_equal_weight,vol_anual_equal_weight,sharpe_equal_weight,sortino_equal_weight,max_drawdown_equal_weight,calmar_equal_weight,pct_meses_positivos_equal_weight,delta_retorno_total_vs_equal,delta_cagr_vs_equal,delta_vol_vs_equal,delta_sharpe_vs_equal,delta_sortino_vs_equal,delta_mdd_vs_equal,delta_calmar_vs_equal,delta_pct_meses_positivos_vs_equal
etfs_com_tudo,markowitz_puro,max_sharpe,etfs_com_tudo__max_sharpe,com_alternativos,ouro+btc+petroleo,alternativos,9.568789111436004,0.235104636777127,0.11170690811127414,2.0327777329974936,4.382137647458068,-0.14254507216276402,1.649335422193161,0.7111111111111111,0.39862332747233886,0.8655149780748328,0.28679699342676074,3.4867869012558868,,1.0,7.0,7.0,4.0,7.0,26.0,4.90211612211021,0.17230096501373748,0.14400374673359692,1.2712133691977752,2.198507474869181,-0.23695810809595463,0.7271368192388055,0.6296296296296297,4.666672989325794,0.06280367176338952,-0.032296838622322785,0.7615643637997185,2.1836301725888867,0.09441303593319061,0.9221986029543556,0.08148148148148149
etfs_com_ouro_petroleo,markowitz_puro,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,com_alternativos,ouro+petroleo,alternativos,6.195527017347429,0.19330614034398885,0.10282801228471392,1.858520361407419,3.937692591276147,-0.11691425559673196,1.6534009420609288,0.6888888888888889,0.38559278923175805,0.9138188089199705,0.2950432100187186,3.3893340569896746,,3.0,16.0,3.0,3.0,5.0,30.0,3.56892863754803,0.14573036241569093,0.1404869640000258,1.133638078394074,1.87204337742319,-0.2135409461844412,0.6824469265478462,0.6444444444444445,2.6265983797993986,0.047575777928297924,-0.03765895171531189,0.724882283013345,2.065649213852957,0.09662669058770923,0.9709540155130826,0.0444444444444444
etfs_com_ouro_btc,markowitz_puro,max_sharpe,etfs_com_ouro_btc__max_sharpe,com_alternativos,ouro+btc,alternativos,10.206833835264389,0.2416052669265747,0.11755040002418989,1.984236467153564,4.647093718569822,-0.16452780488399998,1.4684768151919247,0.7037037037037037,0.3961248461656212,0.8894860544201104,0.2942434994805478,3.398545768268057,,2.0,3.0,10.0,5.0,10.0,30.0,5.049949535246261,0.17490075663196114,0.14649526931224183,1.2675005888836015,2.3005603993069603,-0.24993709301336786,0.6997791105084454,0.6370370370370371,5.1568843000181275,0.06670451029461355,-0.02894486928805194,0.7167358782699624,2.346533319262862,0.08540928812936788,0.7686977046834793,0.06666666666666665
etfs_com_ouro,markowitz_puro,max_sharpe,etfs_com_ouro__max_sharpe,com_alternativos,ouro,alternativos,6.473892165704683,0.19736917665977938,0.10730269435342114,1.8189297725618818,3.98607625773769,-0.13516327433382813,1.4602278439357295,0.6814814814814815,0.38302260127613624,0.9328329282046484,0.30265903430654545,3.304048076051016,,4.0,13.0,6.0,6.0,6.0,35.0,3.641418935704052,0.14734646113620675,0.14268914886529752,1.1284166890742209,1.975204076419303,-0.22647846324657206,0.6505981143813548,0.6592592592592592,2.8324732300006312,0.050022715523572625,-0.03538645451187637,0.6905130834876609,2.010872181318387,0.09131518891274393,0.8096297295543746,0.022222222222222254
etfs_com_ouro_petroleo,markowitz_puro,min_vol,etfs_com_ouro_petroleo__min_vol,com_alternativos,ouro+petroleo,alternativos,4.487161146408211,0.16468972233245038,0.09742763580144202,1.6999753007950935,2.83820558760979,-0.08920011677476403,1.846294918517903,0.6592592592592592,0.363511507131852,0.7903225528373413,0.26178342649980396,3.819951527759336,,7.0,32.0,1.0,2.0,2.0,44.0,3.56892863754803,0.14573036241569093,0.1404869640000258,1.133638078394074,1.87204337742319,-0.2135409461844412,0.6824469265478462,0.6444444444444445,0.9182325088601813,0.018959359916759455,-0.04305932819858378,0.5663372224010195,0.9661622101866001,0.12434082940967717,1.1638479919700568,0.014814814814814725
etfs_com_ouro,markowitz_puro,min_vol,etfs_com_ouro__min_vol,com_alternativos,ouro,alternativos,4.392656078055301,0.16287911898500895,0.10070497473268984,1.6364326735781236,3.0609485311335045,-0.1231700081264,1.3223926949640088,0.674074074074074,0.34435649031037135,0.8050314295393959,0.2602179770776466,3.8429320342522275,,9.0,34.0,5.0,7.0,3.0,58.0,3.641418935704052,0.14734646113620675,0.14268914886529752,1.1284166890742209,1.975204076419303,-0.22647846324657206,0.6505981143813548,0.6592592592592592,0.7512371423512487,0.0155326578488022,-0.041984174132607674,0.5080159845039027,1.0857444547142014,0.10330845512017206,0.671794580582654,0.014814814814814836
etfs_com_btc_petroleo,markowitz_puro,max_sharpe,etfs_com_btc_petroleo__max_sharpe,com_alternativos,btc+petroleo,alternativos,13.614893002468515,0.27148153436347733,0.15587353278341334,1.7107718050175926,2.9547719093345153,-0.2513574471439194,1.0800616311480737,0.6888888888888889,0.3405481012472741,0.8312320440227381,0.254653882256873,3.9268987032025127,,6.0,2.0,54.0,9.0,53.0,124.0,4.823195293262233,0.1708886950614683,0.14744254015059513,1.2391657132072087,2.1273013121291506,-0.24199087554295484,0.7061782584903064,0.6296296296296297,8.791697709206282,0.10059283930200902,0.008430992632818213,0.47160609181038393,0.8274705972053646,-0.009366571600964546,0.3738833726577674,0.059259259259259234
etfs_com_btc,markowitz_puro,max_sharpe,etfs_com_btc__max_sharpe,com_alternativos,btc,alternativos,14.280969445044404,0.2765662691529749,0.15984151802265675,1.6980068208197094,3.1646073573921223,-0.27249092060336055,1.0149559058356532,0.6962962962962963,0.3546885390421981,0.8583288041731879,0.2705293626060396,3.6964564229438466,,8.0,1.0,65.0,10.0,58.0,142.0,4.971288949357667,0.1735247281714407,0.14997654813172753,1.2361232443869912,2.2430019899690903,-0.25562944584936254,0.6788135365035195,0.6370370370370371,9.309680495686738,0.10304154098153417,0.00986496989092922,0.46188357643271827,0.921605367423032,-0.016861474753998018,0.3361423693321337,0.059259259259259234
etfs_com_tudo,markowitz_puro,min_vol,etfs_com_tudo__min_vol,com_alternativos,ouro+btc+petroleo,alternativos,4.552187780038707,0.16591913769188782,0.09741899373411086,1.7111688717490054,2.852687404823968,-0.08983258579803632,1.846981651679392,0.6592592592592592,0.36378929867822635,0.7914068316543407,0.2616552849602276,3.8218222886344644,,5.0,31.0,2.0,1.0,1.0,40.0,4.90211612211021,0.17230096501373748,0.14400374673359692,1.2712133691977752,2.198507474869181,-0.23695810809595463,0.7271368192388055,0.6296296296296297,-0.3499283420715029,-0.006381827321849665,-0.046584752999486057,0.4399555025512303,0.654179929954787,0.1471255222979183,1.1198448324405865,0.02962962962962956
etfs_com_petroleo,markowitz_puro,max_sharpe,etfs_com_petroleo__max_sharpe,com_alternativos,petroleo,alternativos,7.04100009777267,0.20523724305411117,0.13800020791047038,1.5170711337286424,2.5760064138812093,-0.21526479181330727,0.9534176087286365,0.6814814814814815,0.42732605008312746,0.9090201957263113,0.32259590153618506,3.0998533931709966,,14.0,12.0,32.0,12.0,28.0,98.0,3.4593246016839565,0.14324195756079927,0.14384598314781444,1.0978438985491046,1.7950392968292375,-0.21794987402888366,0.657224319119433,0.6444444444444445,3.581675496088714,0.0619952854933119,-0.005845775237344059,0.41922723517953786,0.7809671170519719,0.0026850822155763954,0.29619328960920344,0.03703703703703698
