familia_estrategia,cenario_alternativos,qtd_estrategias,retorno_total_medio,cagr_medio,vol_anual_media,sharpe_medio,sortino_medio,max_drawdown_medio,calmar_medio,score_medio
equal_weight,com_alternativos,7,4.348308089470849,0.16119093653789737,0.1449902572427106,1.1966191153074472,2.0736900533985003,-0.23464070085956035,0.686262223790834,208.14285714285714
equal_weight,sem_alternativos,10,3.3615964567502084,0.13839916430551158,0.17556784779780069,0.9197372762026349,1.5264630454285335,-0.29870013860823297,0.490576858007236,353.0
hrp,com_alternativos,7,3.766695532853994,0.1498384867853376,0.13455070342624478,1.2041007513605955,2.0412509305467985,-0.19322064603086955,0.7789708969734657,170.14285714285714
hrp,sem_alternativos,10,3.1493200150009093,0.13337153866005794,0.17291398113410833,0.9050622133842443,1.4788048614881562,-0.29157890233028366,0.48255118725445767,358.6
markowitz_puro__max_sharpe,com_alternativos,7,9.654034317908769,0.23179056202752404,0.12765528315671934,1.8036695588231477,3.6801671568432406,-0.18587422726886027,1.3230731461942402,69.14285714285714
markowitz_puro__max_sharpe,sem_alternativos,10,5.086881376068041,0.16823027001407356,0.1809948948514562,1.0424219216909687,1.8005634846070915,-0.2889274265519412,0.6061979175030051,306.9
markowitz_puro__min_vol,com_alternativos,7,3.9802170655100966,0.154041512285469,0.10681055452999715,1.5049139592275806,2.5454760228088347,-0.1327379736898228,1.2648167319624197,87.42857142857143
markowitz_puro__min_vol,sem_alternativos,10,3.083225104582253,0.13231910104389946,0.16633887060957847,0.9332213982609023,1.5238054262755492,-0.27221055575635267,0.5154368243814507,338.2
markowitz_restrito__max_sharpe,com_alternativos,7,7.651404835580415,0.20863192261485186,0.14369453497686685,1.4757916705146685,2.827183241637648,-0.23021719449375497,0.9054255293970854,129.28571428571428
markowitz_restrito__max_sharpe,sem_alternativos,10,3.6196959936996356,0.14345508170283056,0.17536994492321564,0.9511022306809117,1.615442320725208,-0.29544839021626995,0.522354136259378,336.0
markowitz_restrito__min_vol,com_alternativos,7,3.678933818855825,0.1479270136125518,0.12518259653222794,1.2627725470100226,2.0657054678880873,-0.19461528002584513,0.7671553360708627,159.14285714285714
markowitz_restrito__min_vol,sem_alternativos,10,3.280260184472663,0.13637036809804443,0.17352840716905965,0.9208066921304928,1.5166182083682112,-0.2945722487056095,0.4930863798918992,350.0
