data,equal_weight,markowitz_puro__min_vol,markowitz_puro__max_sharpe,markowitz_restrito__min_vol,markowitz_restrito__max_sharpe,hrp
2015-02-28,100.0,100.0,100.0,100.0,100.0,100.0
2015-03-31,108.95374855163209,106.15624424219416,105.702107584692,107.75812196140144,108.07977676717242,108.48731378131448
2015-04-30,104.48352730648686,107.51714655206774,105.48432219575932,105.489917178342,104.92242429964367,104.48361567801851
2015-05-31,109.04492543055417,110.33542589420632,108.72611573476212,109.61081689827891,108.91983839977605,108.6566601844017
2015-06-30,104.60657345165778,107.71073669191522,105.81789873814654,105.67350533174908,104.94215693685338,104.26119425730592
2015-07-31,110.13161258050333,111.91590443027575,110.48725821663643,110.55179898959705,109.32587213331215,109.53011432984911
2015-08-31,107.76221363846479,106.85868770138498,106.53353613354426,106.67560552550157,106.58940451052491,107.01061450868418
2015-09-30,116.68868464939177,111.25859205129262,111.83457257675032,113.9884556831457,113.41730675287845,115.55038356356636
2015-10-31,120.09027682146333,113.56665865840203,116.80530963270321,116.93336687629628,118.27481608922818,118.31028038732212
2015-11-30,117.96639998381606,112.47553838220534,115.55803287672902,115.0023813277536,116.16241977370024,115.834757081005
2015-12-31,117.88035581181818,111.67678864539067,114.79280547264436,114.42497467040964,115.58023820520353,115.60674604152493
2016-01-31,114.3148843108642,106.37884311454022,109.49620713986097,109.87403778489298,111.34113524161258,112.29618565342734
2016-02-29,110.98287254337808,105.04969441838969,110.36956885198958,107.51557400009737,110.5903138299676,109.12338873224965
2016-03-31,111.70406792668386,109.36706950586776,114.88781916195363,109.41342686915063,112.18244563668537,110.63425371136574
2016-04-30,110.52479332150291,110.70774399105872,113.39937486263072,109.15710620093071,111.38423450688315,109.91467160718398
2016-05-31,111.17187448066915,109.37483400062806,113.95797876286527,109.01268838351798,112.1872958129918,109.58129579001931
2016-06-30,103.7577501419682,104.89451747061113,109.81093522846501,103.27363126222127,107.14667328400391,102.78246907084207
2016-07-31,110.72926432023607,113.09786121615508,119.97945012112785,110.77769139193958,115.19273283162386,109.70176012457628
2016-08-31,109.5219200060294,113.30146601702349,119.60862455915264,110.1236976054365,114.13461385686144,108.13363992480494
2016-09-30,112.32922052559431,115.65606833340492,123.05094891086073,112.59085696714091,117.15187238307732,110.66316554831373
2016-10-31,109.94471299391886,118.023023923081,125.78382028029287,111.8246434038841,116.59763462676453,109.08751116549986
2016-11-30,114.9864396135778,121.6081313890218,129.65787458018656,115.57061245776505,121.21853461570109,113.20366374759345
2016-12-31,109.37542356163614,115.30969951218543,123.63906400347946,109.66058021403622,115.57444894696943,107.67042380407912
2017-01-31,110.90426048916913,118.26773080281068,128.41070639606554,112.22638004859542,118.89934709769396,109.12136913844846
2017-02-28,112.70580815248114,120.80037628661682,132.55363622881242,114.46751394526022,121.76850432846113,110.91506223679963
2017-03-31,117.30754146601852,121.65375096659052,134.8273802357757,117.95437305993647,125.61388621296688,115.63804110140975
2017-04-30,120.37566787080986,123.86033708434235,138.14706665076554,120.98026998919894,128.83934076575264,118.56702274282623
2017-05-31,125.63346114976153,126.32960747531101,141.55275307775997,125.37001683011586,133.55825037686887,123.11420150844529
2017-06-30,128.00521802313614,128.16100042065784,142.2472107528935,127.51915903650728,135.44291290109956,125.48344029812604
2017-07-31,128.6197481429184,129.3716857919962,144.0749249749571,128.8314503755063,136.4584559758281,126.60182908896141
2017-08-31,129.4574431212758,132.65130150065784,149.0548591130806,130.92595349237928,138.89684196244556,127.8924592154785
2017-09-30,132.15444858897678,137.03217917228488,151.8135618195217,134.0014759658453,142.21908035599265,130.27109805656124
2017-10-31,138.76700072906368,142.58100009932681,159.76379502543742,139.54324262598536,148.92127403770016,136.25584081836507
