carteira,tipo,coluna_retorno,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,n_ativos_com_peso,peso_max,top3_peso,hhi,n_efetivo_ativos,classificacao_concentracao
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,0.235287433582811,0.11177495773452023,2.0330545213374034,4.4140037391723475,-0.14303749746174754,1.644935333448027,0.7185185185185186,6,0.39757580626967415,0.8659885640739855,0.2865021762759022,3.4903748830061168,alta
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,0.2418600221721825,0.11762637195824324,1.9848911596200651,4.648080541265497,-0.1651617456861838,1.4643828155687428,0.7037037037037037,6,0.39512302278819256,0.8902956243634306,0.2941621135332206,3.399486045258738,alta
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,0.19338185188850732,0.10287479273606312,1.8584553072040917,4.0000274573823145,-0.11740293997608076,1.647163622375268,0.7037037037037037,5,0.38451801097342436,0.9144052073858837,0.2949615951435153,3.3902718742534743,alta
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,0.19749668340113513,0.10735516159679293,1.8191932806945752,3.9891762252909864,-0.13582811172603448,1.4540192077431382,0.6814814814814815,5,0.38197219442456476,0.9338246563687047,0.3028364602936119,3.302112298599913,alta
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,0.27188515148973624,0.1559415809430484,1.7121795681933791,2.9603622768339073,-0.2515988746835127,1.0806294417323674,0.6888888888888889,7,0.34063202162887185,0.8305472185960537,0.2547363561522449,3.9256273234996866,alta
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,0.16582461079001032,0.09743559689707872,1.710074596341904,2.864529470189996,-0.08986717682621659,1.8452188735235195,0.6518518518518519,8,0.36349229468751937,0.791090691836934,0.2615953353283714,3.8226981331480365,alta
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,0.27700712591061083,0.15991536619276775,1.6995098668294317,3.170194752616234,-0.2726557785485272,1.0159591239373245,0.6962962962962963,6,0.35467781031972323,0.8573758598462149,0.2705378650618196,3.696340250824016,alta
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,0.1645940136397337,0.09744423224171167,1.6988720089600398,2.8495464990270403,-0.08923470807254474,1.8445066633257143,0.6518518518518519,7,0.3632151047536003,0.7900094773251505,0.26172977131680264,3.8207346262859074,alta
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,0.16280045723640746,0.10071111470438669,1.6356856890154325,3.0608538950144006,-0.12334707983573623,1.3198565985770565,0.674074074074074,8,0.3440789723104754,0.8051693009130495,0.2602243628451515,3.842837730743365,alta
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,0.1628004559477414,0.10071111470438303,1.6356856786476999,3.060853786490857,-0.12334707727908689,1.3198566154866136,0.674074074074074,8,0.3440789469274394,0.8051691846791754,0.2602243320551976,3.84283818543104,alta
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,0.2056156657476853,0.13809875093559978,1.5184032078830878,2.5793251053413995,-0.2154346427999353,0.9544224785548142,0.6814814814814815,5,0.42921275303992007,0.9091331586802367,0.3237470653802894,3.0888310873964224,alta
etfs_todos,max_sharpe,etfs_todos__max_sharpe,0.20917492657412362,0.14119475179746335,1.5096709306200617,2.7289789233528237,-0.2334128223759604,0.8961586790515024,0.6814814814814815,4,0.44140651207326953,0.9371761384388408,0.3429731828652951,2.915679854750499,alta
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,0.22927268116011512,0.18150440943958593,1.3159311818825692,2.5382874899472045,-0.27750786292005725,0.8261844502264161,0.6222222222222222,4,0.4404069045474687,0.936572085278403,0.32185191331899543,3.107018969338471,alta
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,0.14090159907667754,0.11675983424332628,1.288826730333371,1.9236696455452207,-0.16123335311940945,0.8738985845709343,0.6888888888888889,7,0.3609634677324018,0.7913823621873184,0.24899464627050313,4.016150607967766,media
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,0.14090159037410221,0.11675983424334445,1.2888266646973694,1.9236695814463824,-0.16123343893063158,0.8738980654920047,0.6888888888888889,7,0.3609634792788407,0.7913829333224753,0.2489948657367786,4.016147068097123,media
etfs_todos,min_vol,etfs_todos__min_vol,0.14046786338662476,0.11785215467573587,1.2764263793078672,2.1352092370993887,-0.18090292771422112,0.7764819793769557,0.6962962962962963,6,0.3694108240072126,0.7736519641707147,0.24552676644360039,4.072875696954648,media
etfs_com_btc,min_vol,etfs_com_btc__min_vol,0.14046785893361036,0.11785215467574922,1.2764263465972474,2.1352092819479473,-0.18090298176513397,0.776481722761096,0.6962962962962963,6,0.36941086568517845,0.7736520941225808,0.24552688300272868,4.072873763435862,media
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,0.2279362689984521,0.19917431060836946,1.2088079540869192,2.1623285652000632,-0.27086919218065053,0.8414994232582743,0.6148148148148148,2,0.847959156118205,1.0,0.7421511486529868,1.3474344165807894,alta
etfs_america_norte,min_vol,etfs_america_norte__min_vol,0.18425941180352923,0.17770162824033123,1.1205980313021124,2.1727968190959417,-0.20196273323549407,0.9123436232598303,0.5777777777777777,2,0.870156110606876,1.0,0.7740310924392197,1.2919377655084627,alta
etfs_asia,max_sharpe,etfs_asia__max_sharpe,0.18413653748693215,0.1882720511261956,1.068697786415581,1.8390229763381958,-0.38162677085545893,0.4825042464242474,0.6222222222222222,2,0.788452137281095,1.0,0.6664092710040633,1.5005793639295013,alta
etfs_global,max_sharpe,etfs_global__max_sharpe,0.15919169495187457,0.16502214715566213,1.0644315206278498,1.8657652989544367,-0.2805816737761425,0.5673631239326167,0.6148148148148148,1,1.0,1.0,1.0,1.0,alta
etfs_global,min_vol,etfs_global__min_vol,0.14557966132837685,0.16249019283295546,1.0076534321587263,1.6752926051325425,-0.2967333586155987,0.4906076688093808,0.6,2,0.5536062685087435,1.0,0.505747264046863,1.977272189271476,alta
etfs_exterior,min_vol,etfs_exterior__min_vol,0.1254160855158093,0.14614761345682667,0.9815867779506359,1.5220603655600706,-0.23301510198241848,0.5382315757597215,0.6370370370370371,8,0.3372579023543863,0.7282448658281025,0.22535004664162483,4.437540683496304,media
etfs_latam,max_sharpe,etfs_latam__max_sharpe,0.17038461298956697,0.20382703204422997,0.9557270154225771,1.554846758003884,-0.2189096000853682,0.7783332157343582,0.6370370370370371,3,0.4916553413491064,0.9999999999999999,0.40147044944287946,2.4908433519520554,alta
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,0.13097567651877262,0.15696620375076892,0.9539685188304871,1.4914278226568691,-0.3125909857423481,0.4190001711269077,0.6370370370370371,2,0.6815772555963729,1.0,0.5659405994998212,1.7669698920413217,alta
etfs_desenvolvidos_emergentes,min_vol,etfs_desenvolvidos_emergentes__min_vol,0.12768288783497206,0.15503497128573263,0.9422313682237379,1.4914509010485673,-0.3210780047505998,0.3976693698908179,0.6592592592592592,2,0.5846082134648085,1.0,0.5143170995714134,1.9443257881826446,alta
etfs_asia,min_vol,etfs_asia__min_vol,0.12524096979493415,0.16395909612974938,0.8850544162334677,1.3469894054807483,-0.2989098759054295,0.4189924117280035,0.6444444444444445,4,0.4788625944420695,0.9111525108197209,0.334909536478845,2.985880935233286,alta
etfs_europa,max_sharpe,etfs_europa__max_sharpe,0.12384214992479037,0.169123969190869,0.8624532967709706,1.375630266981013,-0.29472502083372043,0.42019557611520303,0.6148148148148148,2,0.5174883972072294,1.0,0.5006116880737553,1.99755623734592,alta
etfs_europa,min_vol,etfs_europa__min_vol,0.11274591068354933,0.16166875199263644,0.8315380272748774,1.3763439590132354,-0.2521338855099976,0.4471668314455049,0.5777777777777777,1,1.0,1.0,1.0,1.0,alta
etfs_latam,min_vol,etfs_latam__min_vol,0.12140776026627842,0.17682254669052244,0.8291059021141083,1.168931700863546,-0.2796463259174745,0.43414752497805625,0.6222222222222222,3,0.49225796762268453,1.0,0.4063004942420692,2.4612325462843554,alta
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,0.1183845000435193,0.18625926403026505,0.7807181561694682,1.4811712057011843,-0.24253317754023507,0.48811672384030796,0.5925925925925926,1,1.0,1.0,1.0,1.0,alta
