cenario,carteira,cagr,sharpe,max_drawdown,delta_cagr,delta_sharpe,delta_drawdown,impacto_cagr,impacto_sharpe,impacto_drawdown
tudo,etfs_com_tudo,0.17230096501373748,1.2712133691977752,-0.23695810809595463,0.02749041619917203,0.17813180069620183,-0.005393588027218343,Melhora,Melhora,Piora
ouro_btc,etfs_com_ouro_btc,0.17490075663196114,1.2675005888836015,-0.24993709301336786,0.030090207817395687,0.17441902038202817,-0.01837257294463157,Melhora,Melhora,Piora
btc_petroleo,etfs_com_btc_petroleo,0.1708886950614683,1.2391657132072087,-0.24199087554295484,0.026078146246902856,0.14608414470563535,-0.010426355474218552,Melhora,Melhora,Piora
btc,etfs_com_btc,0.1735247281714407,1.2361232443869912,-0.25562944584936254,0.028714179356875258,0.14304167588541783,-0.024064925780626245,Melhora,Melhora,Piora
ouro_petroleo,etfs_com_ouro_petroleo,0.14573036241569093,1.133638078394074,-0.2135409461844412,0.0009198136011254743,0.0405565098925007,0.018023573884295097,Melhora,Melhora,Melhora
ouro,etfs_com_ouro,0.14734646113620675,1.1284166890742209,-0.22647846324657206,0.002535912321641298,0.03533512057264754,0.005086056822164231,Melhora,Melhora,Melhora
petroleo,etfs_com_petroleo,0.14324195756079927,1.0978438985491046,-0.21794987402888366,-0.0015685912537661828,0.004762330047531238,0.01361464603985263,Piora,Melhora,Melhora
