carteira,n_obs,data_inicio,data_fim,retorno_total,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,retorno_medio_mensal,retorno_mediano_mensal,vol_mensal
etfs_america_norte,135,2015-02-28,2026-04-30,6.173432976788034,0.19295820228411364,0.187773260292696,1.1106321083997859,2.1139149874666194,-0.22658749639910725,0.851583628181497,0.6074074074074074,0.22835124317509914,-0.1612479310175714,0.017378917664998234,0.01427699805959426,0.05420547118830086
etfs_com_ouro_btc,135,2015-02-28,2026-04-30,5.049949535246261,0.17490075663196114,0.14649526931224183,1.2675005888836015,2.3005603993069603,-0.24993709301336786,0.6997791105084454,0.6370370370370371,0.16956713466532647,-0.13881604085795407,0.015473570010160692,0.013844143846046375,0.04228954158621477
etfs_com_btc,135,2015-02-28,2026-04-30,4.971288949357667,0.1735247281714407,0.14997654813172753,1.2361232443869912,2.2430019899690903,-0.25562944584936254,0.6788135365035195,0.6370370370370371,0.17451183087344102,-0.14195284047351475,0.015449124771546068,0.014332603369739294,0.04329450021799188
etfs_com_tudo,135,2015-02-28,2026-04-30,4.90211612211021,0.17230096501373748,0.14400374673359692,1.2712133691977752,2.198507474869181,-0.23695810809595463,0.7271368192388055,0.6296296296296297,0.16861161221065712,-0.14035988818355327,0.015254957338526571,0.015419414537670262,0.04157030097047844
etfs_com_btc_petroleo,135,2015-02-28,2026-04-30,4.823195293262233,0.1708886950614683,0.14744254015059513,1.2391657132072087,2.1273013121291506,-0.24199087554295484,0.7061782584903064,0.6296296296296297,0.1733200240984203,-0.14342928601170057,0.015225478368566225,0.014805014235016678,0.04256299512297415
etfs_global,135,2015-02-28,2026-04-30,3.808240182791499,0.15097998666400803,0.16346493157183822,1.0314835303352492,1.7461327150906076,-0.28985398769929915,0.5208829033624955,0.5925925925925926,0.18284827880708066,-0.1523134003601304,0.014050948725310802,0.014331404154402483,0.04718826112303228
etfs_latam,135,2015-02-28,2026-04-30,3.675720233113773,0.1481031793712011,0.1860523956428036,0.9250833352543052,1.4484199936151685,-0.25645652666581564,0.5774981876916393,0.6222222222222222,0.21146431233311414,-0.1751623637843157,0.014342830891108195,0.015007935078241719,0.05370870035387371
etfs_com_ouro,135,2015-02-28,2026-04-30,3.641418935704052,0.14734646113620675,0.14268914886529752,1.1284166890742209,1.975204076419303,-0.22647846324657206,0.6505981143813548,0.6592592592592592,0.16591691380404416,-0.13952149935300784,0.01341773474411647,0.01396624509665223,0.041190809253909055
etfs_com_ouro_petroleo,135,2015-02-28,2026-04-30,3.56892863754803,0.14573036241569093,0.1404869640000258,1.133638078394074,1.87204337742319,-0.2135409461844412,0.6824469265478462,0.6444444444444445,0.16506748676005523,-0.14109414937343567,0.013271780992367227,0.013796231017194405,0.040555093241524086
etfs_exterior,135,2015-02-28,2026-04-30,3.5309360033943413,0.1448740079223214,0.15618512329775366,1.0365453555587105,1.7332458953285144,-0.252485560818966,0.5737912593987786,0.6222222222222222,0.17955398476245277,-0.16329371405879434,0.013491080346804263,0.013679774747387574,0.04508676148968649
etfs_todos,135,2015-02-28,2026-04-30,3.5281320854666243,0.14481054881456545,0.1460587585116834,1.0930815685015733,1.8984666981558278,-0.2315645200687363,0.6253572385423325,0.6518518518518519,0.1709009842564786,-0.1428189359381281,0.013304511403945285,0.012962296654962069,0.042163531772111476
etfs_com_petroleo,135,2015-02-28,2026-04-30,3.4593246016839565,0.14324195756079927,0.14384598314781444,1.0978438985491046,1.7950392968292375,-0.21794987402888366,0.657224319119433,0.6444444444444445,0.16980879191204368,-0.1443158015636442,0.01316003624413545,0.01384692773945706,0.04152475854611852
etfs_asia,135,2015-02-28,2026-04-30,3.1249802445456556,0.13529137854168916,0.1732157466782122,0.8942129905845552,1.4294961581295031,-0.3716562584377674,0.3640228718611589,0.6444444444444445,0.18047486240527344,-0.17768312448642865,0.01290764757112174,0.016770022212072355,0.05000307898627392
etfs_desenvolvidos_emergentes,135,2015-02-28,2026-04-30,2.8778461594257214,0.12902811799849245,0.1552352285142974,0.9498889110400442,1.4827179037369256,-0.3139026293235059,0.41104503736257963,0.6444444444444445,0.1751610912736392,-0.1587270772878593,0.012288018514041535,0.010156286127123604,0.04481255048522134
etfs_europa,135,2015-02-28,2026-04-30,2.528784994281379,0.11953210893261224,0.17427647352837342,0.819582320602796,1.2853187527100185,-0.33654657607688865,0.355172559845932,0.6074074074074074,0.18506026002383025,-0.15066341320921528,0.011902826383404671,0.009778993814622439,0.050309284452512544
etfs_brasil,135,2015-02-28,2026-04-30,2.201921125120719,0.1098300824291798,0.22874064973912597,0.6027923765598707,0.7988258415172521,-0.3988778474947454,0.2753476612426481,0.5703703703703704,0.16693079329128535,-0.3422038044055269,0.011490259989341396,0.008056863983356921,0.06603173785074715
etfs_oceania,135,2015-02-28,2026-04-30,2.1449241362810603,0.10804655624516091,0.1846142369628762,0.7316974077524162,1.3241572961510588,-0.30907001319590166,0.3495860213934,0.5555555555555556,0.19706650894092648,-0.14172454727236827,0.011256813218327237,0.006949029130633333,0.053293539703376976
