ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII,BRL=X,BTC-USD,BZ=F,GC=F
000001.SS,1.0,0.5636123366308902,0.1679556636058238,-0.13999532496123154,0.2487872011096217,0.5163229348525626,0.4727878212080186,0.46994733909525177,0.6971358920678322,0.5774327241558477,0.5425238432420876,0.5037856338770501,0.23412967524260797,0.4188695618105725,0.3006266483913978,0.4559664424653486,0.3359516488101911,0.6723829475803811,0.37466597384924405,0.7594425333444315,0.4899776718450625,-0.18554107291533026,0.5059112418709188,0.06765113737773208,0.5599575345665209,0.5673095891140862,0.1947084913372739,0.46356948389888003,-0.14579897362405458,0.5113196049878485,0.46662266343996456,0.5047439775964849,0.7334358659545235,0.4385894916093769,0.2564372234904199,0.5176399834764858,0.4886539855562515,0.3851266342830972,0.5455413183639297,0.4537354388977839,0.5588362016414459,0.4260366235340419,0.08559597370754264,0.08438315032632147,0.34199680601143767
ACWI,0.5636123366308902,1.0,0.39223541039049015,-0.1089448865602947,0.42708921196970584,0.8150648783428527,0.8495590674061205,0.8623639415941745,0.6346358009435344,0.8866741812994351,0.7753058241156958,0.8691364706309919,0.5639650059980189,0.6458727131851445,0.5197590951723505,0.861838152272162,0.38637768770279085,0.817123019161446,0.7181891509512185,0.5353668785794814,0.9245234479727134,-0.0727626546189987,0.983129591384396,0.1592728005898778,0.9500712371572403,0.9985141806554287,0.4932456741388389,0.8241703636380063,-0.11436302096927647,0.8735837833968346,0.8561555155676871,0.9834470984448099,0.5563170669285864,0.6741795868454419,0.5555395874430158,0.8503250441625132,0.925736403912016,0.6836276072589565,0.8237897110537842,0.8538813131448986,0.7453544719472142,0.5908179386286208,0.2963138561107766,0.2323395721503732,0.3953387739047267
ARGT,0.1679556636058238,0.39223541039049015,1.0,0.2955715870646257,0.4058351042773537,0.43056580179751813,0.39649174065951465,0.3942947248121756,0.17955672740163303,0.2953676965783993,0.24932058319630254,0.35601367758990443,0.3248498549606,0.2910845989629022,0.2970397380235907,0.38202211639428796,-0.006282181896401549,0.32844119112935055,0.26868550335969715,0.11389719889730163,0.34062459674498746,0.30332434057430807,0.3707874495518989,0.16106775029553708,0.37993557025431224,0.3993671388573083,0.3097893831914156,0.43357302360287936,0.2921034675094168,0.37163140913233267,0.4140514134881515,0.37009203972095395,0.11492699854560146,0.3086979275855459,0.3561714074642388,0.3326969702488026,0.3415635549638257,0.26605555797107056,0.4610147249687638,0.39220803835494117,0.28167029996871296,0.006458786370413489,0.2546839624011564,0.24409439630261817,0.00011683425504419064
BOVA11.SA,-0.13999532496123154,-0.1089448865602947,0.2955715870646257,1.0,0.3518276208596215,-0.0093501475436063,0.10743478339272174,0.05119840841286325,-0.13563377695225906,-0.19992164568910759,-0.06470286613006275,-0.06361041130504477,0.22551549973467572,0.14180714833781047,0.3457418193306896,0.03141845657224156,-0.3374722246514951,0.061113140214809,-0.028967375593831775,-0.16312977449052316,-0.1547906338337899,0.9080880664221009,-0.1479342933478386,0.06171256154778452,-0.04823489819100528,-0.0868396646944897,0.1683285994431709,0.1547644662672736,0.9981374733952056,-0.07133422739622179,0.024283753565935838,-0.14580747517751239,-0.1645663282803592,0.11736813414654813,0.24421321869566798,-0.10838954892268304,-0.15333415692220578,0.004685839678743746,-0.009115084110866258,0.009576061324839706,-0.07131799563980586,-0.6344289251586512,-0.00018972193937818064,0.1553914601085182,-0.3580145943909003
ECH,0.2487872011096217,0.42708921196970584,0.4058351042773537,0.3518276208596215,1.0,0.3657355978595986,0.4417949748259164,0.46809062352604863,0.38030189106414536,0.3852972553467567,0.4470641806610405,0.4621588727406084,0.39300444534311185,0.4798956471061447,0.5365130667314539,0.46381863253592664,0.14251858864764852,0.5347564373558263,0.3815026330018106,0.3082761658992025,0.33423917422732763,0.30041904843868455,0.37227642587711607,-0.04770644530515445,0.4785309526082072,0.43582050286074286,0.40476401634857095,0.46218444359636596,0.3467294039819346,0.44764078279970404,0.437313138716116,0.3735786311161866,0.37229598009758996,0.4799609867195139,0.40551106779006335,0.36461795803238817,0.3367094079494497,0.36921103410864925,0.3780179557524419,0.440950825530868,0.4337198945723354,0.07343239253564297,0.1615239299817186,0.06976687366853516,0.13680531910543361
ENZL,0.5163229348525626,0.8150648783428527,0.43056580179751813,-0.0093501475436063,0.3657355978595986,1.0,0.8295876212865044,0.6912659914231716,0.6194762324355193,0.7188219227650384,0.6797918015989496,0.7102645086857996,0.4751374599385152,0.5981868399845193,0.4933622707328879,0.6746750413809023,0.37690752685936907,0.7532488862178139,0.638249879000458,0.5180410359276628,0.7371057954236796,0.04403771199695607,0.7762398306880376,0.028288165172766958,0.7995765872772645,0.8186426642656804,0.3318978529611093,0.813910509077149,-0.011497106051686468,0.7249148672196851,0.6824676473306955,0.7759790185123537,0.5411655214179832,0.6079189140021056,0.48398243206169494,0.6888550946256389,0.737898556515918,0.6389316122990432,0.9770294681776879,0.66578845845881,0.6391379480199791,0.46835913197727724,0.20708382097632647,0.11139459819565323,0.3894267457788733
EWA,0.4727878212080186,0.8495590674061205,0.39649174065951465,0.10743478339272174,0.4417949748259164,0.8295876212865044,1.0,0.7812890230326512,0.6046719719051091,0.7427053301192977,0.6818465481370483,0.803435587819791,0.6102267315240635,0.6363293628606335,0.6112883286767702,0.7768680527478298,0.29019525750873315,0.7544072014421022,0.6788372355222991,0.4395761169908752,0.7226309361264285,0.12335085193048075,0.801711834750467,0.15343721634272917,0.8749397935458628,0.8611941110853156,0.49741286655029976,0.9585062436571177,0.10018801007502205,0.806563885753908,0.7653908996622564,0.8019054818984974,0.485602308853852,0.6602581363863939,0.6164428123344299,0.7172782497564522,0.7235454854204901,0.6771989564554055,0.8349365006128514,0.762842037203865,0.6523110305402673,0.363947470530515,0.2884914240468714,0.2299609967352042,0.2978409575444644
EWG,0.46994733909525177,0.8623639415941745,0.3942947248121756,0.05119840841286325,0.46809062352604863,0.6912659914231716,0.7812890230326512,1.0,0.6013548886450172,0.7913947722784145,0.6627711800841496,0.8572183173870592,0.6404930960842247,0.637557565673075,0.5884289967735288,0.965611787054379,0.28909499701661256,0.7582059254617372,0.6330382351487563,0.4955819825263155,0.7373455297188909,0.07234445741977717,0.7962116229634292,0.1189610999843834,0.9278296216909568,0.8672923661871023,0.43790697886498936,0.7437472036016906,0.046780047718918305,0.847948687155752,0.9755001931909503,0.797272808272328,0.5227558628971345,0.649939671382673,0.6289337333468685,0.7592341414110272,0.7393635485167538,0.6051550485509711,0.6917600705202016,0.9357301907806272,0.6372960989676975,0.37273492082138265,0.26352936676371747,0.18636757318775435,0.2949987764886852
EWH,0.6971358920678322,0.6346358009435344,0.17955672740163303,-0.13563377695225906,0.38030189106414536,0.6194762324355193,0.6046719719051091,0.6013548886450172,1.0,0.6036737447932161,0.6296354807588241,0.6589847993748864,0.3054537333872994,0.5142081695722993,0.5107694009330975,0.6001296723518169,0.364732700647835,0.7783786482248943,0.49201274019434604,0.827556209245253,0.5150425664913505,-0.1454895048386208,0.5552072090802882,0.05494919553771123,0.6835716834098602,0.6394340767086468,0.27447382833991935,0.560504827160829,-0.1414434171912799,0.6378041225244013,0.55569138505612,0.5551645202418077,0.8983921179847437,0.5010574894278629,0.3031035112895376,0.5017787797400005,0.5177017742909623,0.48413286073596756,0.6142319695640746,0.5528824966502274,0.5938278980383466,0.4319389698627936,0.09275926689092027,0.08155982891380835,0.3643767731822532
EWJ,0.5774327241558477,0.8866741812994351,0.2953676965783993,-0.19992164568910759,0.3852972553467567,0.7188219227650384,0.7427053301192977,0.7913947722784145,0.6036737447932161,1.0,0.7183279376625841,0.8021067120256896,0.501803519352186,0.650099443973138,0.44940734209922895,0.7896072224669017,0.43462014315588343,0.766112743922232,0.6642181337147823,0.5257771246104475,0.7948678866800883,-0.1801077280083298,0.8372527122628198,0.09372012516479955,0.911057122680106,0.8849145741962572,0.37757243573483085,0.6912868544761498,-0.2023419719370706,0.799619228534674,0.7809938474509042,0.8381079489850248,0.5388145705550537,0.65571008587478,0.489149512199196,0.9221215918414957,0.7951097214043029,0.6154623649378423,0.7282086298627989,0.7813766334945051,0.6825250750327293,0.6521845996844878,0.20431935099323886,0.1318220301453785,0.4492625612249475
