carteira,tipo,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_no_limite_min,n_ativos_no_limite_max,pct_ativos_no_limite_min,pct_ativos_no_limite_max
etfs_america_norte,max_sharpe,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,1.0
etfs_america_norte,min_vol,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,1.0
etfs_asia,max_sharpe,6,6,0.16666666666666669,0.16666666666666669,0.1666666666666667,0.16666666666666669,0.16666666666666669,0.5,0.8333333333333335,0.1666666666666667,5.999999999999998,-4.440892098500626e-16,media,0,6,0.0,1.0
etfs_asia,min_vol,6,6,0.16666666666666669,0.16666666666666669,0.1666666666666667,0.16666666666666669,0.16666666666666669,0.5,0.8333333333333335,0.1666666666666667,5.999999999999998,-4.440892098500626e-16,media,0,6,0.0,1.0
etfs_brasil,max_sharpe,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,0,2,0.0,1.0
etfs_brasil,min_vol,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,0,2,0.0,1.0
etfs_com_btc,max_sharpe,25,25,0.09999999999999992,0.019999999999999983,0.04000000000000001,0.02000000000000003,0.09999999999999992,0.29999999999999966,0.49060065205021924,0.06657778321164559,15.020025476382681,0.371043868590909,baixa,18,4,0.72,0.16
etfs_com_btc,min_vol,25,25,0.1,0.02,0.04,0.020000000000000014,0.1,0.30000000000000004,0.5,0.06533850094113233,15.30491189109105,0.36895525463761114,baixa,15,5,0.6,0.2
etfs_com_btc_petroleo,max_sharpe,26,26,0.09999999999999985,0.01999999999999997,0.03846153846153847,0.019999999999999976,0.09999999999999985,0.29999999999999954,0.4865508888762515,0.0626884804159881,15.951894085870354,0.3622701837094109,baixa,18,4,0.6923076923076923,0.15384615384615385
etfs_com_btc_petroleo,min_vol,26,26,0.09999999999999996,0.01999999999999999,0.03846153846153845,0.019999999999999997,0.09999999999999996,0.2999999999999999,0.4999999999999997,0.06396797093306168,15.632823511729564,0.36444208151750557,baixa,17,5,0.6538461538461539,0.19230769230769232
etfs_com_ouro,max_sharpe,25,25,0.09999999999999919,0.019999999999999837,0.039999999999999994,0.019999999999999837,0.09999999999999919,0.29999999999999755,0.4818160253847159,0.06628190101152026,15.0870748234302,0.3696103537203701,baixa,18,3,0.72,0.12
etfs_com_ouro,min_vol,25,25,0.1,0.02,0.04000000000000001,0.02000000000000002,0.1,0.30000000000000004,0.5,0.06857252903218777,14.583099298125676,0.3735083111271551,baixa,16,6,0.64,0.24
etfs_com_ouro_btc,max_sharpe,26,26,0.09999999999999996,0.01999999999999999,0.03846153846153847,0.01999999999999999,0.09999999999999996,0.2999999999999999,0.48547924916873086,0.06440433727125877,15.526904590108442,0.36563186078463983,baixa,19,4,0.7307692307692307,0.15384615384615385
etfs_com_ouro_btc,min_vol,26,26,0.09999999999999998,0.019999999999999997,0.03846153846153846,0.020000000000000018,0.09999999999999998,0.2999999999999999,0.4999999999999997,0.06752865923359201,14.808527391915872,0.36895464186741633,baixa,18,5,0.6923076923076923,0.19230769230769232
etfs_com_ouro_petroleo,max_sharpe,26,26,0.09999999999999941,0.01999999999999988,0.038461538461538464,0.01999999999999988,0.09999999999999941,0.2999999999999982,0.46935238929824763,0.06242365951832711,16.019567063453042,0.3608904350864588,baixa,18,3,0.6923076923076923,0.11538461538461539
