ticker_yahoo,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,VEA,VT,XLE
ACWI,0.0022693590876554175,0.0016108045752895748,-0.00032700062410713043,0.0013026828687877985,0.002236036573367119,0.002176332017432905,0.0022853848455307037,0.0017661380831014142,0.0021439630525666334,0.0021610497132776253,0.0019319001617366747,0.0016288788497995253,0.0022063569529100343,0.0015585896743566037,0.002202490998767146,0.0017946267229847,0.0020712663410941095,0.0018590802226239641,0.0027211464269637996,-0.0002495161394923749,0.002441200322287576,0.0021445343406243733,0.0022889378527268093,0.0018858114537009078
ARGT,0.0016108045752895748,0.007438494986996955,0.001607998787081902,0.0022408734239028416,0.0021403014245684098,0.0018392363076436549,0.0018922207025909312,0.0009041703445253013,0.001293573927307888,0.0012579446768589155,0.0014335508783702383,0.001699499986090594,0.0017957090431228563,0.0016127989907114804,0.0017670094047924853,0.0013054270295498277,0.0014031348543268938,0.0007155632099671611,0.0018120069426223913,0.0018835821517969495,0.0016658968714870753,0.0015524647892445325,0.0016569077572644666,0.002149430244358989
BOVA11.SA,-0.00032700062410713043,0.001607998787081902,0.0039823385566831624,0.0014212825749698999,-3.49216295946321e-05,0.0003645416539092563,0.00017956596608221408,-0.0005002274074715152,-0.000640748760443922,-0.00023807070822096373,-0.0001878740599314544,0.0008623759479541222,0.000644586352217504,0.0013732207008511918,0.00010671215326645427,0.00017829799329417334,-0.00011073700072708459,-0.0007505384471052121,-0.0006014652134686035,0.004134201672610817,-0.00048595375168325016,-0.00014404017849845499,-0.00026330701300600735,0.0008497114646457369
ECH,0.0013026828687877985,0.0022408734239028416,0.0014212825749698999,0.0040969172980870406,0.0013474938746256063,0.0015203161180685132,0.0016666943965991954,0.0014228834792208219,0.0012517351805001943,0.0016737555016317516,0.0013801751549419442,0.0015250501207526692,0.002203360217853215,0.0021615510580893053,0.0015929406992860726,0.0015780508922696832,0.0014783253805282482,0.001439047061059177,0.0013232077757983447,0.001388318404162945,0.0012426082234447827,0.0014514895593693048,0.001342686871216491,0.0020799923813100405
ENZL,0.002236036573367119,0.0021403014245684098,-3.49216295946321e-05,0.0013474938746256063,0.003317363743391016,0.002568666670505872,0.0022148782297965537,0.0020856628924658016,0.0021018819649559423,0.002288761204797329,0.0019094082105563087,0.0016596108985948562,0.002466531677861477,0.0017884131248512344,0.0020843361506684274,0.001999197985663112,0.002225470944285118,0.002175954278324555,0.0026217511638408674,0.00018192008447217865,0.002330112441844349,0.002181932259204031,0.00226865446638966,0.0015393643579002057
EWA,0.002176332017432905,0.0018392363076436549,0.0003645416539092563,0.0015203161180685132,0.002568666670505872,0.0028910427864246658,0.0023370301190029346,0.0019002839160069623,0.0020271625797966147,0.0021442995107007127,0.002015904408008068,0.0019894676683412217,0.0024529416029341064,0.002068886291473677,0.0022410473330744343,0.0018699379352502216,0.002209807337258916,0.001723610504628713,0.002401213130417979,0.0004791124053214807,0.002247278750394029,0.0022292500060217984,0.0022284440660692894,0.0021483950977369054
EWG,0.0022853848455307037,0.0018922207025909312,0.00017956596608221408,0.0016666943965991954,0.0022148782297965537,0.0023370301190029346,0.0030949334741160683,0.0019550730258057177,0.002234971344224924,0.0021564879114167393,0.002225525103411267,0.0021606302646111487,0.0025416357298145053,0.0020605212007945256,0.0028817554614681993,0.001944295660473518,0.0021321104000905653,0.0020102640759612953,0.002534022426355279,0.00029012886075171953,0.0023088220050201604,0.002445777215079154,0.0023217447832153456,0.0019577542906159297
EWH,0.0017661380831014142,0.0009041703445253013,-0.0005002274074715152,0.0014228834792208219,0.0020856628924658016,0.0019002839160069623,0.0019550730258057177,0.0034138188334265096,0.0017908040836840142,0.002152544783375887,0.0017972539731850438,0.001082575994710678,0.0021518562218651224,0.0018788331786237225,0.001880907698060717,0.00209656444730915,0.0017406738459790447,0.003525109306006328,0.0018575934811319922,-0.0006147924156717724,0.0016904302875328733,0.0018925289576650164,0.0017976368863322227,0.0012893293607529636
EWJ,0.0021439630525666334,0.001293573927307888,-0.000640748760443922,0.0012517351805001943,0.0021018819649559423,0.0020271625797966147,0.002234971344224924,0.0017908040836840142,0.002576993023308359,0.0021325067470324135,0.0019003394786001322,0.001544758668139874,0.0023637634315548882,0.0014359535996318455,0.002150094384484336,0.001792450126478094,0.002041330866041474,0.001946029586525275,0.002491957078434668,-0.0006601069466541988,0.0022151085563684356,0.002191288245702926,0.0021614340757823013,0.0015413874753269336
EWT,0.0021610497132776253,0.0012579446768589155,-0.00023807070822096373,0.0016737555016317516,0.002288761204797329,0.0021442995107007127,0.0021564879114167393,0.002152544783375887,0.0021325067470324135,0.003421747347913502,0.001762474938181165,0.0016236172026594074,0.003162863254259676,0.001894866754514799,0.002052731541164026,0.0023266050075200985,0.0020613445766135123,0.0025386093552682487,0.002675975999582455,-0.0001639927811389853,0.002209968618710484,0.0020861783736724334,0.002182327885214323,0.0013123361962042832
