tipo_teste,familia_estrategia,metrica,n_com_alternativos,n_sem_alternativos,media_com_alternativos,media_sem_alternativos,media_diff_com_menos_sem,bootstrap_ci_low,bootstrap_ci_high,mannwhitney_stat,mannwhitney_pvalue,permutation_pvalue,vencedor_media,significativo_mannwhitney_5pct,significativo_permutation_5pct
cenario_alternativos,equal_weight,sharpe,7,10,1.1966191153074475,0.9197372762026348,0.2768818391048127,0.1737590295057033,0.3899062595604984,69.0,0.00020567667626491157,0.0003999200159968006,com_alternativos,True,True
cenario_alternativos,equal_weight,vol_anual,7,10,0.1449902572427106,0.1755678477978007,-0.0305775905550901,-0.045222443306296246,-0.017985293725126267,3.0,0.0007198683669271905,0.0009998000399920016,com_alternativos,True,True
cenario_alternativos,equal_weight,sortino,7,10,2.0736900533985003,1.5264630454285333,0.547227007969967,0.3032857981979537,0.800865781622762,65.0,0.00195392842451666,0.002999400119976005,com_alternativos,True,True
cenario_alternativos,equal_weight,calmar,7,10,0.686262223790834,0.490576858007236,0.19568536578359802,0.08774577902885569,0.2952502928083897,63.0,0.00462772521596051,0.014597080583883223,com_alternativos,True,True
cenario_alternativos,equal_weight,max_drawdown,7,10,-0.23464070085956035,-0.2987001386082329,0.06405943774867257,0.029660125540043845,0.10087194707101398,61.0,0.009666803784450843,0.015796840631873626,com_alternativos,True,True
cenario_alternativos,equal_weight,cagr,7,10,0.16119093653789737,0.13839916430551158,0.022791772232385793,0.0045507930190412625,0.04033719045486415,55.0,0.055327025915261216,0.046390721855628876,com_alternativos,False,True
cenario_alternativos,equal_weight,retorno_total,7,10,4.348308089470849,3.3615964567502084,0.9867116327206404,0.10031929386758841,1.791726255262593,55.0,0.055327025915261216,0.0649870025994801,com_alternativos,False,False
cenario_alternativos,hrp,max_drawdown,7,10,-0.19322064603086955,-0.2915789023302836,0.09835825629941405,0.06529278969879398,0.13257404202899703,70.0,0.00010283833813245579,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,hrp,vol_anual,7,10,0.13455070342624478,0.17291398113410833,-0.03836327770786355,-0.05429760852554713,-0.025011963076776826,0.0,0.00010283833813245579,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,hrp,sharpe,7,10,1.2041007513605955,0.9050622133842443,0.29903853797635116,0.1912944750923176,0.41611732638839644,69.0,0.00020567667626491157,0.0003999200159968006,com_alternativos,True,True
cenario_alternativos,hrp,calmar,7,10,0.7789708969734657,0.48255118725445767,0.296419709719008,0.17863354339863205,0.4025873609632391,64.0,0.0030851501439736733,0.0013997200559888023,com_alternativos,True,True
cenario_alternativos,hrp,sortino,7,10,2.0412509305467985,1.4788048614881562,0.5624460690586424,0.31190721997990206,0.8176347822001926,64.0,0.0030851501439736733,0.0027994401119776045,com_alternativos,True,True
cenario_alternativos,hrp,cagr,7,10,0.1498384867853376,0.13337153866005794,0.016466948125279657,9.556427467704189e-05,0.03069827295950354,61.0,0.009666803784450843,0.10077984403119376,com_alternativos,True,False
cenario_alternativos,hrp,retorno_total,7,10,3.7666955328539937,3.1493200150009097,0.617375517853084,-0.18126215800870574,1.2524810111442972,61.0,0.009666803784450843,0.19876024795040992,com_alternativos,True,False
cenario_alternativos,markowitz_puro__max_sharpe,sharpe,7,10,1.8036695588231477,1.0424219216909687,0.761247637132179,0.5716721338522522,0.9454772473199738,70.0,0.00010283833813245579,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_puro__max_sharpe,calmar,7,10,1.3230731461942402,0.6061979175030052,0.716875228691235,0.48176758982299955,0.9569179998107324,70.0,0.00010283833813245579,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_puro__max_sharpe,sortino,7,10,3.6801671568432406,1.8005634846070915,1.879603672236149,1.2707116793164275,2.486955925446934,69.0,0.00020567667626491157,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_puro__max_sharpe,vol_anual,7,10,0.12765528315671934,0.18099489485145617,-0.05333961169473683,-0.07386164132244172,-0.03175047696942104,3.0,0.0007198683669271905,0.0005998800239952009,com_alternativos,True,True
cenario_alternativos,markowitz_puro__max_sharpe,max_drawdown,7,10,-0.18587422726886027,-0.28892742655194115,0.10305319928308088,0.05056645752572639,0.15599228500362103,63.0,0.00462772521596051,0.003199360127974405,com_alternativos,True,True
cenario_alternativos,markowitz_puro__max_sharpe,retorno_total,7,10,9.654034317908769,5.086881376068041,4.567152941840728,1.9608425511693761,7.408140602900696,61.0,0.009666803784450843,0.006998600279944011,com_alternativos,True,True
cenario_alternativos,markowitz_puro__max_sharpe,cagr,7,10,0.23179056202752404,0.16823027001407356,0.06356029201345048,0.0305855538485165,0.09834294092347479,61.0,0.009666803784450843,0.008998200359928014,com_alternativos,True,True
cenario_alternativos,markowitz_puro__min_vol,sharpe,7,10,1.5049139592275806,0.9332213982609023,0.5716925609666783,0.3944595317789544,0.740874937214204,69.0,0.00020567667626491157,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_puro__min_vol,max_drawdown,7,10,-0.1327379736898228,-0.27221055575635267,0.13947258206652988,0.099506526826816,0.18118632749019856,69.0,0.00020567667626491157,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_puro__min_vol,vol_anual,7,10,0.10681055452999717,0.16633887060957847,-0.0595283160795813,-0.07646812751826625,-0.04288100765913439,1.0,0.00020567667626491157,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_puro__min_vol,calmar,7,10,1.2648167319624197,0.5154368243814507,0.7493799075809691,0.42558179896733905,1.0820538789776042,66.0,0.0012340600575894694,0.0003999200159968006,com_alternativos,True,True
cenario_alternativos,markowitz_puro__min_vol,sortino,7,10,2.545476022808835,1.5238054262755492,1.021670596533286,0.5919539946847571,1.4308348576130654,65.0,0.00195392842451666,0.0007998400319936012,com_alternativos,True,True
cenario_alternativos,markowitz_puro__min_vol,cagr,7,10,0.154041512285469,0.13231910104389946,0.02172241124156954,0.006056794767055062,0.035501157781933856,59.0,0.01851090086384204,0.03159368126374725,com_alternativos,True,True
cenario_alternativos,markowitz_puro__min_vol,retorno_total,7,10,3.9802170655100966,3.0832251045822527,0.8969919609278438,0.1613912666498123,1.5281260534493954,59.0,0.01851090086384204,0.05098980203959208,com_alternativos,True,False
cenario_alternativos,markowitz_restrito__max_sharpe,sharpe,7,10,1.4757916705146685,0.9511022306809117,0.5246894398337568,0.3802397967725636,0.6718014024086207,70.0,0.00010283833813245579,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__max_sharpe,sortino,7,10,2.827183241637648,1.6154423207252084,1.2117409209124395,0.833023140420957,1.594558773737389,69.0,0.00020567667626491157,0.0001999600079984003,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__max_sharpe,calmar,7,10,0.9054255293970853,0.5223541362593781,0.3830713931377072,0.25703940626378646,0.5043253185738569,70.0,0.00010283833813245579,0.0009998000399920016,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__max_sharpe,retorno_total,7,10,7.651404835580414,3.6196959936996356,4.0317088418807785,1.9731691340661843,5.996122169901658,62.0,0.006787330316742082,0.0013997200559888023,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__max_sharpe,cagr,7,10,0.20863192261485186,0.14345508170283056,0.0651768409120213,0.035095866143435156,0.09490682304994745,62.0,0.006787330316742082,0.0021995600879824036,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__max_sharpe,vol_anual,7,10,0.14369453497686685,0.17536994492321561,-0.031675409946348765,-0.04867226480364322,-0.015464463843321797,6.0,0.0030851501439736733,0.005198960207958408,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__max_sharpe,max_drawdown,7,10,-0.23021719449375497,-0.2954483902162699,0.06523119572251493,0.021764988038278428,0.11039169839465113,55.0,0.055327025915261216,0.03119376124775045,com_alternativos,False,True
cenario_alternativos,markowitz_restrito__min_vol,sharpe,7,10,1.2627725470100226,0.9208066921304928,0.3419658548795298,0.23557071552537528,0.4610126696627962,70.0,0.00010283833813245579,0.0003999200159968006,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__min_vol,vol_anual,7,10,0.12518259653222794,0.17352840716905965,-0.048345810636831715,-0.0646751665268495,-0.03255563669418555,1.0,0.00020567667626491157,0.0003999200159968006,com_alternativos,True,True
cenario_alternativos,markowitz_restrito__min_vol,max_drawdown,7,10,-0.19461528002584513,-0.2945722487056095,0.09995696867976436,0.061390731334744104,0.140369546380783,67.0,0.0007198683669271905,0.001799640071985603,com_alternativos,True,True
