ticker,periodo,cagr,retorno_total
000001.SS,periodo_total,0.06449828669365054,1.0232292786163093
ACWI,periodo_total,0.17120174490798723,4.9477107889308405
ARGT,periodo_total,0.23395304439631603,9.717501479809556
BOVA11.SA,periodo_total,0.13326261337263112,3.10198915563699
BRL=X,periodo_total,0.05748488517452688,0.8787878896800929
BTC-USD,periodo_total,0.7177219477098207,446.6089019574228
BZ=F,periodo_total,0.10739419571054176,2.161172292254008
ECH,periodo_total,0.09955720024573922,1.9177473109296237
ENZL,periodo_total,0.10145454387965924,1.9750591861441924
EWA,periodo_total,0.13302494835901624,3.092293585036325
EWG,periodo_total,0.12518063292811954,2.783767084892602
EWH,periodo_total,0.10648091794221748,2.131882213507084
EWJ,periodo_total,0.1448546664206447,3.601100064811483
EWT,periodo_total,0.2119266629446328,7.746556239445969
EWU,periodo_total,0.12717843610507762,2.8602625057377753
EWW,periodo_total,0.11507586261712932,2.417596005578892
EWY,periodo_total,0.17477249459854272,5.155540801649649
EZA,periodo_total,0.12093497903998718,2.6257694468568458
FEZ,periodo_total,0.1464290759220903,3.6729976415368766
GC=F,periodo_total,0.19742013013752802,6.6353874924061556
GLD,periodo_total,0.19199364627293392,6.253952354067449
IEMG,periodo_total,0.13401607156323636,3.1328651207988427
INDA,periodo_total,0.11765617388173699,2.507893129613171
MCHI,periodo_total,0.0909287502587206,1.6695905706343304
QQQ,periodo_total,0.25222010483926693,11.650277996552104
SMAL11.SA,periodo_total,0.08067769217323173,1.3998461214788205
SPY,periodo_total,0.19872563279838218,6.729839341881304
USO,periodo_total,0.03332018812256621,0.4474648540928565
VEA,periodo_total,0.14902284037545788,3.7936814581062803
VT,periodo_total,0.17103312286861105,4.938056430661572
XLE,periodo_total,0.13322746272850772,3.1005538632933547
^AXJO,periodo_total,0.09193585746567856,1.6975287856815826
^BVSP,periodo_total,0.13262575903669638,3.076055602222131
^FTSE,periodo_total,0.08991327193046272,1.6416873773409173
^GDAXI,periodo_total,0.14266841884315418,3.502933544293887
^GSPC,periodo_total,0.1790101484275648,5.410763817804463
^HSI,periodo_total,0.06486081285429157,1.0320599806000814
^KS11,periodo_total,0.13843164004924624,3.3181085624988658
^MXX,periodo_total,0.0904433807665912,1.656220307943447
^N225,periodo_total,0.14643470510002166,3.6680140327349617
^NDX,periodo_total,0.2430005375936295,10.638310114131714
^NSEI,periodo_total,0.11947317502326116,2.5727773087799233
^NZ50,periodo_total,0.11179329275543326,2.302910049646577
^STOXX50E,periodo_total,0.12027584135444847,2.5984285029480825
^TWII,periodo_total,0.1922265518066648,6.259468889408863
000001.SS,primeira_metade,0.11731036421868613,0.866549894111057
ACWI,primeira_metade,0.23367619144709528,2.2649218254942056
ARGT,primeira_metade,0.21689822088867872,2.02248979890497
BOVA11.SA,primeira_metade,0.13735966515669462,1.0651714333568085
BRL=X,primeira_metade,0.14016504395350915,1.0940374954833731
BTC-USD,primeira_metade,1.1620557649375893,76.0560012150673
BZ=F,primeira_metade,0.09248190880436269,0.6460574750702095
ECH,primeira_metade,0.08357469570761289,0.5718536529965603
ENZL,primeira_metade,0.26816541336782884,2.81368058776491
EWA,primeira_metade,0.17714250883722849,1.5066057156833415
EWG,primeira_metade,0.18170205363895375,1.5618048756686456
EWH,primeira_metade,0.19282589425145225,1.7006804425597042
EWJ,primeira_metade,0.21006167092576855,1.9280509566056163
EWT,primeira_metade,0.25336243722831364,2.569543861345823
